ID,Name_lang,Location_lang,Description_lang,MapPos[0],MapPos[1],WorldPos[0],WorldPos[1],GarrTypeID,GarrMissionTypeID,GarrFollowerTypeID,MaxFollowers,MissionCost,MissionCostCurrencyTypesID,OfferedGarrMissionTextureID,UiTextureKitID,EnvGarrMechanicID,EnvGarrMechanicTypeID,PlayerConditionID,GarrMissionSetID,TargetLevel,TargetItemLevel,MissionDuration,TravelDuration,OfferDuration,BaseCompletionChance,BaseFollowerXP,OvermaxRewardPackID,FollowerDeathChance,AreaID,Flags,AutoMissionScalar,AutoMissionScalarCurveID,AutoCombatantEnvCasterID
2,Gronnitos por todos lados,Acceso Muro Escarcha,Los gronnitos son una amenaza para la región. Deberíamos hacer equipo con el clan Lobo Gélido para reducir la población. Quizás alguno se una a nuestra causa...,0,0,0,0,2,3,1,1,0,824,0,101,0,23,26253,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
3,Recuperación de desembarco,El Glaciar Ardiente,"Valdría la pena tratar de investigar la nave en la que escapamos de la Jungla Tanaan, ¡seguro tiene algo útil!",0,0,0,0,2,3,1,1,5,824,0,101,0,23,26251,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
5,Gronnito en polvo,Cuevas de la fortaleza,Se descubrieron unos huesos de gronnitos en la caverna detrás de la fortaleza. Tus alquimistas quieren desenterrarlos e investigar sobre ellos.,0,0,0,0,2,18,1,1,10,824,0,0,0,24,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
6,Azotadores de lobos Siniescarcha,Colina Siniescarcha,"Los ogros Siniescarcha, al este de las Derivas Ventohelado, están maltratando descaradamente a los lobos gélidos. ¡Esto es inaceptable!",0,0,0,0,2,3,1,1,10,824,0,101,0,12,26320,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
7,Rescate Furia Pétrea,Acantilados Furia Pétrea,¡Hay informes de una masacre sangrienta en los Acantilados Furia Pétrea! ¡Dispersa a los carroñeros Pico Gélido y rescata a los aliados heridos!,0,0,0,0,2,3,1,1,10,824,0,101,0,15,28567,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
36,Pociones escarchadas,Derivas Ventohelado,Un explorador encontró un alijo de pociones congeladas del Señor del Trueno en la nieve. Recuperarlas le permitirá a tus alquimistas aprender sobre los ingredientes en Draenor.,0,0,0,0,2,18,1,1,10,824,0,0,0,23,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
42,Dame lo' botine',Casa de subastas,Toma todo el botín.,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,999999999,50,5,0,0,0,1,1,0,0
43,Patrulla Pirofrío,Llanuras Ventohelado,Esta es la misión de prueba de Matt *trompetas y cornetas cantan una melodía triunfal*,0,0,0,0,3,13,1,3,0,824,0,101,0,29,26539,26,90,0,10,0,9999999,0,100,0,0,0,0,1,0,0
44,Amenaza desde el cielo,Senda Muro de Escarcha,Unos rylaks del Glaciar Ardiente han estado atacando nuestras caravanas de suministros. ¡El material tiene que circular!,0,0,0,0,2,3,1,1,0,824,0,101,0,15,26252,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
45,Remedios de ogro,Glaciar Ardiente,Los ogros de Aguja del Filo en el Glaciar Ardiente suelen cargar paquetes de suministros cuando se aventuran dentro de las dunas de Pirofrío. Tal vez contengan nuevos tipos de pociones.,0,0,0,0,2,18,1,1,10,824,0,0,0,23,5703,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
54,No hay botín para ti,Casa de pobres,¡Huyan!,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,60,0,5,0,0,0,0,1,0,0
55,¡Orcos en las montañas!,Montaña orca,Mata a los orcos en las montañas.,0,0,0,0,2,13,1,3,0,824,0,101,0,21,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
56,¡Ogros en el desierto!,Desierto ogro,Mata a los ogros en el desierto.,0,0,0,0,2,25,1,3,0,824,0,103,0,22,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
57,No-muertos en la nieve,Nieve no-muerta,Mata a los no-muertos en la nieve.,0,0,0,0,2,24,1,3,0,824,0,104,0,23,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
58,Arakkoa bajo tierra,Arakkoa bajo tierra,Mata a los arakkoa bajo tierra.,0,0,0,0,2,23,1,3,0,824,0,106,0,24,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
59,Bestias en la jungla,Jungla de bestias,Mata a las bestias de la jungla.,0,0,0,0,2,18,1,3,0,824,0,107,0,25,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
60,Demonios en el bosque,Bosque demoníaco,Mata a los demonios en el bosque.,0,0,0,0,2,19,1,3,0,824,0,105,0,26,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
61,Rompedores en el pueblo,Pueblo de rompedores,Mata a los rompedores en el pueblo.,0,0,0,0,2,20,1,3,0,824,0,102,0,27,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
62,Furias en el pantano,Pantano de furias,Mata a las furias en el pantano.,0,0,0,0,2,21,1,3,0,824,0,101,0,28,26539,18,90,0,8,0,9999999,100,100,0,0,0,0,1,0,0
63,Primigenios en las llanuras,Llanuras primigenias,Mata a los primigenios en las llanuras.,0,0,0,0,2,22,1,3,0,824,0,106,0,29,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
64,Una misión para gobernarlos a todos,Gorgrond,La espada de las mil verdades debe ser destruida en la Fundición de Roca Negra. ¡Asegúrate de que así sea!,0,0,0,0,2,3,1,1,0,824,0,0,0,21,26539,18,90,0,600,0,9999999,0,200,0,0,0,0,1,0,0
65,La Guardia Nocturna,Frontera de la fortaleza,Una patrulla regular alrededor de la fortaleza parece una buena idea...,0,0,0,0,2,13,1,1,5,824,0,106,0,26,27657,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
66,Matar a los corruptos,Bosque maldito,Bestias corruptas siguen acechando el Bosque maldito. Los centinelas Lluvia de estrellas solicitan nuestra ayuda para acabar con la agonía de esas pobres criaturas.,0,0,0,0,2,3,1,1,0,824,0,106,0,26,26601,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
67,Asalto Señor del Trueno,Caída del Colosal,Podríamos enviar a varios de nuestros mejores guerreros a asaltar la avanzada Señor del Trueno en la Caída del Colosal. ¡Hacia la victoria!,0,0,0,0,2,3,1,3,10,824,0,101,0,11,28566,12,90,0,3600,0,0,65,200,0,0,0,1,1,0,0
73,Limpia la letrina,Letrina,Más vale no perder una apuesta con el conserje.,0,0,0,0,2,6,1,1,0,824,0,101,0,28,29014,29,90,0,300,0,86400,100,0,0,0,0,0,1,0,0
86,Recuperación de desembarco,Peñón Manto de la Noche,"Valdría la pena tratar de investigar la nave en la que escapamos de la Jungla Tanaan, ¡seguro tiene algo útil!",0,0,0,0,2,3,1,1,5,824,0,106,0,26,26958,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
87,La Guardia Nocturna,Frontera de la fortaleza,Una patrulla regular alrededor de la fortaleza parece una buena idea...,0,0,0,0,2,13,1,1,5,824,0,101,0,23,28319,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
88,Amenaza desde el cielo,Valle Flor de Luna,Unos cuervos Caída de la Luna del Valle Flor de Luna han estado atacando nuestras caravanas de suministros. ¡El material tiene que circular!,0,0,0,0,2,3,1,1,0,824,0,106,0,15,28564,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
89,Asalto Sombraluna,Shaz'Gul,Podríamos enviar a varios de nuestros mejores guerreros a asaltar la avanzada Sombraluna en Shaz'Gul. ¡Por la Alianza!,0,0,0,0,2,3,1,3,10,824,0,106,0,11,26960,28,90,0,3600,0,0,65,200,0,0,0,1,1,0,0
90,Amigos hada,El Mor brillante,Las anomalías arcanas ponen en peligro de extinción a los dragones hada del Mor brillante. ¡Es inaceptable!,0,0,0,0,2,3,1,1,10,824,0,106,0,19,28565,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
91,Rescate Rangari,Shaz'gul,Los Sombraluna capturaron a varios Rangari y a fuerzas de la Alianza. ¡Infíltrate y rescátalos!,0,0,0,0,2,3,1,1,10,824,0,106,0,11,26963,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
107,Parentesco salvaje,Nagrand,El gronn y los ogros trabajan juntos en un ataque doble. Debemos interrumpir sus maquinaciones antes de que nos superen.,0,0,0,0,2,3,1,3,15,824,0,104,0,29,32928,30,100,0,36000,0,129600,0,1500,0,0,0,0,1,0,0
108,Espionaje industrial,Gorgrond,"Si hay fallas de diseño en las máquinas de guerra del clan Roca Negra, podemos inutilizarlas. Infíltrate e inspecciona para saber las debilidades de las máquinas de guerra.",0,0,0,0,2,3,1,3,15,824,0,103,0,11,32928,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
109,"Garras, pinzas Y colmillos",Gorgrond,Draenor puede contar a los genesaurio entre sus criaturas más feroces. Debemos contenerlos antes de que se extiendan de Gorgrond a otras áreas.,0,0,0,0,2,3,1,3,15,824,0,103,0,20,32928,30,100,0,36000,0,129600,0,1500,0,0,0,0,1,0,0
