Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
UI Test Subtree 1,Descripción,16,11409,878
UI Test Subtree 2,Otra descripción,17,0,880
Tejedor del Vacío,"Los Tejedores del Vacío se han dedicado a estudiar los orígenes de la magia del Vacío y han descubierto cómo abrir una frágil conexión con él. Este poder es increíblemente peligroso y volátil, y consume todo lo que encuentra a su paso.",18,26682,795
Arconte,Los Arcontes son muy devotos y están profundamente conectados con la Luz y la Sombra. Pueden recibir la bendición de seres superiores para acceder a un estado ascendido y convertirse en su versión máxima.,19,27430,795
Oráculo,Los oráculos obtienen información del futuro y la usan para proteger y potenciar a sus aliados. La visión del futuro les confiere a los oráculos la capacidad de conceder bendiciones únicas a sus aliados antes de que sepan que las necesitan.,20,26934,795
Druida de la zarpa,"Los Druidas de la Zarpa son maestros en sus poderosas formas de animal. Cuando se transforman en osos o felinos, se convierten en feroces combatientes y protectores de la naturaleza.",21,26675,793
Acechafieras,"Los Acechafieras viven en las tierras salvajes, cazan para perpetuar el ciclo de la vida y la muerte, y destruyen a quienes se atreven a explotar la naturaleza. Usan sus poderes de sanación para restaurar la vida en las zonas yermas.",22,26677,793
Protector de la arboleda,Los Protectores de la arboleda se inspiran en los poderosos hijos de Cenarius para proteger el equilibrio de la naturaleza y salvaguardar el Sueño. Canalizan el poder del Sueño para fortalecer sus hechizos e invocan antárboles fortalecidos para proteger a sus aliados y aplastar a sus enemigos.,23,26686,793
Elegido de Elune,"Los elegidos de Elune dedican todo su ser a la diosa de la luna, lo que les confiere su conexión con la luna y las estrellas. Sus habilidades están infundidas con el poder de los astros e invocan potentes magias lunares.",24,26685,793
DPS,Brann derriba enemigos desde lejos empuñando la vieja y confiable.,29,24179,874
Sanador,Brann usa sus suministros médicos y las reliquias recolectadas para sanar a los jugadores heridos.,30,24186,874
San'layn,Los san'layn se distinguen por usar magia de sangre y de las sombras para debilitar a sus enemigos y potenciar sus propias habilidades.,31,26673,750
Jinete del apocalipsis,"Los Jinetes del apocalipsis convocan el poder de los Cuatro Jinetes legendarios. Pueden invocar a los jinetes para ayudarlos y manipular los poderes de la muerte, la hambruna y la enfermedad.",32,27222,750
Libramorte,Te conviertes en el emisario de la muerte. Apunta al alma de tus enemigos con ataques potenciados por las Tierras de las Sombras y recuérdales que su destino es inevitable.,33,26672,750
Cicatrizvil,Los Cicatrizvil abrazan su demonio interior y amplifican el poder explosivo del fuego vil que manejan.,34,27066,854
Atracador aldrachi,Los guerreros aldrachi eran los mejores maestros de gujas y blandían sus espadas con gracia mortal para consumir almas e imbuir sus armas de un poder mayor.,35,27132,854
Dracomandante,"Los dracomandantes son líderes natos, capaces de inspirar a quienes los rodean para que saquen su mejor versión. Son los generales escogidos de los dracthyr y usan sus hechizos de potenciación para enviar comandos de batalla e invocar tropas.",36,27067,872
Formallamas,"Los Formallamas están muy compenetrados con Alexstrasza y se especializan en proteger a los aliados, en el rejuvenecimiento y en la renovación. También tienen la habilidad exclusiva de propagar, intensificar y manipular la dracollama.",37,27223,872
Celatempus,"Los celatempus pueden manipular el tiempo, lo que les ofrece vistazos del futuro para acelerar sus ataques o recuerdos del pasado para rememorar acciones pasadas. La especialización en la magia de bronce puede causar inestabilidades debido a los innumerables futuros posibles que ven constantemente.",38,26678,872
Furia del Sol,"Al abrazar las llamas arcanas, los magos Furia del Sol potencian sus encantamientos más devastadores, e incluso invocan la ayuda de un fénix de fuego de hechizo.",39,27133,658
Lanzahechizos,Dominar la naturaleza inherentemente inestable de la magia les permite a los lanzahechizos dividir su magia para crear nuevos efectos poderosos y volátiles.,40,27429,658
Pirofrío,"Los magos de pirofrío toman las riendas de fuerzas elementales aparentemente incompatibles. Al dominar fuerzas opuestas, potencian sus ataques elementales e incluso pueden combinarlos para obtener más poder.",41,27017,658
Centinela,Los centinelas obtienen su poder de las fuerzas de la naturaleza para infligir más daño arcano con sus habilidades e invocar el poder de la luna para destruir a sus enemigos desde las alturas.,42,27529,774
