ID,FlowTitle_lang,PopupTitle_lang,PopupDescription_lang,ServiceType,BoostType,IconFileDataID,Priority,Flags,ProfessionLevel,BoostLevel,Expansion,PopupUITextureKitID,Field_11_0_0_54675_012
1,Subida a nivel 100,Subida gratis a nivel 100,"World of Warcraft: Legion incluye una subida de personaje a nivel 100. Puedes subir de nivel a un personaje ya existente, probar una clase nueva antes de usar la subida o cerrar la ventana para usarla más tarde.",1,2,1033987,90,1,700,100,6,260,0
5,Subida de Battle for Azeroth,Subida gratis a nivel 110,World of Warcraft: Battle for Azeroth incluye una subida de personaje a nivel 110. Elige una de las opciones a continuación o cierra la ventana para usar la subida más tarde.,1,3,3573824,80,1,700,48,7,265,0
6,Subida a nivel 90,Subida gratis a nivel 90,Esta subida se te otorgó de forma gratuita con la compra de Warlords of Draenor.,1,1,614740,100,0,625,90,5,260,0
107,Prueba Dragonflight gratis,Prueba Dragonflight gratis,"¡Por tiempo limitado, puedes jugar a Dragonflight gratis!|n|nCrea un Evocador dracthyr o explora las Islas Dragón con cualquier personaje de nivel 60",0,0,4723908,1100,0,0,0,7,265,0
118,Subida de Shadowlands,Subida gratis a nivel 120,,1,4,3752121,50,1,0,50,7,265,0
120,Subida a nivel 60,Subida gratis a nivel 60,,1,6,4279397,60,1,0,60,8,265,5595
123,Transferencia de personaje,Transferencia de personaje,Transfiere tu personaje a otro reino o cuenta,2,1,1530081,40,0,0,0,0,5362,5590
125,Cambio de facción,Cambio de facción,Cambia la facción de un personaje (de Horda a Alianza o de Alianza a Horda),2,2,1126583,35,0,0,0,0,5362,5587
139,Cambio de raza,Cambio de raza,Cambia la raza de un personaje (dentro de tu facción actual).,2,3,1126585,30,0,0,0,0,5362,5589
140,Cambio de nombre,Cambio de nombre,Cambia el nombre de un personaje,2,4,1126584,25,0,0,0,0,5362,5588
143,Subida a nivel 70,Subida gratis a nivel 70,,1,8,4734167,70,0,0,70,9,5468,5594
