ID,Description_lang,SoulbindID,CreatureDisplayInfoID,ModelSceneActorID,TextureKitID,OrderIndex,GlobalOrderIndex,ActivationSoundKitID
1,"Niya es una sylvar encargada de proteger y cuidar de las semillas silvestres de su arboleda. La conociste en tiempos trágicos cuando su arboleda quedó abandonada para que se marchitara a fin de conservar su ánima. Durante sus viajes contigo, Niya descubrió las duras verdades de la supervivencia en medio de una sequía. Es una cazadora y rastreadora experta, así que sus habilidades serán útiles para solucionar la sequía y demás amenazas que se presenten en Ardenweald.",1,95232,1030,5312,0,6,171896
2,"Calmo y sereno, Tejesueños posee un talento natural para observar los sueños de los espíritus de la naturaleza que duermen en las semillas silvestres del bosque a la espera de su renacimiento. Tejesueños te ayudó a formar un vínculo con una semilla silvestre en particular, cuyo sueño se ha manifestado en el exterior. Sus poderes curativos brindarán apoyo cuando enemigos externos asedien Ardenweald.",2,94430,1029,5313,1,7,171898
3,"El general Draven sirvió a Revendreth durante eones como comandante de la Legión Pétrea. Siempre está en la primera línea de cualquier campo de batalla, pelea con honor hasta el final y nunca abandona a un soldado. Cuando Denathrius eligió al Carcelero, Draven eligió la rebelión de Renathal. A fin de cuentas, Revendreth siempre debe ser la prioridad.",3,92399,1031,5314,2,11,171889
4,"Tan excéntrico como brillante, Marileth ha creado algunas de las pociones más eficaces de todo Maldraxxus. Cuando la Casa de las Plagas fue saboteada y destruida, Marileth cayó en la locura. Las soluciones creativas de Marileth resultaron ser fundamentales para la guerra... a pesar de algún efecto secundario ocasional.",4,94122,1035,5315,0,3,171890
5,"El cuerpo de ensamblaje de Emeni fue armado en los cosenteríos de Maldraxxus. En vida, fue una noble poderosa que masacró a cientos de sus hermanos para hacerse con el trono. Trabaja contigo para exterminar a sus enemigos en común, y admira tu fuerza y destreza. Aunque ya se la consideraba una leyenda, su fama crece aún más cuando enlaza su alma con el Surcafauces.",5,93825,1036,5316,1,4,171892
7,"Como miembro de los Cazadores salvajes, Korayn es una líder con una voluntad de hierro y una guerrera feroz. Encargada de proteger el bosque de las amenazas más peligrosas y esquivas, no descansará hasta matar a su presa y garantizar la seguridad de Ardenweald. Cuando atacaron la Hondonada Hibernal, el liderazgo y determinación de Korayn fueron fundamentales para la victoria.",6,95248,1037,5317,2,8,171899
9,"Como aspirante de Bastión, Pelagos entrena con afán para obtener la ascensión incluso frente a las dificultades y adversidades. Junto con Kleia, su otro lazo de alma, Pelagos rápidamente se vuelve tu amigo cuando solicitas una audiencia con la Arconte y te enfrentas a la amenaza de los Rechazados. Aunque su camino se ve interrumpido por la duda y los recuerdos de su pasado mortal, Pelagos siempre conserva el buen ánimo y la esperanza.",7,94137,1039,5318,0,0,171883
10,"Como aprendiza del mismísimo Primus, Heirmir es una de las almas mortales más antiguas de Maldraxxus. A través de eones de entrenamiento y práctica, es la experta más prominente en la forja de armas y armaduras a partir de huesos y acero. Los arsenales de su creación los mantienen a ti y la Casa de los Elegidos debidamente equipados para enfrentar los peligros que los rodean.",10,96102,1038,5319,2,5,171894
11,"Kleia, una ascendida kyrian, te conoció cuando aún era una aspirante. Les demostró a su compañero lazo de alma Pelagos y a los demás kyrian que desea progresar y superar cualquier desafío que se les presente. Es una mentora dedicada para ti y para Pelagos, y hará todo lo que pueda para proteger a sus amigos y a Bastión.",13,94873,1040,5320,1,1,171885
12,"Mikanikos, un auxiliar de Bastión, demostró tener un futuro prometedor desde sus primeros días y pronto alcanzó el rango de forjalita supremo. Fue el inventor principal de muchas de las creaciones más icónicas de Bastión. Como es consciente del potencial del Surcafauces, se convirtió en un aliado formidable para ayudarte a solucionar la sequía de ánima y otras amenazas.",18,96348,1041,5322,2,2,171886
14,"Autoproclamada la más grande duelista que haya empuñado una espada, Nadjia no soporta el estancamiento y siempre está a la espera de una nueva experiencia. Si hay problemas, puedes contar con que Nadjia estará en el centro de todo. Está lista para poner sus habilidades al servicio de la defensa de Revendreth cuando lo ordenes, y para divertirse.",8,93210,1042,5327,0,9,171887
15,"¡La demencia no es excusa para los malos modales! Exiliado de los círculos aristocráticos tradicionales, Theotar formó su propia corte de marginados para compartir rumores. Ya sea blandiendo magia con su tetera favorita o animando dragadores para que lleven su sombrilla, Theotar controla el increíble poder de Revendreth en su propia forma excéntrica.",9,93223,1043,5328,1,10,171888
