ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,Kyrian,"Los kyrian son guardianes firmes del más allá que cargan las almas de los muertos hasta las Tierras de las Sombras. Solo los dignos pueden unirse, puesto que sus miembros tienen un compromiso eterno con el deber y el servicio.",111,2730,315066,346042,346046,2407,1829,0
2,Venthyr,"Los venthyr son los cuidadores aristocráticos de las almas apesadumbradas por exceso de malicia y orgullo. Guían a las almas atribuladas por un camino riguroso de expiación, cosechando ánima para mantener su reino fuerte.",112,2731,344545,346037,346043,2413,1830,0
3,Noctifeéricos,Los noctifeéricos cuidan de los espíritus de la naturaleza caídos que descansan en el bosque tranquilo. Todo el que tenga una conexión profunda con la naturaleza puede unirse a su causa y así garantizar que algún día los espíritus revitalizados puedan unirse al ciclo eterno.,114,2732,344538,346039,346044,2465,1831,0
4,Necroseñores,"Entre los necroseñores, se recompensa la fuerza y se desecha la debilidad. Las almas de los ambiciosos y los beligerantes se moldean para forjar un ejército inmortal que debe encargarse de la defensa de las Tierras de las Sombras.",113,2733,344544,346041,346045,2410,1832,0
12,Centauros Maruuk,Los diversos clanes de centauros de las Llanuras de Ohn'ahra se identifican conjuntamente como los Centauros Maruuk.,119,0,0,0,0,2503,2002,104408
13,Expedición Dragontina,La Liga de Expedicionarios y El Relicario han unido fuerzas para realizar una expedición a las Islas Dragón.,119,0,0,0,0,2507,2021,104394
14,Colmillarr de Iskaara,Una resistente tribu colmillarr de las Islas Dragón.,119,0,0,0,0,2511,2087,104409
15,El Acuerdo de Valdrakken,"Valdrakken es la resplandeciente capital de los vuelos, el lugar donde han fundado un acuerdo para ayudar a las razas mortales una vez más.",119,0,0,0,0,2510,2088,104407
20,Olfatopos de Loamm,Los olfatopos que viven debajo de las Islas Dragón en Loamm,119,0,0,0,0,2564,2402,108239
21,Celadores oníricos,Una coalición de varias razas listas para defender el Sueño Esmeralda de todas y cada una de las amenazas que aparezcan.,119,0,0,0,0,2574,2653,115959
