ID,Name_lang,SafeLocID,PlayerConditionID,Flags,Field_8_2_0_30080_005,Field_8_2_0_30080_006,WaypointMapVolumeID
6,Usa el portal de Sagrario del Mago a Bosque de Jade,7262,67395,68,1,10,0
7,"Sagrario del Mago, Portal al Bosque de Jade",7263,123820,0,2,0,0
8,Sal de Sagrario del Mago,7264,20068,100,0,30,0
9,Entra a Sagrario del Mago,7266,924,0,0,0,0
10,Usa el portal de Santuario de la Tierra Oriental a Uldum,7267,37426,0,1,0,0
11,Usa el portal de Santuario de la Tierra Oriental a Monte Hyjal,7268,37427,0,1,0,0
12,Usa el portal de Santuario de la Tierra Oriental a Tierras Altas Crepusculares,7269,37428,0,1,0,0
13,Usa el portal de Santuario de la Tierra Oriental a Vashj'ir,7270,57340,0,1,0,0
14,Usa el portal de Santuario de la Tierra Oriental a Tol Barad,7271,123820,0,1,0,0
15,Usa el portal de Santuario de la Tierra Oriental a Infralar,7272,37429,0,1,0,0
16,Uldum,7273,0,0,2,0,0
17,Monte Hyjal,7274,0,0,2,0,0
18,Usa el portal de Nordrassil a Ventormenta,7275,924,0,1,0,0
19,"Ventormenta, El Santuario de la Tierra Oriental",7276,924,0,2,0,0
20,Tierras Altas Crepusculares,7277,123820,0,2,0,0
21,Vashj'ir,7278,123820,0,2,0,0
22,"Santuario de la Tierra Oriental, Portal a Tol Barad",7279,123820,0,2,0,0
23,Usa el portal de Campamento de Baradin a Ventormenta,7280,123820,0,1,0,0
24,Infralar,7281,20068,0,2,0,0
25,Usa el portal de Templo de la Tierra a Ventormenta,7282,20068,0,1,0,0
26,Usa el portal de Aldea Zarpa'don a Ventormenta,7283,123820,0,1,0,0
27,Usa el portal de Sagrario del Mago a Bosque Canto de Cristal,7284,76876,68,1,10,0
28,"Sagrario del Mago, Portal al Bosque Canto de Cristal",7285,20068,0,2,0,0
29,Usa el portal de El Enclave de Plata a Ventormenta,7286,20068,0,1,0,0
30,Usa el portal de Sagrario del Mago al Exodar,7287,123820,68,1,10,0
31,"Sagrario del Mago, Portal al Exodar",7288,123820,0,2,0,0
32,Usa el portal de Isla Bruma Azur a Darnassus,7289,123820,1,1,0,0
33,"Costa Oscura, Portal a Darnassus",7290,123820,0,2,0,0
36,Usa el portal de Los Peldaños del Destino a Ventormenta,7293,123820,0,1,0,0
37,Usa el portal de Sagrario del Mago a Shattrath,7294,6289,68,1,10,0
38,"Shattrath, Bancal de la Luz",7295,0,0,2,0,0
39,Usa el portal de Bancal de la Luz a Isla de Quel'Danas,7296,0,0,1,0,0
