Name_lang,Filename,Name_male_lang,Name_female_lang,PetNameToken,Description_lang,RoleInfoString_lang,DisabledString_lang,Hyphenated_name_male_lang,Hyphenated_name_female_lang,CreateScreenFileDataID,SelectScreenFileDataID,IconFileDataID,LowResScreenFileDataID,Flags,SpellTextureBlobFileDataID,ArmorTypeMask,Field_9_0_1_34490_018,MaleCharacterCreationVisualFallback,MaleCharacterCreationIdleVisualFallback,FemaleCharacterCreationVisualFallback,FemaleCharacterCreationIdleVisualFallback,CharacterCreationIdleGroundVisualFallback,CharacterCreationGroundVisualFallback,AlteredFormCharacterCreationIdleVisualFallback,CharacterCreationAnimLoopWaitTimeMsFallback,CinematicSequenceID,DefaultSpec,ID,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet,ClassColorR,ClassColorG,ClassColorB,RolesMask
Guerrero,WARRIOR,Guerrero,Guerrera,PET,"Los guerreros son luchadores que visten placas y buscan la perfección en el combate armado. A medida que luchan, generan ira que usan para potenciar ataques especiales.",Funciones: |cffffffffTanque o daño cuerpo a cuerpo|r,Debes elegir una raza diferente para ser de esta clase.,Guerrero,Guerrera,0,0,626008,0,169010,791568,113,20774,128667,132581,0,0,0,0,133297,15000,0,71,1,5,1,0,0,1,4,198,155,109,10
Paladín,PALADIN,Paladín,Paladín,PET,"Los paladines son luchadores de armadura pesada y defensores que usan magia Sagrada para sanar sus heridas y combatir el mal. Pueden concentrarse en armas de dos manos, escudos o sanación.","Funciones: |cffffffffTanque, Sanador o Daño cuerpo a cuerpo|r",Debes elegir una raza diferente para ser de esta clase.,Paladín,Paladín,0,0,626003,0,135226,791563,2289,20774,128833,132580,0,0,0,0,0,15000,0,70,2,4,0,0,0,1,10,244,140,186,14
Cazador,HUNTER,Cazador,Cazadora,PET,Los cazadores se sienten como en casa en la naturaleza y sienten especial afinidad por las bestias. Dependen de sus armas y sus mascotas para infligir daño.,Funciones: |cffffffffDaño a distancia o daño cuerpo a cuerpo|r,Debes elegir una raza diferente para ser de esta clase.,Cazador,Cazadora,0,0,626000,0,33174,791560,41,20771,128903,132586,0,0,0,133832,133292,15000,0,253,3,2,2,1,1,0,9,170,211,114,8
Pícaro,ROGUE,Pícaro,Pícara,PET,"Los pícaros suelen ser asesinos o exploradores, aunque también hay muchos que trabajan en solitario. A menudo, pueden acercarse sigilosamente a sus enemigos o atacar a sus oponentes por la espalda para acabar con ellos rápido.",Función: |cffffffffDaño cuerpo a cuerpo|r,Debes elegir una raza diferente para ser de esta clase.,Pícaro,Pícara,0,0,626005,0,167938,791565,37,20776,129018,132578,0,0,0,133289,133293,15000,0,259,4,3,3,1,1,0,8,255,244,104,8
Sacerdote,PRIEST,Sacerdote,Sacerdotisa,PET,"Los sacerdotes son sanadores muy completos con una variedad de herramientas. No obstante, también pueden sacrificar la sanación para infligir daño con magia de las sombras.",Funciones: |cffffffffSanador o daño a distancia|r,Debes elegir una raza diferente para ser de esta clase.,Sacerdote,Sacerdotisa,0,0,626004,0,2,791564,35,20775,129129,132579,0,0,0,134409,133296,15000,0,256,5,0,0,0,0,0,6,255,255,255,12
Caballero de la Muerte,DEATHKNIGHT,Caballero de la Muerte,Caballero de la Muerte,PET,"Los caballeros de la muerte son una clase heroica, lo que significa que comienzan con un nivel más alto. Son una clase de combate cuerpo a cuerpo con énfasis en provocar enfermedades y usar magia oscura.",Funciones: |cffffffffTanque o daño cuerpo a cuerpo|r,Debes comprar Shadowlands para crear un caballero de la muerte con la raza seleccionada.,Caballero de la muerte,Caballero de la muerte,236082,236082,135771,1560617,189562,791558,3121,20769,128790,132590,0,0,0,131787,133291,20000,165,251,6,5,6,0,0,1,15,196,30,58,10
Chamán,SHAMAN,Chamán,Chamán,PET,"Los chamanes utilizan el poder de los elementos para mejorar su daño con armas o con hechizos. Invocan tótems en combate: pequeños objetos para incapacitar, sanar o infligir daño a los enemigos.","Funciones: |cffffffffSanador, Daño a distancia o Daño cuerpo a cuerpo|r",Debes elegir una raza diferente para ser de esta clase.,Chamán,Chamán,0,0,626006,0,294938,791566,2665,20777,128753,132575,0,0,0,0,0,25000,0,262,7,0,0,0,1,0,11,0,112,221,12
Mago,MAGE,Mago,Maga,PET,Los magos son los icónicos hechiceros de Azeroth que aprenden su arte a través de exhaustiva investigación y estudios. Compensan su armadura ligera con una potente selección de hechizos ofensivos y defensivos.,Función: |cffffffffDaño a distancia|r,Debes elegir una raza diferente para ser de esta clase.,Mago,Maga,0,0,626001,0,4098,791561,35,20772,128789,132585,0,0,0,133322,133295,15000,0,62,8,0,0,0,0,0,3,63,199,235,8
Brujo,WARLOCK,Brujo,Bruja,DEMON,"Los brujos utilizan magia de fuego o de las sombras para infligir daño, drenar o maldecir a su enemigo. Invocan a demonios como sirvientes.",Función: |cffffffffDaño a distancia|r,Debes elegir una raza diferente para ser de esta clase.,Brujo,Bruja,0,0,626007,0,134,791567,35,20778,129054,132568,0,0,0,133661,133290,15000,0,265,9,0,0,0,0,0,5,135,136,238,8
Monje,MONK,Monje,Monje,PET,"Los monjes son famosos por sus habilidades en el combate cuerpo a cuerpo, son tan eficientes con sus pies y sus puños como con sus armas. También se especializan en invocar los poderes de restauración de la niebla para sanar a sus aliados.","Funciones: |cffffffffTanque, Sanador o Daño cuerpo a cuerpo|r",Requiere Mists of Pandaria,Monje,Monje,0,0,626002,0,165378,791562,37,20773,129344,132583,0,0,0,0,0,15000,0,268,10,2,3,0,1,0,53,0,255,152,14
