ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
1,Voluntad de los Renegados,"Puede eliminar miedo, sueño y embelesamiento.","Elimina efectos de embelesar, miedo y sueño",136187,0,5
2,Canibalismo,Puede consumir cadáveres para recuperar salud y maná.,Consume cadáveres para recuperar salud y maná,132278,1,5
3,Toque de la tumba,Puede drenar salud de los enemigos.,Drena salud de los enemigos,136157,2,5
4,Resistencia a las sombras,Resistente al daño de las sombras.,Resistente al daño de las sombras,136152,3,5
5,El espíritu humano,"Aumenta la celeridad, el golpe crítico, la maestría y la versatilidad.","Aumenta la celeridad, el golpe crítico, la maestría y la versatilidad",132874,0,1
6,No hay lugar como el hogar,Bonificación a la eficacia de piedra de hogar,Bonificación a la eficacia de piedra de hogar,134328,1,1
7,Sálvese quien pueda,Puede escapar de los efectos de aturdimiento.,Escapa de los efectos de aturdimiento,136129,2,1
8,Forma de piedra,Puede adoptar la forma de una piedra.,Puede adoptar la forma de una piedra,136225,0,3
9,Poderío de la montaña,Aumenta el efecto de golpes críticos.,Aumenta el efecto de golpes críticos,133042,1,3
10,Resistencia a la escarcha,Resistente al daño de escarcha.,Resistente al daño de escarcha,135865,2,3
11,Expedicionario,Encuentra fragmentos de arqueología adicionales y estudia más rápido.,Encuentra más fragmentos de arqueología y estudia más rápido,237387,3,3
98,Historia antigua,Aumenta la habilidad de inscripción.,Aumenta la habilidad de inscripción,1723985,4,27
99,Afinidad mágica,Aumenta el daño mágico.,Aumenta el daño mágico,1723986,2,27
100,Conjuro postal,Invoca un libro volador que funciona como un buzón.,Invoca un libro volador que funciona como un buzón,1723988,1,27
101,Vinculación entrópica,Tus habilidades tienen la probabilidad de potenciarte con la esencia del Vacío.,Permite potenciarse con el Vacío,1723992,1,29
102,Conexión etérea,Reduce el costo del depósito del Vacío y de las transfiguraciones.,Reduce el costo de las transfiguraciones y del depósito del Vacío,1723993,3,29
103,Calma preternatural,El lanzamiento de tus hechizos no se demora al recibir daño.,El daño no demora el lanzamiento de hechizos,1724001,2,29
104,Escalofrío nocturno,Resistente al daño de las sombras.,Resistente al daño de las sombras,1723989,4,29
105,Falla espacial,Abre una falla en el espacio y se teletransporta hacia una ubicación.,Se teletransporta a través de una falla en el espacio,1724004,0,29
106,Resistencia a lo arcano,Resistente al daño arcano.,Resistente al daño arcano,1723997,3,27
107,Pulso arcano,Daña y ralentiza a los enemigos cercanos.,Daña y ralentiza a los enemigos cercanos,1851463,0,27
108,Carrera del toro,Arremete y derriba a tus enemigos.,Arremete y derriba a los enemigos,1723987,0,28
109,Orgullo de Ferrocorno,Aumenta la velocidad y la habilidad de minería.,Aumenta la velocidad y la habilidad en minería,1724002,4,28
110,"Quien guarda, siempre halla",Tienes la probabilidad de obtener más carne y pescado.,Tienes la probabilidad de obtener más carne y pescado,1724005,3,28
111,Montaraz,Aumenta la versatilidad.,Aumenta la versatilidad,1723999,2,28
112,Tenacidad resistente,Reduce el daño recibido por los ataques.,Reduce el daño recibido por los ataques,1724003,1,28
113,Sentencia de la Luz,Inflige una gran cantidad de daño sagrado en un área.,Inflige una gran cantidad de daño sagrado en un área,1724000,0,30
114,Resistencia sagrada,Reduce el daño sagrado recibido.,Resistente al daño sagrado,1723996,2,30
115,Juicio de la Luz,Entra en erupción al morir. Inflige daño sagrado a los enemigos cercanos y cura a los aliados cercanos.,Entra en erupción al morir. Daña a los enemigos cercanos y cura a los aliados cercanos,1723994,1,30
116,Forja de Luz,Aumenta la habilidad de herrería y te permite invocar un yunque.,Aumenta la habilidad de herrería y permite invocar una forja,1723995,3,30
117,Demonicidio,Obtiene más experiencia por matar demonios.,Obtiene más experiencia por matar demonios,1723990,4,30
118,Pirosangre,Elimina efectos dañinos y te potencia.,Elimina efectos dañinos para potenciarte,1786406,0,34
119,Calabocero,Te mueves más rápido en interiores.,Te mueves más rápido en interiores,1786405,1,34
120,Fabricación en masa,Aumenta la habilidad de herrería y la velocidad de fabricación de objetos de herrería.,Aumenta la habilidad de herrería y la velocidad de fabricación de objetos,1786408,2,34
121,Máquina topo,"Cuando estés en el exterior, invoca una máquina topo que cava túneles en la tierra.",Invoca una máquina topo para transportarse bajo tierra,1786409,3,34
122,Forjados en llamas,Reduce el daño físico recibido.,Reduce el daño físico recibido,1786407,4,34
123,Llamada ancestral,Invoca el poder de tus ancestros para que lo recibas.,Invoca a tus ancestros para que te otorguen su poder,2021574,0,36
124,Cielos abiertos,Velocidad de montura más rápida en exteriores.,Velocidad de montura más rápida en exteriores,2021575,1,36
125,Vigor solidario,Aumenta la salud de las mascotas.,Aumenta la salud de las mascotas,2021577,2,36
126,Sangre salvaje,"Reduce la duración de los efectos que tienes de veneno, enfermedad y maldición.","Reduce la duración de todos los venenos, enfermedades y maldiciones",2021576,3,36
127,Regeneración,Te concentras para sanarte rápidamente durante un período breve.,Te sanas rápidamente durante un período breve,1850550,0,31
128,Abrazo de los loa,Suplica a un loa para obtener una de seis bonificaciones poderosas.,Suplica a un loa para obtener una de seis bonificaciones poderosas,1850548,1,31
129,Ciudad de oro,Descubre más oro de las criaturas.,Descubre más oro de las criaturas,1850547,2,31
130,Descenso en picada de pterrordáctilo,Invoca un pterrordáctilo para reducir tu velocidad de caída.,Invoca un pterrordáctilo para reducir tu velocidad de caída,1850549,3,31
131,Mazazo,"Aplasta a tu oponente, lo aturde y lo repele.","Aplasta a tu oponente, lo aturde y lo repele",2447782,0,32
132,Aprendiz de todo,Aumenta todas tus habilidades comerciales.,Aumenta el nivel de habilidad de todas las profesiones,2447783,1,32
133,La balada del viejo marinero,Resistente al daño de escarcha y naturaleza.,Resistente al daño de escarcha y naturaleza,2447784,2,32
134,Hijo del mar,Nadas más rápido y aguantas la respiración bajo el agua durante más tiempo.,Nadas más rápido y aguantas la respiración bajo el agua durante más tiempo,2447781,3,32
135,No duele,Aumenta la versatilidad y sana una parte del daño que recibes.,Aumenta la versatilidad y sana una parte del daño que recibes,2447780,4,32
144,Habilidad originadora de luz orgánica,Invoca duplicados para distraer a tus enemigos.,Invoca duplicados para confundir a tus enemigos,3192686,0,37
145,Maestro de oficios,Funcionas como una estación de creación personal.,Funcionas como una estación de creación personal,3192687,2,37
146,Análisis de combate,Obtienes poder gradualmente a medida que analizas a los enemigos en combate.,Aumenta tu potencia mientras luchas contra un enemigo,3192685,1,37
147,Meñique maestro,Permite forzar cerraduras.,Permite forzar cerraduras,3192689,3,37
148,Mecanismo de emergencia,Te sana automáticamente cuando estás gravemente herido.,Te sana automáticamente cuando estás gravemente herido,3192688,4,37
149,Bolsa de trucos / Hurga en tu bolsa,Usa un truco para dañar a un enemigo o sanar a un aliado. Consigue distintos tipos de trucos por todo el mundo.,Lanza un truco para dañar a un enemigo o ayudar a un amigo,3193416,0,35
150,Montar campamento / Volver al campamento,Coloca un campamento aliado en el mundo. Podrás regresar más adelante.,Elige un lugar en el mundo y hazlo tu campamento,3193418,1,35
151,Olfato para el peligro,Recibes menos daño la primera vez que un enemigo te golpea.,Recibes menos daño la primera vez que te golpean,3193419,2,35
152,Alforjas de alpaca,Tu mochila tiene 8 espacios adicionales.,Tu mochila tiene 8 espacios adicionales,3193421,3,35
153,Resistencia al fuego,Reduce el daño de fuego recibido.,Resistente al daño de fuego,3193417,4,35
248,Aligerar,"Te disuelves en ánima pura, lo que aumenta considerablemente tu velocidad de movimiento, reduce tu velocidad de caída y te impulsa hacia adelante.

Mientras dura esta habilidad, se reduce el radio en el que los enemigos detectan tu presencia.",,298642,0,15
249,Tañido divino,"Lanza inmediatamente Choque sagrado, Sentencia o Escudo de vengador potenciados y golpea a todos los objetivos cercanos.",,133706,1,15
250,Amalgama,"Te fusionas con un enemigo o aliado. Los enemigos no pueden seleccionarte como objetivo, pero tampoco puedes atacar ni lanzar hechizos.

Si el enemigo es de tu mismo nivel o menor, lo controlas mientras dure esta habilidad.",,237147,0,16
251,Juramento de sangre,"Haces un juramento de sangre, lo que te quita al instante la mayoría de los efectos dañinos que posees y hace que tus habilidades inflijan daño adicional o sanen por el equivalente a la salud consumida en esta habilidad.",,133523,0,16
252,Forma Patronus,"Te conviertes en un zorro espiritual, lo que aumenta tu velocidad de movimiento y hace que los enemigos te ignoren.",,797544,0,17
253,Invocar arboleda de luz,"Crea una arboleda de luz en el área seleccionada que restaura tu salud y la de un aliado herido cada 3 s.

Sentencia tiene una probabilidad de no incurrir en tiempo de reutilización si se lanza a un enemigo dentro de la arboleda.",,135931,0,17
254,Puerta de sombras,Te escurres entre las sombras y apareces en la ubicación objetivo.,,134430,0,18
255,Ocaso cinéreo,"Atrae la Luz hacia tu interior y drena salud de los enemigos cercanos para recuperarte.

Si drenas al menos a un enemigo, tu próxima habilidad infligirá un golpe crítico garantizado.",,461857,0,18
490,Fusión de las sombras,Puede desaparecer en las sombras.,Puede desaparecer en las sombras,132089,0,4
491,Presura,Más difícil de golpear.,Más difícil de golpear,132279,1,4
492,Espíritu de fuego fatuo,Forma de fuego fatuo al morir para adquirir rapidez de movimiento.,Te mueves más rápido cuando estás muerto,136116,2,4
493,Resistencia a la naturaleza,Resistente al daño de naturaleza.,Resistente al daño de naturaleza,136094,3,4
494,Elusión,Te mueves más rápido mientras estás en sigilo.,Te mueves más rápido mientras estás en sigilo,132280,4,4
495,Toque de Elune,Ataques más rápidos de noche y mayor probabilidad de golpe crítico durante el día.,Ataques más rápidos de noche y mayor probabilidad de golpe crítico durante el día,135900,5,4
496,Artista del escape,Puede escapar de los efectos que alteran la velocidad.,Escapas de los efectos que alteran la velocidad,132309,0,7
497,Mente expansiva,Aumenta la reserva de recursos.,Aumenta la reserva de recursos,132864,1,7
498,Resistencia a lo arcano,Resistente al daño arcano.,Resistente al daño arcano,136116,2,7
499,Especialización de ingeniería,Aumenta la habilidad en ingeniería.,Aumenta la habilidad en ingeniería,134063,3,7
500,Dedos diestros,Ataca más rápido.,Ataca más rápido,135641,4,7
501,Tallar gemas,Aumenta la habilidad en joyería.,Aumenta la habilidad en joyería,135998,0,11
502,Ofrenda de los naaru,Puede autosanarse o sanar a otros con el tiempo.,Te sana a ti o a otros con el tiempo,135923,1,11
503,Presencia heroica,"Aumenta la agilidad, el intelecto y la fuerza.","Aumenta la agilidad, el intelecto y la fuerza",133123,2,11
504,Resistencia a las sombras,Resistente al daño de las sombras.,Resistente al daño de las sombras,136152,3,11
505,Ímpetu oscuro,Puedes moverte rápidamente de forma periódica.,Puedes moverte rápidamente de forma periódica,366937,0,22
506,Saña,Aumenta la probabilidad de golpe crítico.,Aumenta la probabilidad de golpe crítico,132203,1,22
507,Aberración,Resistente al daño de naturaleza y de las sombras.,Resistente al daño de naturaleza y de las sombras,136121,2,22
508,Despellejador,Aumentan la velocidad y habilidad de desuello.,Aumentan la velocidad y habilidad de desuello,132140,3,22
509,Palma fulminante,Puedes dormir a los enemigos con un toque de tu mano.,Duermes a los enemigos con un toque de tu mano,572035,0,24
510,Paz interior,Paz interior duplica la experiencia por descanso.,Obtienes el doble de la experiencia por descanso,572034,1,24
511,Epicúreo,Aumenta los beneficios de la comida.,Aumenta los beneficios de la comida,571692,2,24
