Name_lang,ID,Priority
Vuelve,1,0
Novedades,2,1000
Celebración,3,1100
Plunderstorm,4,1100
Paladín,5,235
Pícaro,6,225
Sacerdote,7,230
Brujo,8,215
Guerrero,9,210
Monje,10,240
Druida,11,260
Caballero de la muerte,12,270
Cazador de demonios,13,265
Mago,14,245
Chamán,15,220
Cazador,16,250
Evocador,17,255
Tela,18,310
Cuero,19,320
Placas,20,340
Malla,21,330
Mascotas,22,1100
Monturas,23,1200
Juguetes,24,1000
Floral,25,1100
Diversión veraniega,26,1100
Profundidades oceánicas,27,1100
Brujas encantadoras,28,1100
Botín de altamar,29,1100
Colecciones de armas,30,900
Armas cuerpo a cuerpo,31,800
Arma de mano izquierda,32,800
Transfiguración de armadura,33,1000
Armas de ataque a distancia,34,800
Colecciones de armadura,35,1100
Icónicos,36,1100
De todo un poco,37,800
