Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
Orco,1,0,0,0,0
Darnassiano,2,0,0,0,0
Taurahe,3,0,0,0,0
Enánico,6,0,0,0,0
Lengua común,7,0,0,0,0
Demoníaco,8,0,0,0,0
Titánico,9,0,0,0,0
Thalassiano,10,0,0,0,0
Dracónico,11,0,0,0,0
Kalimag,12,0,0,0,0
Gnomótico,13,0,0,0,0
Zandali,14,0,0,0,0
Renegado,33,0,0,0,0
Draenei,35,0,0,0,0
Zombi,36,0,0,0,0
Binario gnomo,37,0,0,0,0
Binario goblin,38,0,0,0,0
Gilneano,39,0,0,0,0
Goblin,40,0,0,0,0
Pandaren,42,0,0,0,0
Pandaren,43,0,0,0,0
Pandaren,44,0,0,0,0
Duende,168,0,0,0,0
Shath'Yar,178,0,0,0,0
Nerglish,179,0,0,0,0
Lechúcico lunar,180,0,0,0,0
Shalassiano,181,0,0,0,0
Thalassiano,182,0,0,0,0
Vulpera,285,0,0,0,0
Código complejo,287,0,0,0,0
Código básico,288,0,0,0,0
Metriano,290,7,5410,36,0
Contraltiano,291,7,5410,36,0
Sopraniano,292,7,5410,36,0
Laélico,293,7,5410,36,0
Reélico,294,7,5410,36,0
Clasolés,295,7,5410,36,0
Clafalés,296,7,5410,36,0
Idiomas incrustados,297,2,0,0,0
Indescifrable,298,7,5410,36,0
Fúrbolg,303,1,5508,36,62550
Terráneo,304,1,0,36,69564
Nerubiano,307,0,0,0,0
Lenguas de Santuario,308,0,0,0,0
