CalloutText_lang,CalloutFrame,ID,Type,Direction,Field_10_1_0_48480_005,UiWidgetSetID,OffsetX,OffsetY
Despojar,ContainerFrame1Item1,1,2,1,107628,0,0,0
Cambiar,ContainerFrame1Item1,2,2,1,107628,0,0,0
Despojar,MultiBarBottomLeftButton1,9,2,1,107628,0,0,0
Cambiar|n|n(|cFF00FFFFTab|r para navegar por las ranuras),MultiBarBottomLeftButton1,10,2,1,107628,0,0,0
Cambiar|n|n(|cFF00FFFFTab|r para navegar por las ranuras),MultiBarBottomLeftButton2,11,2,1,107628,0,0,0
Despojar,MultiBarBottomLeftButton2,12,2,1,107628,0,0,0
Despojar,MultiBarBottomRightButton1,13,2,1,107628,0,0,0
Cambiar|n|n(|cFF00FFFFTab|r para navegar por las ranuras),MultiBarBottomRightButton1,14,2,1,107628,0,0,0
Despojar,MultiBarBottomRightButton2,15,2,1,107628,0,0,0
Cambiar|n|n(|cFF00FFFFTab|r para navegar por las ranuras),MultiBarBottomRightButton2,16,2,1,107628,0,0,0
Presiona [Tab] para cambiar de ranura,MultiBarBottomLeft,17,3,3,0,0,0,0
¡Mejora!,MultiBarBottomLeftButton1,18,2,1,107628,0,0,0
¡Mejora!,MultiBarBottomLeftButton2,19,2,1,107628,0,0,0
¡Mejora!,MultiBarBottomRightButton1,20,2,1,107628,0,0,0
¡Mejora!,MultiBarBottomRightButton2,21,2,1,107628,0,0,0
¡Espera a que se hayan reunido suficientes jugadores para que comience el torneo!,UIWidgetBelowMinimapContainerFrame,29,3,3,0,0,0,0
,MultiBarBottomLeft,31,4,0,21439,772,-50000,16
,MultiBarBottomRight,32,4,0,21439,772,-50000,16
Test,ScenarioStageBlock,34,1,3,0,0,0,0
