Name_lang,ID,UiTextureKitID,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationID,Flags,ArtifactCategoryID,UiModelSceneID,SpellVisualKitID
Furia de Dandor,1,207,-11776,-382936,-2816,0,0,1,0,0
Crematoria,2,207,-11776,16765504,4006400,70,0,1,28,82183
Espadas Gemelas del Falsario,3,206,-2200833,16122111,8650889,577,0,1,23,82147
"Aluneth, Gran Bastón de Magna",4,208,-1267719,6343151,8615067,62,0,1,26,82174
Escama del Guardián de la Tierra,11,215,-44766,11010048,3276800,73,0,1,20,82029
Espadas del Príncipe Caído,12,214,-3804673,9152481,1447762,251,0,1,22,82144
"G'Hanir, el Árbol Madre",13,217,-2031755,-5579161,-16291053,105,0,1,24,82149
Fauce de los Malditos,15,214,-3804673,-1494733,-12778752,250,0,1,22,82144
Apocalipsis,16,214,-3804673,-12517523,-16761586,252,0,1,22,82144
Colmillos del Devorador,17,216,-45544,-1278118,-6935508,261,0,1,21,82029
"Garfa Corva, Lanza de los Dioses Salvajes",34,226,-2031755,-13053570,-16760525,255,0,1,46,82153
Espadas de Guerra de los Valarjar,35,215,-44766,11010048,3276800,72,0,1,20,82029
"Strom'kar, la Belicista",36,215,-44766,11010048,3276800,71,0,1,20,82029
Cráneo de los Man'ari,37,229,-4163342,-11204234,-16121829,266,2,1,32,82197
Cetro de Sargeras,38,229,-4163342,-7319653,-13500291,267,0,1,32,82197
"Ulthalesh, la Cosechadora Vientomuerto",39,229,-4163342,-6665828,-11199626,265,0,1,32,82197
El Puño de Ra-Den,40,225,-9057793,-11808266,-16711616,262,0,1,31,82193
Martillo maldito,41,225,-9057793,-11806981,-13022058,263,2,1,31,82193
"Sharas'dal, Cetro de las Mareas",42,225,-9057793,-16473972,-16753298,264,0,1,31,82193
Las Matarreyes,43,216,-45544,-2522525,-9889768,259,0,1,21,82029
Los Filos del Terror,44,216,-45544,-1589760,0,260,0,1,21,82029
"T'uure, Guía de los Naaru",45,227,-8851726,-9699335,-16766881,257,0,1,29,82184
Cólera de luz,46,227,-8851726,-10424321,-16739937,256,0,1,29,82184
"Xal'atath, Daga del Imperio Negro",47,241,-4163342,-7580513,-11986828,258,2,1,30,82190
La Mano de plata,48,207,-11776,16765504,4006400,65,0,1,28,82183
Veraguardia,49,207,-11776,16765504,4006400,66,0,1,28,82183
Puños de los Cielos,50,228,-9044026,-12779585,-15226471,269,0,1,27,82181
"Sheliun, Bastón de la Niebla",51,228,-9044026,-11733812,-16755897,270,0,1,27,82181
"Fu Zan, el Compañero del Vagabundo",52,228,-9044026,-12452628,-16083317,268,0,1,27,82181
"Frío del Ébano, el Gran Báculo de Alodi",53,208,-1267719,6343151,8615067,64,0,1,26,82174
Felo'melorn,54,208,-1267719,-1065376,-6281667,63,2,1,26,82174
"Thas'dorah, el Legado de los Brisaveloz",55,226,-2031755,-526230,-12430833,254,0,1,46,82153
Titánica,56,226,-2031755,-143103,0,253,0,1,46,82153
Garras de Ursoc,57,217,-2031755,-5579161,-16291053,104,0,1,24,82149
Colmillos de Ashamane,58,217,-2031755,-5579161,-16291053,103,0,1,24,82149
Guadaña de Elune,59,217,-2031755,-5579161,-16291053,102,0,1,24,82149
Las Hojas de Guerra Aldrachi,60,206,-2200833,16122111,8650889,581,0,1,23,82147
Pescadora sondaluz,73,227,-1,-10976565,-16772353,0,0,2,0,0
Portador de Roble,74,207,-11776,16765504,4006400,70,0,1,0,0
Test Artifact 2,80,207,-11776,16765504,4006400,70,0,1,18,23596
Test Artifact,81,207,-11776,16765504,4006400,65,0,1,0,0
Test Artifact 3,82,207,-11776,16765504,4006400,66,0,1,0,0
Artefacto de prueba de Owen,89,0,-16777216,-1732055,0,0,0,1,0,0
Instrumentos de justicia,194,227,-4207580,-1645248,-1890009,0,0,2,0,0
Alas de guerra,195,227,-4207580,-1645248,-1890009,0,0,2,0,0
Adeptos de Bastión,196,227,-4207580,-1645248,-1890009,0,0,2,0,0
Vanguardia de pies ligeros,197,227,-4207580,-1645248,-1890009,0,0,2,0,0
Venganza justiciera,198,227,-4207580,-1645248,-1890009,0,0,2,0,0
Credo de Revendreth,199,214,-3804673,-1494733,-12778752,0,0,2,0,0
Credo de Revendreth,200,214,-3804673,-1494733,-12778752,0,0,2,0,0
Credo de Revendreth,201,214,-3804673,-1494733,-12778752,0,0,2,0,0
Credo de Revendreth,202,214,-3804673,-1494733,-12778752,0,0,2,0,0
Credo de Revendreth,203,214,-3804673,-1494733,-12778752,0,0,2,0,0
Sistema de talentos 1,205,214,-3804673,-1494733,0,0,0,2,0,0
Sistema de talentos 2,223,214,-3804673,-1494733,0,0,0,2,0,0
Sistema de talentos 3,225,214,-3804673,-1494733,0,0,0,2,0,0
