Name_lang,Description_lang,ID,TriggerEnum,Flags
,,1,1,3
,,2,2,0
Ubicaciones,"|cnHIGHLIGHT_FONT_COLOR:Todas las ubicaciones:|r Este atuendo es válido para todas las ubicaciones. Se priorizarán los atuendos asignados a una ubicación específica.|n|n|cnHIGHLIGHT_FONT_COLOR:Áreas de descanso:|r Áreas que no sean de combate como pueblos y vecindarios.|n|n|cnHIGHLIGHT_FONT_COLOR:Casa:|r La casa de tu tropa.|n|n|cnHIGHLIGHT_FONT_COLOR:Selección de personaje:|r La visualización para tu campamento de tropa, así como la vista independiente.|n|n|cnHIGHLIGHT_FONT_COLOR:Mundo:|r Áreas de combate en exteriores.",3,3,4
Movimiento,Elige el tipo de movimiento para el que este atuendo es válido.,4,4,4
Especializaciones,Elige las especializaciones para las que este atuendo es válido.,5,5,4
Conjuntos de equipamiento,Elige los conjuntos de equipamiento para los que este atuendo es válido.,6,6,4
Todas las formas raciales,Elige las formas raciales para las que este atuendo es válido.,7,7,4
,,9,8,0
Clima,Elige las condiciones climáticas para las que este atuendo es válido.,11,9,4
Hora del día,Elige la hora del día para las que este atuendo es válido.,12,10,4
