Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
Arcano,Arcana,"Manipula la magia arcana y destruye a sus enemigos con un poder abrumador.

Arma preferida: bastón, varita, daga, espada",62,8,0,0,2,3,135932,0,362,190740,0
Fuego,Fuego,"Concentra la esencia pura de la magia de fuego y azota a sus enemigos con llamas ardientes.

Arma preferida: bastón, varita, daga y espada",63,8,1,0,2,3,135810,0,362,12846,0
Escarcha,Escarcha,"Congela a los enemigos en el lugar y los hace añicos con magia de escarcha.

Arma preferida: bastón, varita, daga y espada",64,8,2,0,2,67,135846,0,362,76613,0
Sagrado,Sagrado,"Invoca el poder de la Luz para sanar y proteger aliados y purgar el mal de los oscuros rincones del mundo.

Arma preferida: espada, maza y escudo",65,2,0,0,1,5,135920,1,0,183997,0
Protección,Protección,"Usa la magia sagrada para protegerse y defender a sus aliados.

Arma preferida: maza, hacha, espada y escudo",66,2,1,0,0,4,236264,5,0,76671,0
Reprensión,Reprensión,"Un cruzado honorable que sentencia y castiga a los oponentes con armas y magia sagrada.

Arma preferida: espada, maza o hacha de dos manos",70,2,2,0,2,68,135873,5,0,267316,0
Armas,Armas,"$GUn maestro:Una maestra; de armas que utiliza su movilidad y sus ataques aplastantes para derribar a sus oponentes.

Arma preferida: espada, maza o hacha de dos manos",71,1,0,0,2,68,132355,5,0,262111,0
Furia,Furia,"$GUn guerrero:Una guerrera; feroz que desata un aluvión de ataques con sus dos armas para destrozar a sus oponentes.

Armas preferidas: hachas, mazas, espadas de dos manos",72,1,1,0,2,20,132347,5,0,76856,0
Protección,Protección,"$gUn protector:Una protectora; inquebrantable que usa un escudo para protegerse y proteger a sus aliados.

Arma preferida: hacha, maza, espada y escudo",73,1,2,0,0,4,132341,5,0,76857,0
Ferocidad,Ferocidad,"Llevadas por una frenética perseverancia al cazar, estas bestias son imparables. Hasta la muerte es temporal para ellos.",74,0,0,0,2,0,236159,0,0,0,0
Astucia,Astucia,Criaturas astutas que pueden mitigar hábilmente golpes letales infligidos a ellos mismos y a sus aliados.,79,0,2,2,2,0,132150,0,0,0,0
Tenacidad,Tenacidad,"Defensores leales y veteranos que, sin dudarlo, protegen a sus aliados con sus pellejos gruesos y sus exteriores protectores.",81,0,1,1,0,0,132121,0,0,0,0
Equilibrio,Equilibrio,"Se puede transformar en un poderoso lechúcico; controla el poder de la magia arcana y de naturaleza.

Arma preferida: bastón, daga, maza",102,11,0,0,2,331,136096,0,363,393014,0
