ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID,TrackingIcon
1,Forzar cerradura,Objetos bloqueados,Recoger,PickLock,0,0
2,Herboristería,Hierbas,Recolectar,GatherHerbs,1,17635
3,Minería,Depósitos de minerales,Extraer,Mine,2,17636
4,Desactivar trampa,Trampa,Desactivar,,3,0
5,Abrir,Objetos abiertos,Abrir,,4,0
6,Tesoro (DND),Tesoro,,,5,0
7,Gemas cálcicas elfas (DND),Gemas cálcicas elfas,,,6,0
8,Cerrar,Objetos abiertos,Cerrar,,7,0
9,Activar trampa,Trampa,Activar,,8,0
10,Apertura rápida,Objetos abiertos,Abrir,,9,0
11,Cerrado rápido,Objetos abiertos,Cerrar,,10,0
12,Abrir ajustando,Objetos abiertos,Abrir,,11,0
13,Abrir de rodillas,Objetos abiertos,Abrir,,12,0
14,Abrir atacando,Objetos abiertos,Abrir,,13,0
15,Gahz'ridian (DND),Gahz'ridian,,,14,0
16,Reventar,Objetos bloqueados,Reventar,,15,0
17,Apertura JcJ,Objetos abiertos,Abrir,,16,0
18,Cierre JcJ,Objetos abiertos,Cerrar,,17,0
19,Pescar,Pescar,Pescar,FishingCursor,18,17634
20,Inscripción,Escrito,Descifrar,,19,0
21,Abrir desde vehículo,Objetos abiertos,Abrir,,20,0
22,Arqueología,Fragmentos,Estudiar,,21,0
23,Apertura JcJ rápida,Objetos abiertos,Abrir,,22,0
28,Aserradero,Madera,Cosechar,HarvestTimber,23,0
29,Desuello,Cuero,Desollar,skin,24,0
30,Maná ancestral,Depósitos de maná,Extraer,Extract,25,0
31,Tablero de guerra,Tableros de guerra,Inspeccionar,,26,0
32,Herboristería,Hierbas,Recolectar,GatherHerbs,27,17635
33,Herboristería,Hierbas,Recolectar,GatherHerbs,28,17635
34,Herboristería,Hierbas,Recolectar,GatherHerbs,29,17635
35,Herboristería,Hierbas,Recolectar,GatherHerbs,30,17635
36,Herboristería,Hierbas,Recolectar,GatherHerbs,31,17635
37,Herboristería,Hierbas,Recolectar,GatherHerbs,32,17635
38,Herboristería,Hierbas,Recolectar,GatherHerbs,33,17635
39,Herboristería,Hierbas,Recolectar,GatherHerbs,34,17635
40,Minería,Depósitos de minerales,Extraer,Mine,35,17636
41,Minería,Depósitos de minerales,Extraer,Mine,36,17636
42,Minería,Depósitos de minerales,Extraer,Mine,37,17636
43,Minería,Depósitos de minerales,Extraer,Mine,38,17636
44,Minería,Depósitos de minerales,Extraer,Mine,39,17636
45,Minería,Depósitos de minerales,Extraer,Mine,40,17636
46,Minería,Depósitos de minerales,Extraer,Mine,41,17636
47,Minería,Depósitos de minerales,Extraer,Mine,42,17636
48,Desuello,Cuero,Desollar,skin,43,0
149,Abrir (Apertura de objeto de inventario bloqueado),Objetos desbloqueados,Abrir,,44,0
150,Buscando alimento,Búsqueda de alimento,Buscar alimento,ForagePlants,45,0
152,Depósito de jalea,Jalea,Recolectar,,46,0
153,Herboristería,Hierbas,Recolectar,GatherHerbs,47,17635
155,Minería,Depósitos de minerales,Extraer,Mine,48,17636
157,Pacto: Noctifeéricos,Objetos desbloqueados,Abrir,,49,0
158,Pacto: Venthyr,Objetos desbloqueados,Abrir,,50,0
159,Pacto: Kyrian,Objetos desbloqueados,Abrir,,51,0
160,Pacto: Necroseñores,Objetos desbloqueados,Abrir,,52,0
161,Profesión: Ingeniería,,Desactivar,,53,0
162,Herboristería de las Islas Dragón,Hierbas,Recolectar,GatherHerbs,54,17635
163,Minería,Depósitos de minerales,Extraer,Mine,55,17636
166,Herboristería,Hierbas,Recolectar,GatherHerbs,56,17635
167,Minería,Depósitos de minerales,Extraer,Mine,57,17636
169,Encantamiento,Objetos encantados,Desencantar,,58,0
170,Tesoros de las Islas Dragón,Tesoros,Abrir,Open,59,0
172,Alquimia de las Islas Dragón 25,Objetos desbloqueados,Abrir,,60,0
173,Herrería de las Islas Dragón 25,Objetos desbloqueados,Abrir,,61,0
174,Encantamiento de las Islas Dragón 25,Objetos desbloqueados,Abrir,,62,0
175,Ingeniería de las Islas Dragón 25,Objetos desbloqueados,Abrir,,63,0
176,Herboristería de las Islas Dragón 25,Objetos desbloqueados,Abrir,,64,17635
177,Inscripción de las Islas Dragón 25,Objetos desbloqueados,Abrir,,65,0
178,Joyería de las Islas Dragón 25,Objetos desbloqueados,Abrir,,66,0
179,Peletería de las Islas Dragón 25,Objetos desbloqueados,Abrir,,67,0
180,Minería de las Islas Dragón 25,Objetos desbloqueados,Abrir,,68,17636
181,Desuello de las Islas Dragón 25,Objetos desbloqueados,Abrir,,69,0
182,Sastrería de las Islas Dragón 25,Objetos desbloqueados,Abrir,,70,0
186,Abrir de rodillas - Planta,Objetos desbloqueados,Recogiendo,,71,0
188,Minería de las Islas Dragón,Depósitos de minerales,Extraer,Mine,72,17636
193,Minería de Khaz Algar,Depósitos de minerales,Extraer,Mine,73,17636
194,Herboristería de Khaz Algar,Hierbas,Recolectar,GatherHerbs,74,17635
195,Alquimia de Khaz Algar 25,Objetos desbloqueados,Abrir,,75,0
196,Herrería de Khaz Algar 25,Objetos desbloqueados,Abrir,,76,0
197,Encantamiento de Khaz Algar 25,Objetos desbloqueados,Abrir,,77,0
198,Ingeniería de Khaz Algar 25,Objetos desbloqueados,Abrir,,78,0
199,Herboristería de Khaz Algar 25,Objetos desbloqueados,Abrir,,79,17635
200,Inscripción de Khaz Algar 25,Objetos desbloqueados,Abrir,,80,0
201,Joyería de Khaz Algar 25,Objetos desbloqueados,Abrir,,81,0
202,Peletería de Khaz Algar 25,Objetos desbloqueados,Abrir,,82,0
203,Minería de Khaz Algar 25,Objetos desbloqueados,Abrir,,83,17636
204,Desuello de Khaz Algar 25,Objetos desbloqueados,Abrir,,84,0
205,Sastrería de Khaz Algar 25,Objetos desbloqueados,Abrir,,85,0
