ID,OverrideNameString_lang,SlotMask,ItemNameDescriptionID
1,Leotardos del Vórtice de carillón,128,13884
15,Chilly Robe (DNT),1048576,13586
17,Mano de simetría temible,1024,13642
22,Coraza de cepa infecciosa,32,13662
23,Capa del Espiral letal,65536,13663
24,Mantón de monstruosidad,65536,13665
26,Peto vampírico,32,13668
27,Manoplas de la runa carmesí,1024,13669
28,Cadena de cero absoluto,4,13673
29,Cinturón del yugo eterno,64,13675
30,Cubremuñecas del cielo fundido,512,13679
31,Capucha de congelación profunda,2,13682
32,Sortija de Orden disciplinaria,2048,13684
33,Fajín de Potencial expandido,64,13685
34,Sobrevestes con encaje de Armonía arcana,1024,13691
35,Bucle del tiempo,2048,13692
37,Santuario de Uther,36,13695
38,Persecución de Dechado demente,256,13694
40,Sello de furia recta,2048,13704
42,Manto de Inquisidor incansable,65536,13709
43,Escarpes de Represalia,256,13713
44,Apisonadoras de Señor del trueno,256,13716
45,Guanteletes del Volátil,1024,13720
47,Talismán del señor de la batalla,4,13722
48,Hombreras de Reverberación sísmica,8,13723
49,Cubremuñecas de los ancestros,512,13724
50,Faja de temblores profundos,64,13725
51,Guardahombros de profundidad elemental,8,13726
52,Muerte ardiente del rompecielos,1048608,13728
53,Musleras de Equilibrio elemental,128,13729
54,Ecos del Gran Cataclismo,8,13730
55,Resurgimiento de lava del hablavientos,256,13731
56,Musleras de Jonat naturalmente concentradas,128,13736
57,Capa de caminaespíritus de las mareas,65536,13737
58,Manoplas de las mareas primigenias,1024,13738
59,Capa de Armonía terránea,65536,13739
60,Yelmo portadolor,2,13742
61,Cubremuñecas de la llamada salvaje,512,13743
62,Cinturón trampero de Hemet,64,13744
63,Cubrehombros de ascua almaforjada,8,13745
64,Amuleto de Estratagema cobarde,4,13746
66,Aro grabado de Orden temible,2048,13747
67,Leotardos de piel de cobra de despiertallamas,128,13748
68,Bufas de la guerra Eredun,8,13749
69,Capa del maestro acecharylak,65536,13750
70,Guardabrazos de Disparos a mansalva,512,13752
71,Hombreras de acechaserpientes,8,13753
72,Cubremuñecas de la vigilia insomne,512,13754
73,Musleras de acecharylak maldito,128,13756
74,Cubremuñecas de invocación superior de Wilfred,512,13759
77,Pilares del Portal Oscuro,4,13762
78,Toga de escritura de Azj'Aqir,1048608,13763
79,Golpeadores oscuros de Sacrolátigo,128,13764
80,Botas bordadas de cólera,256,13766
81,Hombreras astadas de pesadillas,8,13769
82,Musleras de cenizas llameantes de Azj'Aqir,128,13771
84,Musleras de reanimación,128,13666
87,Máscara de medio gigante,2,13776
90,Pezuñas de señor de la calamidad,256,13779
99,Botas desgarradoras de Endereth,256,13760
100,Ceñidor elegante de los ymirjar,64,13774
102,Sigilo del maestro asesino,2560,13790
105,Chaleco de sombra vigorizante,32,13793
106,Botas con cuchillas tóxicas,256,13791
110,Parche del crepusculante,32,13797
111,Varas de mimbre verdes,2,13798
112,Talismán del bandido,4,13799
114,Aro de celeridad,2048,13789
115,Trabuco oculto,1024,13800
116,Telón final,65536,13801
117,Fragmento de alma de Akaari,1024,13802
119,Sombras mortales,128,13804
126,Visión de sinergia demoníaca,2,13761
127,Pisadas de la familia Zoldyck,256,13796
128,Charreteras de Espada apocalíptica sangrientas,8,13795
130,Bufas con colmillos ensangrentados,8,13792
131,Apetito podrido,65536,13803
151,Paso vil errático,256,13781
158,Yelmo llameante vil,2,13782
159,Embozo de La hora más oscura,32,13778
161,Medallón de mirada oscura,4,13777
163,Ciclo del caos,64,13780
165,Coselete permaardor,32,13810
167,Pezuñas de señor de la calamidad,256,13809
168,Aro inquebrantable de llama vil,2048,13785
169,Capucha de la Llama de la Oscuridad,2,13783
170,Agarre temerario de Alma ardiente,1024,13786
171,Musleras perdidas de profanador,128,13784
172,Visión del crepúsculo y el amanecer,2,13697
175,Yelmo de finalización,130,13834
176,Grebas del hambre insaciable,256,13835
179,Espaldares pecaminosos,8,13837
180,Coraza de gloria,32,13836
182,Mandiletes de indulgencia pecaminosa,1024,13839
184,Bufas de afinidad de almas,8,13844
185,Botines de Espíritus celestiales,256,13846
186,Coselete de Enjambre colérico,32,13841
187,Hombreras de Claridad resonante,8,13851
189,Yelmo del Mazo de lealtad,2,13854
190,Leotardos de Matanza abrasadora,256,13857
191,Mandiletes de Ascuas radiantes,1024,13853
192,Botas de las estaciones de abundancia,256,13861
193,Yelmo del Pacto de Bwonsamdi,2,13862
195,Brazales de Palabra de las sombras: manipulación,512,13863
197,Ajustador de Escisión elemental,64,13867
198,Camisa de anillas del Conducto elemental,32,13869
199,Leotardos de Fragmento de aniquilación,128,13871
200,Escarpines de almas decadentes,256,13872
201,Turbante de la Explosión perpetua contenida,2,13873
202,Guantes de los acechadores de almas,1024,13874
203,Guanteletes de municiones maestras,512,13875
204,Collar de Fragmentos de las astas antiguas,4,13876
205,Botas de fragmentos filosos,256,13877
206,Jubón de la abundancia,32,13866
207,Mandiletes de la abominación,1024,13832
208,Peto de Transferencia desenfrenada,32,13833
209,Envolturas de la armonía feérica,1024,13881
210,Chestplate of Test 1 Override,32,13882
211,Chest of Test 2 Override,32,13883
213,Three-pronged Defender (DNT),4,13588
218,Borceguíes de carillón resonante,256,13884
219,Cubremuñecas de Enseñanzas siniestras,512,13885
220,Sortija de Enseñanzas siniestras,2048,13885
222,Manto de la Armonía esférica,8,13887
223,Leotardos de la Armonía esférica,128,13887
224,Anillo de Orden cadavérica,2048,13888
225,Sandalias de Orden cadavérica,256,13888
226,Peto del Espiral letal,32,13663
227,Quijotes de monstruosidad,128,13665
228,Guardarrenes de reanimación,64,13666
229,Sortija vampírica,2048,13668
230,Guardahombros de la runa carmesí,8,13669
231,Guardabrazos de cero absoluto,512,13673
232,Botas de guerra del yugo eterno,256,13675
233,Talismán del cielo fundido,4,13679
234,Hombreras de congelación profunda,8,13682
235,Cubremuñecas de Orden disciplinaria,64,13684
236,Botas de Potencial expandido,256,13685
237,Hombreras bordadas de Armonía arcana,8,13691
238,Manto del tiempo con inscripción,32,13692
239,Atadura de Dechado demente,64,13694
240,Devoción de Uther,4,13695
242,Escamas del Inquisidor incansable,128,13709
243,Musleras de Represalia,128,13713
244,Guanteletes del Señor del Trueno,1024,13716
245,Avambrazos del Volátil,512,13720
246,Guardamuñecas del Señor de la batalla,512,13722
247,Gran yelmo de Reverberación sísmica,2,13723
248,Guardarrenes de portadolor,64,13742
