Description_lang,ID,DataTag
Diminuto,1,65
Pequeño,2,66
Mediano,3,67
Grande,4,68
Enorme,5,69
Enanos,6,74
Enanos Martillo Salvaje,7,75
Enanos Barbabronce (Forjaz),8,76
Enanos Hierro Negro,9,77
Terráneos (dórnico),10,78
Humanos,11,79
Ventormenta,12,80
Kultiranos,13,81
Gilneanos / Huargen,14,82
Elfos,15,83
Elfos de sangre,16,84
Elfos de la noche,17,85
Elfos del Vacío,18,86
Natonocturno,19,87
Tauren,20,88
Draenei,21,89
Orcos,22,90
Goblin,23,91
Vulperas,24,92
Trols,25,93
Trols Lanza Negra,26,94
Trols zandalari,27,95
No-muertos,28,96
Gnomos,29,97
Pandaren,30,98
Haranir,31,452
Classic,32,99
Burning Crusade,33,100
Wrath of the Lich King,34,101
Cataclysm,35,102
Mists of Pandaria,36,103
Warlords of Draenor,37,104
Legion,38,105
Battle for Azeroth,39,106
Shadowlands,40,107
Dragonflight,41,108
The War Within,42,109
Midnight,43,110
Aniversarios de WoW,44,111
Fiesta de la Cerveza,45,112
Semana de los Niños,46,113
Feria de la Luna Negra,47,114
Festividad de los Muertos,48,115
Fuegos artificiales espectaculares,49,116
Halloween,50,117
Festival de la Cosecha,51,118
Amor en el aire,52,119
Festival Lunar,53,120
Festival de Fuego del Solsticio de Verano,54,121
Jardín Noble,55,122
Generosidad del Peregrino,56,123
Día de los Piratas,57,124
Festín del Festival de Invierno,58,125
Miscelánea,59,126
Audaz,60,141
Casual,61,142
Acogedor,62,143
Adorable,63,144
Elegante,64,145
Feérico,65,146
Vil,66,147
Suntuoso,67,148
Luz,68,149
Mecánico,69,150
Naturaleza,70,151
Pirata,71,152
Romántico,72,153
Simple,73,154
Espeluznante,74,155
Vacío,75,156
Vrykul,76,157
Extravagante,77,158
Alianza,78,159
Horda,79,160
Primavera,80,161
Verano,81,162
Otoño,82,163
Invierno,83,164
camino sendero,84,202
alfombra alfombras,85,201
taza tazas jarra jarras pichel,86,196
cubiertos vajilla utensilio tenedor cuchara cuchillo,87,198
bebida bebidas brebaje brebajes,88,195
comida cena festín aperitivo,89,194
cocina,90,199
plato platos,91,197
libro libros tomo tomos,92,190
jarrón jarrones,93,189
arte cuadro pintura lienzo,94,192
estanque,95,236
silla sillas,96,177
sillón sillones sofá sofás,97,178
armario armarios,98,185
estante estantes estanterías,99,184
mostrador mostradores,100,182
escritorio escritorios,101,181
mesa mesas,102,180
maniquí maniquíes,103,224
cocina estufa parrilla,104,222
creación creaciones artesanía profesión,105,221
columna columnas pilar pilares poste,106,208
cerca cercado,107,209
división pared divisoria,108,207
Rústica,109,70
Campestre,110,71
Opulenta,111,72
Fiesta/Evento,112,73
Mágica,113,458
Dracthyr,114,484
