Name_lang,Description_lang,ID,FiledataID
Rebosante,La sanación que supera la salud máxima del objetivo se convierte en efecto de absorción de sanación.,1,463570
Asustadizo,Los enemigos prestan mucha menos atención a la amenaza de los tanques.,2,135994
Volcánico,"En combate, los enemigos periódicamente provocan que gotas de llamas salgan a los pies de los enemigos lejanos.",3,451169
Necrótico,Los ataques cuerpo a cuerpo de todos los enemigos aplican una acumulación de peste que inflige daño con el tiempo y reduce la sanación recibida.,4,1029009
Prolífico,Hay enemigos no-jefes adicionales presentes en el calabozo.,5,136054
Enfurecido,"Los enemigos que no son jefes enfurecen cuando les queda un 30% de salud, lo que otorga inmunidad temporal a los efectos de control de masas.",6,132345
Reforzando,"Cuando cualquier enemigo que no es un jefe muere, su grito de muerte potencia a los aliados cercanos, lo que aumenta temporalmente un 20% su daño.",7,132333
Sanguina,"Cuando son asesinados, los enemigos que no son jefes dejan un charco de icor que sana a sus aliados y daña a los jugadores.",8,136124
Tiránico,Los jefes tienen un 25% más de salud. Los jefes y sus esbirros infligen hasta un 15% más de daño.,9,236401
Reforzado,Los enemigos que no son jefes tienen un 20% más de salud e infligen hasta un 20% más de daño.,10,463829
Llameante,"Los enemigos que no son jefes explotan cuando los matan, lo que inflige daño a todos los jugadores durante 4 s. Este efecto se acumula.",11,1035055
Grave,Los jugadores heridos reciben más daño con el tiempo hasta que se sanan.,12,132090
Explosivo,"Cuando están en combate, los enemigos invocan periódicamente Orbes explosivos que detonan si no los destruyen.",13,2175503
Tembloroso,"Periódicamente, todos los jugadores emiten una ola de choque que inflige daño e interrumpe a los aliados cercanos.",14,136025
Infestado,Algunos enemigos que no son jefes han sido infestados con un engendro de G'huun.,16,2032223
Abundante,Bwonsamdi potencia a los enemigos que no son jefes para que busquen venganza periódicamente desde la tumba.,117,2446016
Cautivador,Los emisarios de Azshara están presentes en todo el calabozo.,119,237565
Despierto,Los obeliscos repartidos por todo el calabozo permiten que los jugadores ingresen a Ny'alotha y confronten a sirvientes de N'Zoth poderosos. Los sirvientes que sobrevivan deberán derrotarse en el enfrentamiento con el jefe final.,120,442737
Orgulloso,"Los jugadores rebosan de orgullo a medida que derrotan enemigos que no son jefes, y finalmente forman una manifestación del orgullo. Derrotar a esta manifestación potencia notablemente a los jugadores.",121,3528307
Inspirador,Algunos enemigos que no son jefes tienen una presencia inspiradora que fortalece a sus aliados.,122,135946
Rencoroso,Se alzan malignos de los cadáveres de enemigos que no son jefes y persiguen a jugadores aleatorios.,123,135945
Tormentoso,"Durante el combate, los enemigos invocan torbellinos dañinos periódicamente.",124,136018
Atormentado,"Habrá sirvientes del Carcelero por todo el calabozo que te concederán bendiciones de mucho poder cuando los derrotes. Si no te encargas de un sirviente, potenciará al jefe final.",128,3528304
Infernal,"Hay faros infernales cerca de algunos jefes. Si activas un faro o entras en combate con un jefe cercano, se activará una invasión de la Legión.",129,1394959
Encriptado,"A lo largo del calabozo, te encontrarás con enemigos que cuentan con reliquias de los Primeros. Destrúyelas para invocar a los automas de los Primeros y obtener bonificaciones poderosas según el orden en el que las destruiste.",130,4038106
Velado,Unos infiltrados nathrezim se han camuflado entre los enemigos por todo el calabozo. El cártel Ta te otorgará una recompensa generosa si ayudas a capturarlos.,131,136177
Atronador,"Los enemigos tienen un 5% más de salud. Cuando están en combate, los jugadores quedan sobrecargados periódicamente con poder primigenio de la tormenta eterna de Raszageth. Este poder conlleva un gran riesgo, y si no se descarga rápidamente, puede tener consecuencias graves.",132,1385910
Concentrado,"Los enemigos con maná que no son jefes tienen un 30% más de celeridad, pero reciben un 10% más de daño de escarcha y de fuego.",133,458224
Estrangulación,"Durante el combate, aparecen periódicamente vides enredadoras que atrapan jugadores.",134,134412
Aflicción,"Durante el combate, aparecen periódicamente almas afligidas que buscan la ayuda de los jugadores.",135,0
Incorpóreo,"Durante el combate, aparecen periódicamente seres incorpóreos que intentan debilitar a los jugadores.",136,298642
Con escudo,"Cuando están en combate, los enemigos invocan periódicamente Orbes escudo que otorgan escudo a los enemigos cercanos si nadie los destruye.",137,535593
Espinoso,"Los enemigos sin maná que no son jefes infligen daño físico a sus atacantes cuando reciben un ataque, pero reciben un 10% más de daño sagrado y de las sombras.",144,1418495
Insensato,"Los enemigos sin maná que no son jefes ignoran un 20% de la armadura con sus ataques, pero su armadura se reduce un 30% y reciben un 10% más de daño arcano.",145,132363
Armonizado,"Los enemigos con maná que no son jefes infligen un 20% más de daño mágico, pero reciben un 10% más de daño de naturaleza y un 30% más de daño de los efectos de sangrado.",146,1391778
Astucia de Xal'atath,"Xal'atath traiciona a los jugadores, revoca sus pactos y hace que las muertes resten 15 segundos del tiempo que queda.",147,1723989
Pacto de Xal'atath: Ascendiente,"Cuando está en combate, Xal'atath arroja orbes de energía cósmica desde lo alto que potencian a los enemigos o a los aliados.",148,5976939
Riesgo de contendiente,"Se añaden 90 segundos al temporizador, pero al morir se restan 15 segundos del tiempo restante.",152,1052642
Pacto de Xal'atath: Frenético,"Los enemigos que no son jefes son afectados por un frenesí cuando les queda un 30% de salud, lo que aumenta un 40% su celeridad, pero aumenta un 20% el daño que reciben.",153,136224
Pacto de Xal'atath: Unida al Vacío,"Cuando está en combate, Xal'atath invoca una emisaria del Vacío que potencia a los enemigos cercanos.",158,4913234
Pacto de Xal'atath: Olvido,"Cuando está en combate, Xal'atath manifiesta cristales del Vacío que pueden absorber tanto los jugadores como los enemigos.",159,1386548
Pacto de Xal'atath: Devorar,"Cuando está en combate, Xal'atath abre fallas que devoran la esencia de los jugadores.",160,5927657
Pacto de Xal'atath: Púlsar,"Cuando está en combate, Xal'atath invoca púlsares que orbitan alrededor de los jugadores.",162,4914669
,,165,0
