ID,Text_lang
2,"Si bien individualmente no son inteligentes ni fuertes, los necrófagos sirven a la Espada de Ébano como carne de cañón y logran superar a sus enemigos en número."
3,"Frágiles, pero flexibles, los geist son capaces de escalar muros verticales y superficies disparejas para atrapar a sus desprevenidas víctimas."
4,"Levantados desde la tumba por el Rey Exánime, los Caballeros de Ébano están hechos para un propósito: matar o morir."
5,"Como veteranos endurecidos, los Devastadores de Ébano han sobrevivido muchas guerras, asesinado a muchos enemigos y son la epítome de los más feroces soldados de la Espada de Ébano."
6,"Disminuidos tras la exposición a energías viles, los Tábidos Lengua de ceniza aprendieron a ocultarse y sobrevivir por cualquier medio que fuera necesario, y lucharán desde las sombras o a plena luz."
7,"Alguna vez leales a Lady Vashj y a Kael'thas, la tribu Cicatriz espiral de los naga han entrenado sus mirmidones para convertirlos en guerreros rudos y temibles."
8,"Los cazadores de demonios Illidari adoptan el poder de los demonios, sacrificando sus características élficas en el proceso, para así asesinar más efectivamente a la Legión Ardiente."
9,Los Illidari más avanzados adoptan completamente la forma y el poder de los demonios y se transforman en criaturas oscuras y aladas capaces de obliterar a sus enemigos.
10,"Cuando el bosque está bajo amenaza, los árboles mismos toman vida para defender su hogar."
11,"Gentiles y juguetonas en tiempos de paz, las dríades, hermanas mitad elfo y mitad cervato de Cenarius, cazarán incansablemente a quienes dañen la naturaleza."
12,"Maestros en cambiar de forma, los Druidas de la Zarpa invocan el poder del oso para tomar la forma de la bestia y utilizar su fuerza y resistencia para devastar a sus enemigos."
13,"De apariencia mitad elfo, mitad ciervo, dotados de una sola mano con garras que asemejan ramas de árbol, los Protectores de la arboleda descienden de Cenarius mismo y poseen un poder inmenso sobre la naturaleza."
14,"Diestros con el arco y a menudo utilizados para apoyar a la infantería a la distancia, los arqueros son eficaces en grupos en los que pueden concentrar su poder de fuego en un solo objetivo o en un grupo de enemigos."
15,"Los maestros tiradores de la Senda oculta desarrollan sus habilidades de manera tan completa que son capaces de golpear a un enemigo con muy poca visibilidad, e incluso ninguna."
16,"Sin importar lo hostil del clima o cuán débil sea el rastro, los Rastreadores ocultos son capaces de perseguir y eliminar a sus presas como verdaderos expertos."
17,"Aunque todos los cazadores son hábiles en exteriores, los Abrecaminos viven su estilo de vida de forma integral, y no solo sobreviven en la naturaleza por decisión propia, sino que además no tienen comparación al utilizar el terreno contra sus oponentes."
18,"Aunque muchos magos consideran impredecibles a los elementales, los Magos de Escarcha han adoptado a los elementales de agua como su familiar mágico preferido desde hace siglos."
19,"Animados con una hechicería poderosa, los Gólems arcanos son forjados por albañiles y herreros expertos y potenciados para defender a los magos con fuerza bruta."
20,"Los Tirisgarde solo reclutan a los hechiceros más talentosos para convertirse en sus aprendices, e incluso los novatos son más poderosos que los maestros de órdenes inferiores."
21,"Practicantes de élite de lo arcano y los elementos, los invocadores del Kirin Tor pueden presumir un legado que incluye a Nielas Aran, el padre de Medivh, y no tienen comparación en las artes de la magia."
22,"""La fuerza física se desarrolla por fuera, pero la fortaleza viene del interior"". -Wrathion"
23,"Entrenados en un estilo de lucha que les permite superar a la mayoría de sus oponentes, los Adeptos del buey juraron proteger a los débiles con todo su poderío."
24,"Determinados y fuertes, solo los monjes del buey más fieles y leales ascienden para convertirse en maestros, para lo que deben enfrentar una prueba contra sus mayores miedos y superarlos."
25,"""La fuerza y el poder son tan distintos como el sol y la luna"". - Xuen, el Tigre Blanco."
26,"Entrenados para que sus golpes sean más rápidos que el rayo, los Adeptos del tigre comprenden que el control y el tiempo perfecto para golpear son más importantes que la potencia del golpe."
27,"Rápidos y serenos, los maestros del estilo del tigre emplean la paciencia y el poder como ningún otro, y aprovechan su fortaleza interior en el servicio de los demás."
28,"Aunque muchos escuderos de la Mano de plata aspiran a convertirse algún día en caballeros, muchos consideran un honor servir a aquellos que se han entregado por completo a la Luz."
29,"Aunque muchos paladines de la Mano de plata luchan en batalla sobre sus caballos de guerra, los Escuderos se especializan en el combate defensivo, y forman un muro impenetrable de protección."
30,"Los Caballeros de la Mano de plata realizan su instrucción de combate con la misma dedicación que sus oraciones diarias, para perfeccionar sus facultades de combate a fin de defender de mejor manera a los débiles e inocentes."
31,"Los Templarios de la Mano de plata no solo son diestros en la batalla, sino también los más honestos en su actuar. Fuerza con los brazos y pureza de mente son requisitos estrictos y solo quienes poseen ambas son designados como campeones."
32,"Generalmente, al inicio de su camino espiritual, los Acólitos del Cónclave sienten un sólido deseo de aprender y aceptan entusiastas el tutelaje y los deberes."
33,Los Dechados del Cónclave empuñan la Luz con gran pericia y a lo largo de los años se han hecho conocidos por su riguroso estudio e interpretación de textos.
