ID,Name_lang,Sex,BaseSection,UiCustomizationType,Flags,ComponentSection[0],ComponentSection[1],ComponentSection[2],RaceID
1,Color de piel,3,0,0,4,-1,-1,-1,0
2,Rostro,3,1,1,0,-1,-1,-1,0
3,Peinado,3,3,2,0,-1,-1,-1,0
4,Color de pelo,3,3,3,4,-1,-1,-1,0
5,Vello facial,3,2,4,0,-1,-1,-1,0
6,Tatuaje,3,5,5,1,12,-1,-1,4
7,Estilo de cuernos,3,6,6,0,-1,-1,-1,0
8,Vendas,3,7,7,0,-1,-1,-1,0
9,Color de tatuaje,3,5,8,5,12,-1,-1,4
10,Pendientes,1,2,4,0,-1,-1,-1,1
11,Pendientes,1,2,4,0,-1,-1,-1,2
12,Pendientes,1,2,4,0,-1,-1,-1,3
13,Marcas,1,2,4,0,-1,-1,-1,4
14,Rasgos,3,2,4,0,-1,-1,-1,5
15,Pelo,1,2,4,0,-1,-1,-1,6
16,Estilo de cuernos,3,3,2,0,-1,-1,-1,6
17,Color de cuernos,3,3,3,4,-1,-1,-1,6
18,Aretes,1,2,4,0,-1,-1,-1,7
19,Colmillos,3,2,4,0,-1,-1,-1,8
20,Orejas,3,2,4,0,-1,-1,-1,9
21,Aretes,1,2,4,0,-1,-1,-1,10
22,Orejas,1,2,4,0,-1,-1,-1,22
23,Estilo de cuernos,1,2,4,0,-1,-1,-1,11
24,Estilo de cuernos,1,2,4,0,-1,-1,-1,30
25,Runa,3,7,7,0,-1,-1,-1,30
26,Aretes,1,2,4,0,-1,-1,-1,24
27,Aretes,1,2,4,0,-1,-1,-1,25
28,Aretes,1,2,4,0,-1,-1,-1,26
29,Colmillos,3,6,6,0,-1,-1,-1,31
30,Aretes,3,7,7,0,-1,-1,-1,31
31,Accesorios,1,2,4,0,-1,-1,-1,31
32,Tatuaje,3,5,5,1,13,-1,-1,31
34,Tatuaje,3,5,5,1,12,-1,-1,10
35,Color de tatuaje,3,5,8,5,12,-1,-1,10
36,Tatuaje,3,5,5,1,12,-1,-1,30
37,Tatuaje,3,5,5,1,13,-1,-1,28
38,Pelo,1,2,4,0,-1,-1,-1,28
39,Estilo de cuernos,3,3,2,0,-1,-1,-1,28
40,Color de cuernos,3,3,3,4,-1,-1,-1,28
41,Aretes,1,2,4,0,-1,-1,-1,29
42,Tatuaje,3,5,5,1,13,-1,-1,27
43,Aretes,1,2,4,0,-1,-1,-1,27
44,Aretes,0,2,4,0,-1,-1,-1,27
46,Postura,0,7,7,0,-1,-1,-1,2
47,Tatuaje,0,6,6,0,13,-1,-1,34
48,Tatuaje,1,5,5,0,13,-1,-1,34
49,Postura,0,7,7,0,-1,-1,-1,36
50,Color de piel,3,0,0,5,-1,-1,-1,36
52,Pendientes,0,5,5,0,-1,-1,-1,34
153,Patrón,3,5,5,3,13,-1,-1,35
155,Aretes,1,6,6,0,-1,-1,-1,32
156,Collar,1,7,7,0,-1,-1,-1,32
157,Mejora de brazo,3,6,6,0,0,1,-1,37
158,Mejora de pierna,3,7,7,0,5,6,-1,37
159,Modificación,3,5,5,0,9,10,-1,37
160,Hocico,3,6,6,0,-1,-1,-1,35
161,Orejas,3,2,4,0,-1,-1,-1,35
162,Color de piel,3,0,0,5,-1,-1,-1,35
163,Tatuaje,3,5,5,0,-1,-1,-1,0
164,Vello facial,0,2,4,0,-1,-1,-1,6
165,Color de piel,3,0,0,4,-1,-1,-1,6
166,Accesorios,1,2,4,0,-1,-1,-1,36
167,Accesorios,1,2,4,0,-1,-1,-1,34
168,Cejas,1,2,4,0,-1,-1,-1,32
169,Color de piel,3,0,0,4,-1,-1,-1,28
170,Vello facial,0,2,4,0,-1,-1,-1,28
171,Color de piel,3,0,0,4,-1,-1,-1,24
172,Vello facial,0,2,4,0,-1,-1,-1,24
173,Peinado,0,3,2,0,-1,-1,-1,24
174,Peinado,3,3,4,0,-1,-1,-1,35
175,Rostro,3,1,1,0,-1,-1,-1,36
176,Rostro,3,1,1,0,-1,-1,-1,35
177,Rostro,3,1,1,0,-1,-1,-1,6
178,Rostro,3,1,1,0,-1,-1,-1,28
179,Rostro,3,1,1,0,-1,-1,-1,24
180,Pendientes,1,2,4,0,-1,-1,-1,23
