Name_lang,ID,MapID,DifficultyID,OrderIndex,CompleteWorldStateID,Bit,Flags,SpellIconFileID,Faction,Field_11_1_5_59735_010
Alta interrogadora Gerstahn,227,230,1,0,4625,0,4,0,-1,0
Lord Roccor,228,230,1,1000,4626,1,4,0,-1,0
Maestro de canes Grebmar,229,230,1,2000,4627,2,4,0,-1,0
Círculo de la Ley,230,230,1,3000,4628,3,4,0,-1,0
Piromántico Fruto del Saber,231,230,1,4000,4629,4,4,0,-1,0
Lord Incendius,232,230,1,5000,4630,5,4,0,-1,0
Depositario Stilgiss,233,230,1,6000,4633,6,4,0,-1,0
Finoso Virunegro,234,230,1,7000,4634,7,4,0,-1,0
Bael'Gar,235,230,1,8000,4635,8,4,0,-1,0
General Forjainquina,236,230,1,9000,4636,9,4,0,-1,0
Señor Gólem Argelmach,237,230,1,10000,4637,10,4,0,-1,0
Hurley Negrálito,238,230,1,11000,4638,11,4,0,-1,0
Falange,239,230,1,12000,4639,12,4,0,-1,0
Ribbly Llavenrosca,240,230,1,13000,4640,13,4,0,-1,0
Plugger Aropatoso,241,230,1,14000,4641,14,4,0,-1,0
Embajador Latifuego,242,230,1,15000,4642,15,4,0,-1,0
Los Siete,243,230,1,16000,4643,16,4,0,-1,0
Magmus,244,230,1,17000,4644,17,4,0,-1,0
Emperador Dagran Thaurissan,245,230,1,18000,4645,18,4,0,-1,0
Yor,250,557,2,1500,4607,3,4,0,-1,0
Alto señor Omokk,267,229,1,0,4646,0,4,0,-1,0
Cazadora de las Sombras Vosh'gajin,268,229,1,1000,4647,1,4,0,-1,0
Maestro de guerra Voone,269,229,1,2000,4648,2,4,0,-1,0
Madre Telabrasada,270,229,1,3000,4649,3,4,0,-1,0
Urok Aullasino,271,229,1,4000,4650,4,4,0,-1,0
Intendente Zigris,272,229,1,5000,4651,5,4,0,-1,0
Gizrul el Esclavista,273,229,1,6000,4652,6,4,0,-1,0
Halycon,274,229,1,5500,4653,7,4,0,-1,0
Señor supremo Vermiothalak,275,229,1,8000,4654,8,4,0,-1,0
Zevrim Pezuñahendida,343,429,0,0,4669,0,4,0,-1,0
Hidromilecio,344,429,0,-500,4670,1,4,0,-1,0
Lethtendris,345,429,0,-1000,4671,2,4,0,-1,0
Alzzin el Formaferal,346,429,0,3000,4672,3,4,0,-1,0
Illyanna Roblecuervo,347,429,0,4000,4676,4,4,0,-1,0
Magister Kalendris,348,429,0,5000,4675,5,4,0,-1,0
Immol'thar,349,429,0,6000,4676,6,4,0,-1,0
Tendris Alabeo,350,429,0,3500,4673,7,4,0,-1,0
Príncipe Tortheldrin,361,429,0,7000,4677,8,4,0,-1,0
Guardia Mol'dar,362,429,1,8000,4678,9,4,0,-1,0
Vapuleador Kreeg,363,429,1,9000,4679,10,4,0,-1,0
Guardia Fengus,364,429,1,10000,4680,11,4,0,-1,0
Guardia Slip'kik,365,429,1,11000,4681,12,4,0,-1,0
Capitán Kromcrush,366,429,1,12000,4682,13,4,0,-1,0
Cho'Rush el Observador,367,429,1,13000,4683,14,4,0,-1,0
Rey Gordok,368,429,1,14000,1544,15,4,0,-1,0
Radiactivo viscoso,378,90,1,2500,4693,1,4,0,-1,0
Grubbis,379,90,1,2000,4694,2,4,0,-1,0
Electrocutor 6000,380,90,1,3000,4695,3,4,0,-1,0
Golpeamasa 9-60,381,90,1,4000,4696,4,4,0,-1,0
Mekigeniero Termochufe,382,90,1,5000,4697,5,4,0,-1,0
Noxxion,422,349,1,0,4703,0,4,0,-1,0
Latisable,423,349,1,1000,4704,1,4,0,-1,0
Lord Lenguavil,424,349,1,2000,4705,2,4,0,-1,0
Celebras el Maldito,425,349,1,3000,4706,3,4,0,-1,0
Derrumblo,426,349,1,4000,4707,4,4,0,-1,0
Manitas Gizlock,427,349,1,1500,4708,5,4,0,-1,0
Escamapodrida,428,349,1,6000,4709,6,4,0,-1,0
Princesa Theradras,429,349,1,7000,4710,7,4,0,-1,0
Roogug,438,47,1,375,8591,0,0,0,-1,0
Interrogador Vishas,444,189,1,0,24615,0,0,0,-1,0
Maestro de canes Loksey,446,189,1,2000,24617,2,0,0,-1,0
Arcanista Doan,447,189,1,3000,24618,3,0,0,-1,0
Herod,448,189,1,4000,24619,4,0,0,-1,0
Alto inquisidor Ribalimpia,449,189,1,5000,24620,5,0,0,-1,0
