ID,AllowableRace,Display_lang,OverallQualityID,ExpansionID,MinFactionID,MinReputation,AllowableClass,RequiredLevel,RequiredSkill,RequiredSkillRank,RequiredAbility,ItemLevel,Flags[0],Flags[1],Flags[2],Flags[3],Flags[4],AllowableRaces[0],AllowableRaces[1]
25,-1,Espada corta desgastada,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
35,-1,Bastón doblado,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
36,-1,Maza desgastada,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
37,-1,Hacha desgastada,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
38,-1,Camisa de recluta,2,0,0,0,-1,0,0,0,0,1,36864,8192,8388608,0,0,-1,-1
39,-1,Pantalones de recluta,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
40,-1,Botas de recluta,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
43,-1,Botas de escudero,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
44,-1,Pantalones de escudero,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
45,-1,Camisa de escudero,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
47,-1,Zapatos de asaltante de caminos,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
48,-1,Pantalones de asaltante de caminos,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
49,-1,Camisa de asaltante de caminos,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
51,-1,Botas de neófito,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
52,-1,Pantalones de neófito,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
53,-1,Camisa de neófito,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
55,-1,Botas de aprendiz,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
56,-1,Toga de aprendiz,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
