SourceText_lang,ID,ItemID,Flags,SourceTypeEnum
|cFFFFD200Botín: |rBotín del mundo,1,1973,0,0
|cFFFFD200Casa de subastas del mercado negro|r,4,32566,0,2
|cFFFFD200Casa de subastas del mercado negro|r,5,33223,0,2
|cFFFFD200Casa de subastas del mercado negro|r,7,38578,0,2
|cFFFFD200Festivo: |rAmor en el aire|n|cFFFFD200Vendedor: |rMercader preciosa|n|cFFFFD200Zona: |rCiudades capitales|n|cFFFFD200Costo: |r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n,9,34480,0,6
|cFFFFD200Promoción|r,12,67097,0,7
|cFFFFD200Vendedor: |rTex Vortirrollo|n|cFFFFD200Zona: |rAzshara|n|cFFFFD200Costo: |r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,16,68806,0,2
|cFFFFD200Vendedor: |rAyla Ventiscaumbría|n|cFFFFD200Zona: |rFrente de Magma|n|cFFFFD200Costo: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,17,70161,0,2
|cFFFFD200Evento del mundo: |rHalloween|n|cFFFFD200Vendedor: |rFondón / Dorothy|n|cFFFFD200Zona: |rClaros de Tirisfal / Ciudad de Ventormenta|n|cFFFFD200Costo: |r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n,18,70722,0,6
|cFFFFD200Promoción|r,19,72161,0,7
|cFFFFD200Botín: |rPandaria,20,72231,2,0
|cFFFFD200Botín: |rYorik Vistafilada|n|cFFFFD200Zona: |rValle de la Flor Eterna,21,86568,0,0
"|cFFFFD200Botín: |rKang, el Ladrón de Almas|n|cFFFFD200Zona: |rValle de la Flor Eterna",22,86571,0,0
|cFFFFD200Botín: |rHavak|n|cFFFFD200Zona: |rCima Kun-Lai,23,72221,2,0
|cFFFFD200Botín: |rUrgolax|n|cFFFFD200Zona: |rValle de la Flor Eterna,24,86575,0,0
|cFFFFD200Botín: |rSki'thik|n|cFFFFD200Zona: |rCima Kun-Lai,25,72225,2,0
|cFFFFD200Misión: |rLa bendición de Elune|n|cFFFFD200Zona: |rClaro de la Luna,29,21540,0,1
,30,33079,2,7
|cFFFFD200Profesión: |rArqueología,33,64651,0,3
"|cFFFFD200Vendedor: |rOlut Alegut, Rork Barbilla Aguda|n|cFFFFD200Zona: |rLas Cumbres Tormentosas|n|cFFFFD200Costo: |r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t",34,43499,0,2
|cFFFFD200Botín: |rTerokk|n|cFFFFD200Zona:|r Bosque de Terokkar,99,32782,0,0
|cFFFFD200Casa de subastas del mercado negro|r,100,34499,0,2
|cFFFFD200Botín: |rRasganorte - Botín del mundo,101,37254,0,0
|cFFFFD200Promoción|r,102,38301,0,7
|cFFFFD200Logro: |rEl maestro de monedas|n|cFFFFD200Categoría: |rPesca,103,44430,0,5
|cFFFFD200Evento del mundo:|r El festín del Festival de Invierno,109,46709,0,6
|cFFFFD200Promoción|r,110,49703,0,7
|cFFFFD200Promoción|r,111,49704,2,7
|cFFFFD200Misión: |rEl lamento de Muradin|n|cFFFFD200Zona: |rCiudadela de la Corona de Hielo,112,52201,0,1
|cFFFFD200Misión: |rLa venganza de Sylvanas|n|cFFFFD200Zona: |rCiudadela de la Corona de Hielo,114,52253,0,1
|cFFFFD200Profesión: |rArqueología,116,64358,0,3
|cFFFFD200Profesión: |rArqueología,117,64361,0,3
|cFFFFD200Profesión: |rArqueología,118,64373,0,3
|cFFFFD200Profesión: |rArqueología,119,64383,0,3
|cFFFFD200Profesión: |rArqueología,120,64456,0,3
|cFFFFD200Profesión: |rArqueología,121,64481,0,3
|cFFFFD200Profesión: |rArqueología,122,64482,0,3
|cFFFFD200Profesión: |rArqueología,123,64646,0,3
|cFFFFD200Profesión: |rArqueología,124,64881,0,3
|cFFFFD200Vendedor: |rMeilosh|n|cFFFFD200Zona: |rFrondavil|n|cFFFFD200Facción: |rBastión Fauces de Madera - Exaltado|n|cFFFFD200Costo: |r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,125,66888,4,2
|cFFFFD200Evento del mundo: |rSemana de los niños|n|cFFFFD200Vendedor: |rBlax Botemisil / Chichón Perinola|n|cFFFFD200Zona: |rOrgrimmar / Ciudad de Ventormenta|n|cFFFFD200Costo: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,126,69895,0,2
|cFFFFD200Promoción|r,127,72159,0,7
|cFFFFD200Promoción|r,128,79769,0,7
|cFFFFD200Botín: |rZai el Exiliado|n|cFFFFD200Zona: |rCima Kun-Lai,129,86581,0,0
|cFFFFD200Botín: |rNessos el Oráculo|n|cFFFFD200Zona: |rCima Kun-Lai,131,72224,2,0
|cFFFFD200Botín: |rMoldo el Tuerto|n|cFFFFD200Zona: |rValle de la Flor Eterna,132,86586,0,0
|cFFFFD200Botín: |rAhone el Errante|n|cFFFFD200Zona: |rCima Kun-Lai,133,86588,0,0
|cFFFFD200Botín: |rAi-Li Reflejo Celeste|n|cFFFFD200Zona: |rDesierto del Pavor,134,86589,0,0
"|cFFFFD200Botín: |rAi-Ran, la Nube Flotante|n|cFFFFD200Zona: |rValle de la Flor Eterna",135,72229,2,0
|cFFFFD200Botín: |rBonobos|n|cFFFFD200Zona: |rValle de los Cuatro Vientos,136,72227,2,0
|cFFFFD200Botín: |rIk-Ik el Ágil|n|cFFFFD200Zona: |rDesierto del Pavor,137,86593,0,0
|cFFFFD200Logro: |rAprendiendo del mejor|n|cFFFFD200Categoría: |rPesca,139,86596,0,5
|cFFFFD200Logro: |rDe bar en bar|n|cFFFFD200Categoría: |rMists of Pandaria,140,87528,0,5
|cFFFFD200Vendedor: |rGina Zarpa Fangosa|n|cFFFFD200Zona: |rValle de los Cuatro Vientos|n|cFFFFD200Facción: |rLos Labradores - Exaltado|n|cFFFFD200Costo: |r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,142,90175,4,2
|cFFFFD200Evento del mundo:|r El festín del Festival de Invierno,143,90883,0,6
|cFFFFD200Evento del mundo:|r El festín del Festival de Invierno,144,90888,0,6
|cFFFFD200Vendedor: |rGelvas Roñoso|n|cFFFFD200Zona: |rIsla Luna Negra|n|cFFFFD200Costo: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,145,90899,0,6
|cFFFFD200Dado por: |rOrsur|n|cFFFFD200Zona: |rMansión Ravenholdt,147,72220,2,0
|cFFFFD200Botín: |rRa'sha|n|cFFFFD200Zona: |rIsla del Trueno,148,72226,2,0
|cFFFFD200Logro: |rLogro del géiser escondido de Tortos|n|cFFFFD200Categoría: |rAsalto a Pandaria,151,98132,0,5
|cFFFFD200Botín: |rGasterópodo|n|cFFFFD200Zona:|r Solio del Trueno,152,98136,0,0
|cFFFFD200Vendedor: |rPortavoz Gulan|n|cFFFFD200Zona: |rIsla Intemporal,153,72230,2,2
|cFFFFD200Vendedor: |rTejedor de niebla Ku|n|cFFFFD200Zona: |rIsla Intemporal|n|cFFFFD200Facción: |rEmperador Shaohao - Venerado,154,103685,4,2
|cFFFFD200Vendedor: |rHabitarrisco erosionado|n|cFFFFD200Zona: |rIsla Intemporal,155,104262,0,0
|cFFFFD200Botín: |rCampeón de la Llama Negra|n|cFFFFD200Zona: |rIsla Intemporal,156,104302,0,0
|cFFFFD200Botín: |rMaestro fogonero eterno|n|cFFFFD200Zona: |rIsla Intemporal,157,104309,0,0
|cFFFFD200Evento del mundo:|r El festín del Festival de Invierno,158,104318,0,6
|cFFFFD200Vendedor: |rVendedores del mundo|n|cFFFFD200Costo: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,159,104323,0,2
|cFFFFD200Vendedor: |rVendedores del mundo|n|cFFFFD200Costo: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,160,104324,0,2
|cFFFFD200Botín: |rSumo sacerdote de Ordos|n|cFFFFD200Zona: |rIsla Intemporal,161,72233,2,0
|cFFFFD200Botín: |rJakur el Ordon|n|cFFFFD200Zona: |rIsla Intemporal,162,104331,0,0
|cFFFFD200Evento del mundo: |rFeria de la Luna Negra|n|cFFFFD200Botín: |rDienteluna|n|cFFFFD200Zona: |rIsla Luna Negra,164,105898,0,6
|cFFFFD200Botín: |rBarco aterrador Vazuvius|n|cFFFFD200Zona: |rIsla Intemporal|n,165,104294,0,0
|cFFFFD200Evento del mundo: |r Caída de Zalazane,168,54653,2,6
|cFFFFD200Evento mundial:|r Festival Lunar|n|n|cFFFFD200Vendedor: |rFariel Cantoestelar|n|cFFFFD200Zona: |rClaro de la Luna|n|cFFFFD200Costo: |r25|TINTERFACE\ICONS\INV_MISC_ELVENCOINS.BLP:0|t,169,90000,0,6
|cFFFFD200Vendedor: |rVendedores del mundo|n|cFFFFD200Costo: |r100|TINTERFACE\ICONS\INV_MISC_COIN_01.BLP:0|t,170,90427,0,2
|cFFFFD200Evento del mundo: |r Operación: Gnomeregan,180,54651,2,6
|cFFFFD200Fuente: |rLegado de los Ancestros,181,72223,2,1
|cFFFFD200Evento mundial:|r Festival Lunar|n|n|cFFFFD200Vendedor: |rFariel Cantoestelar|n|cFFFFD200Zona: |rClaro de la Luna|n|cFFFFD200Costo: |r25|TINTERFACE\ICONS\INV_MISC_ELVENCOINS.BLP:0|t,182,89999,0,6
|cFFFFD200Vendedor: |rVendedores del mundo|n|cFFFFD200Costo: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,183,54343,0,2
|cFFFFD200Vendedor: |rVendedores del mundo|n|cFFFFD200Costo: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,184,54438,0,2
|cFFFFD200Vendedor: |rVendedores del mundo|n|cFFFFD200Costo: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,185,54437,0,2
|cFFFFD200Vendedor: |rVendedores del mundo|n|cFFFFD200Costo: |r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,186,44606,0,2
|cFFFFD200Vendedor: |rVendedores del mundo|n|cFFFFD200Costo: |r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,187,45057,0,2
|cFFFFD200Profesión: |rArqueología,188,69776,0,3
|cFFFFD200Vendedor: |rDama Evniki Kapsalis|n|cFFFFD200Zona: |rCorona de Hielo,189,46843,0,2
|cFFFFD200Botín: |rEmpalagón el Vigía del Corazón|n|cFFFFD200Zona: |rEstepas de Tong Long,190,90067,0,0
