DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
Bolsa,,2,1,0,0,-1,0,0,0,-1
Hacha,Hachas de una mano,3,2,0,0,-1,3,0,1,1
Hacha,Hachas de dos manos,4,2,1,0,0,3,0,2,-1
Arco,Arcos,5,2,2,0,-1,128,0,1,-1
Arma de fuego,Armas de fuego,6,2,3,0,-1,160,0,1,-1
Maza,Mazas de una mano,7,2,4,0,-1,3,0,1,5
Maza,Mazas de dos manos,8,2,5,0,4,3,0,2,-1
Arma de asta,Armas de asta,9,2,6,0,-1,3,0,2,-1
Espada,Espadas de una mano,10,2,7,0,-1,3,0,1,8
Espada,Espadas de dos manos,11,2,8,0,7,3,0,2,-1
Gujas de guerra,,12,2,9,0,-1,1,0,2,-1
Bastón,Bastones,13,2,10,0,-1,3,0,2,-1
Garras de oso,Garras de oso,14,2,11,0,-1,0,3,1,12
Garras de gato,Garras de gato,15,2,12,0,11,0,3,1,-1
Arma de puño,Armas de puño,16,2,13,0,-1,5,0,1,-1
Miscelánea,,17,2,14,0,-1,2,1,0,-1
Daga,Dagas,18,2,15,0,-1,3,0,8,-1
Miscelánea,,19,4,0,0,-1,512,1,0,-1
Tela,Tela,20,4,1,0,-1,1536,0,0,-1
Cuero,Cuero,21,4,2,0,-1,1536,0,0,-1
Malla,Malla,22,4,3,0,-1,1536,0,0,-1
Placas,Placas,23,4,4,0,-1,1536,0,0,-1
Cosmético,Cosmético,24,4,5,0,-1,0,1,0,-1
Escudo,Escudos,25,4,6,0,5,0,0,0,-1
Varita (OBSOLETO),,26,6,0,0,-1,0,3,0,-1
Rayo (OBSOLETO),,27,6,1,0,-1,0,2,0,-1
Flecha,,28,6,2,0,-1,0,2,0,-1
Bala,,29,6,3,0,-1,0,2,0,-1
Carcaj (OBSOLETO),,30,11,0,0,-1,0,7,0,-1
Bolt(OBSOLETE),,31,11,1,0,-1,0,7,0,-1
Carcaj,,32,11,2,0,-1,0,6,0,-1
Bolsa de munición,,33,11,3,0,-1,0,6,0,-1
Arma arrojadiza,Armas arrojadizas,34,2,16,0,-1,16,0,1,-1
Arma arrojadiza (OBSOLETO),,35,6,4,0,-1,0,2,0,-1
Intelecto,,36,3,0,1,-1,0,1,0,-1
Trade Goods (OBSOLETE),,37,7,0,0,-1,0,3,0,-1
Piezas,,38,7,1,10,-1,0,1,0,-1
Explosives (OBSOLETE),,39,7,2,0,-1,0,3,0,-1
Libro,,40,9,0,0,-1,0,1,0,-1
Peletería,,41,9,1,0,-1,0,1,0,-1
Sastrería,,42,9,2,0,-1,0,1,0,-1
Explosivos y dispositivos,,43,0,0,0,-1,0,1,0,-1
Pociones,,44,0,1,0,-1,0,1,0,-1
Elixires,,45,0,2,0,-1,0,1,0,-1
