ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,Mostrar puestos,Permite estabular cinco monturas más en el establo para que todos las vean.,0,0,0,132224,100,0
3,Comerciante de monturas,Un comerciante de monturas poco comunes ha puesto una tienda en los establos de tu fortaleza.,0,1,0,413588,5,0
7,Portal de regreso,Permite abortar una misión actual y traer de vuelta inmediatamente a los seguidores.,0,5,0,511651,0,0
8,Rebanacabezas,"Recluta a un seguidor aleatorio con un atributo específico, habilidad o función para 10 de material.",0,6,0,134149,0,0
9,Jefe de cocina Roca Negra,Permite el acceso a las misiones diarias de cocina en la fortaleza.,0,6,0,236571,0,0
11,Carros de minería,Otros mineros llenarán para ti carros llenos de mena y otras cosas extrañas.,0,7,3,961629,0,0
12,Huerta,Planta en tu fortaleza una huerta que te dará frutas poco comunes.,9,7,0,133977,0,0
13,Cuchillo para desollar precioso,Aumenta la colecta de piel por hora un 10%.,0,7,0,924154,0,0
22,Triturador de roca,"Crea material adicional al triturar las rocas desperdiciadas de las minas para usar en caminos, para concreto, etc.",0,7,3,135236,0,0
23,Teletransporte en masa,Quita tiempo de viaje para la primera misión de cada día que requiera 5 seguidores.,0,5,0,413583,0,0
24,Viaje por la ciudad,Brinda acceso a portales que otorgan transporte a ciudades que no sean Orgrimmar y Ventormenta.,0,5,0,135744,0,0
25,Recolector mecánico,Automatiza la cosecha de hierbas del jardín.,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,Blackrock,Genera más componentes de mena de Roca Negra en tus envíos.,0,3,0,0,0,0
28,Hierro genuino,Genera más componentes de mena de hierro genuino en tus envíos.,0,3,0,0,0,0
31,Envío de peces,"Una entrega de pescado fresco todos los días, ¡directamente a tu Choza de pesca!",0,6,3,970842,0,0
32,Pescando cebo,Aumenta mucho tus probabilidades de encontrar cebo mientras pescas en las aguas de tu fortaleza.,0,6,3,970852,0,0
33,Morador de cuevas,Otorga una probabilidad de pescar pezqueñines de Profundidades de escarcha en las aguas de fortalezas. Pueden usarse para invocar un morador de cuevas de Profundidades de escarcha.,0,6,3,970814,0,0
34,Laboratorio de estudiantes,Tu Laboratorio de alquimia tiene estudiantes y la clase tiene un par de pociones para ti todos los días.,0,6,3,413574,0,0
35,Transmutación,"El laboratorio se especializa en la naturaleza mutable de objetos físicos, lo que aumenta la cantidad de cristales metamórficos que pueden producirse diariamente.",0,6,3,967514,0,0
36,Elixir,"El laboratorio se especializa en catalizar reacciones alquímicas, lo que aumenta la cantidad de cristales alquímicos que pueden producirse diariamente.",0,6,3,967512,0,0
37,Llamamiento a las armas superior,"Refuerza a las tropas en tu facultad de Llamamiento a las armas, lo que genera más daño.",0,6,3,975738,0,0
38,Primeros auxilios,Invoca a un PNJ enfermera de Primeros auxilios que otorga pociones de sanación y vendas todos los días.,0,6,3,135966,0,0
39,Prisión,A veces alcanza a ladrones que pagan multas o brindan información útil para cumplir su condena.,0,6,3,136058,0,0
40,Guardias de la mina,"Los guardias de la fortaleza patrullan tu mina, manteniendo alejados a los goren hostiles.",0,6,3,132110,0,0
41,Comprando al por mayor,Reduce el costo de la compra de edificios y el cambio de especializaciones.,0,6,3,132761,0.5,0
