ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,Calabozo clásico,1,0,114
2,Burning Crusade normal,1,0,113
3,Burning Crusade heroico,1,0,112
4,Wrath of the Lich King normal,1,0,111
5,Wrath of the Lich King heroico,1,0,110
6,Banda clásica,2,0,522
7,Banda de Burning Crusade,2,0,521
8,Banda de Wrath of the Lich King (10),2,0,520
9,Banda de Wrath of the Lich King (25),2,0,519
11,Eventos del mundo,0,0,10
12,Cataclysm heroico,1,0,108
13,Cataclysm normal,1,0,109
14,Banda de Cataclysm (25),2,0,517
15,Banda de Cataclysm (10),2,0,518
20,Campo de batalla puntuado,2,0,1024
33,Hora del Crepúsculo heroico,1,0,107
36,Mists of Pandaria heroica,1,0,105
37,Mists of Pandaria normal,1,0,106
38,Gestas,1,0,1025
40,Banda de Mists of Pandaria (25),2,0,516
41,Banda de Mists of Pandaria (10),2,0,515
43,Gestas heroicas,1,0,1026
44,Cronoviaje,0,0,1027
45,Banda de Mists of Pandaria (Flexible),2,0,514
46,Jefe de mundo Mists of Pandaria,2,0,513
47,Warlords of Draenor Normal,1,0,104
48,Warlords of Draenor Heroico,1,0,103
49,Banda de Warlords of Draenor (Normal),2,0,510
50,Banda de Warlords of Draenor (Heroico),2,0,511
51,Banda de Warlords of Draenor (Mítico),2,0,512
52,Legion heroico,1,0,102
53,Legion normal,1,0,101
54,Banda de Legion (Normal),2,0,507
55,Banda de Legion (Heroica),2,0,508
56,Banda de Legion (Mítica),2,0,509
57,Battle for Azeroth - Normal,1,0,99
58,Battle for Azeroth - Heroico,1,0,100
159,Banda de Battle for Azeroth (normal),2,0,510
160,Banda de Battle for Azeroth (heroica),2,0,511
161,Banda de Battle for Azeroth (mítica),2,0,512
162,Mítico de Battle for Azeroth,1,0,101
163,Shadowlands Mítico,1,0,98
164,Shadowlands Heroico,1,0,97
165,Shadowlands Normal,1,0,96
166,Isla del Exilio,1,0,115
167,Banda de Shadowlands (mítica),2,0,95
168,Banda de Shadowlands (heroica),2,0,94
169,Banda de Shadowlands (normal),2,0,93
170,Dragonflight Mítico,1,0,92
171,Dragonflight Heroico,1,0,91
172,Dragonflight Normal,1,0,90
173,Seguidor de Dragonflight,1,0,90
177,The War Within normal,1,0,87
178,The War Within heroico,1,0,88
180,Seguidores de Mists of Pandaria,1,0,106
182,Calabozos de cronoviaje,0,0,1028
183,Calabozos de cronoviaje heroicos,0,0,1029
184,Gestas de cronoviaje,1,0,1030
185,Gestas de cronoviaje heroicas,1,0,1031
186,The War Within heroico: Temporada 1,1,0,89
192,The War Within heroico: Temporada 2,1,0,89
194,The War Within heroico: Temporada 3,1,0,89
