Money,Title_lang,Description_lang,ID,DecorID,DecorQuantity,Field_12_0_0_63534_006,Favor,RewardQuestID
50,tiger test reward [DNT],,1,0,0,0,0,0
0,Meta 1,Nuevos objetos se desbloquean en los vendedores de retos,2,0,0,0,0,0
0,Meta 2,Nuevos objetos se desbloquean en los vendedores de retos,3,0,0,0,0,0
0,Meta 3,Nuevos objetos se desbloquean en los vendedores de retos,4,0,0,0,0,0
0,Recompensa por reto completado,,5,0,0,0,0,93262
0,Recompensa por reto completado,,21,0,0,0,0,93262
0,Recompensa por reto completado,,22,0,0,0,0,93262
0,Recompensa por reto completado,,23,0,0,0,0,93262
0,Recompensa por reto completado,,24,0,0,0,0,93262
0,Recompensa por reto completado,,25,0,0,0,0,93262
0,Recompensa por reto completado,,26,0,0,0,0,93262
0,Recompensa por reto completado,,27,0,0,0,0,93262
0,Recompensa por reto completado,,28,0,0,0,0,93262
0,Recompensa por reto completado,,29,0,0,0,0,93262
