Name_lang,Description_lang,ID,TriggerEnum,Flags
,,1,1,3
,,2,2,0
Зоны,"|cnHIGHLIGHT_FONT_COLOR:Все зоны:|r этот наряд действует во всех зонах. Наряды, назначенные для конкретных зон, имеют более высокий приоритет.|n|n|cnHIGHLIGHT_FONT_COLOR:Зоны отдыха:|r небоевые зоны, такие как города и жилые районы.|n|n|cnHIGHLIGHT_FONT_COLOR:Дом:|r дом вашего отряда.|n|n|cnHIGHLIGHT_FONT_COLOR:Выбор персонажа:|r отображение в лагере отряда и отдельно.|n|n|cnHIGHLIGHT_FONT_COLOR:Мир:|r боевые зоны в открытом мире.",3,3,4
Передвижение,"Выберите тип передвижения, для которого будет применяться этот наряд.",4,4,4
Специализации,"Выберите специализации, для которых будет применяться этот наряд.",5,5,4
Комплекты снаряжения,"Выберите комплекты снаряжения, для которых будет применяться этот наряд.",6,6,4
Расовые облики,"Выберите расовые облики, для которых будет применяться этот наряд.",7,7,4
,,9,8,0
Погода,"Выберите погодные условия, при которых будет использоваться этот наряд.",11,9,4
Время суток,"Выберите время суток, при котором будет использоваться этот наряд.",12,10,4
