Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,%s $,%s $,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",1,840,16,833
GBP,%s £,%s £,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",2,826,16,836
KRW,%s*,%s боевых монет,"Подтверждение: нажав расположенную ниже кнопку ""Оплатить"", вы подтвердите то, что прочли все условия транзакции 
(|HurlIndex:9|h|cff71d5ffусловия продажи|r|h, |HurlIndex:8|h|cff71d5ffусловия возврата|r|h и |HurlIndex:13|h|cff71d5ffполитику конфиденциальности|r|h), согласны с ними и подтверждаете эту покупку.",3,410,48,834
EUR,%s €,%s €,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",4,978,16,836
RUB,%s р.,%s р.,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",5,643,16,836
COP,%s $,%s $,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",6,170,4,833
PEN,%s S/.,%s S/.,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",7,604,4,833
ARS,%s $,%s $,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",8,32,0,833
CLP,%s $,%s $,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",9,152,0,833
MXN,%s $,%s $,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",10,484,0,833
BRL,%s R$,%s R$,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",11,986,0,833
AUD,%s $,%s $,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",12,36,0,833
SGD,%s $,%s $,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",13,702,0,833
CPT,%s*,%s боевых монет,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:18|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:19|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",14,15,32,848
TPT,%s NT$,%s NT$,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:10|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:20|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",15,16,36,840
XTS,%s XTS,%s XTS,,16,963,2,960
XHG,,,,17,17,7,0
XXX,,,,18,999,7,0
XSG,,,,19,19,7,0
XPG,,,,20,20,7,0
XTU,,,,21,21,2,0
XTE,,,,22,22,2,0
XTK,,,,23,23,2,0
XTW,,,,24,24,2,0
XTC,,,,25,25,2,0
XDC,,,,26,26,7,0
XTX,,,,27,28,2,0
JPY,%s ¥,%s ¥,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",28,392,4,833
CAD,%s CAD,%s CAD,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",29,124,0,833
NZD,%s NZD,%s NZD,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",30,554,0,833
GEL,%s GEL,%s GEL,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",31,981,16,836
TRY,%s TRY,%s TRY,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",32,949,16,2020
KZT,%s KZT,%s KZT,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",33,398,16,836
UAH,%s UAH,%s UAH,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",34,980,16,836
HKD,%s HK$,%s HK$,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:10|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:20|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",35,344,16,840
AED,%s AED,%s AED,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",38,784,16,836
BGN,%s лв,%s лв,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",39,975,16,836
CHF,%s Fr.,%s Fr.,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",40,756,16,836
CZK,%s CZK,%s CZK,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",41,203,16,836
