ID,InfoName_lang,Type,Modifiers,Profession
1,Группа,0,2,0
21,Класс,0,0,0
41,PvP,0,0,0
62,Рейд,0,0,0
81,Подземелье,0,0,0
82,Игровое событие,0,0,0
83,Легенда,0,0,0
84,Сопровождение,0,0,0
85,Героическое,0,0,0
88,Рейд (10),0,0,0
89,Рейд (25),0,0,0
98,Сценарий,0,0,0
104,Side Quest,0,0,0
107,Артефакт,0,0,0
109,Локальное задание,2,256,0
110,Эпическое локальное задание,2,268,0
111,Элитное локальное задание,2,258,0
112,Эпическое элитное локальное задание,2,334,0
113,Локальное задание: PvP,3,256,0
114,Локальное задание: первая помощь,1,256,129
115,Локальное задание: боевые питомцы,4,256,0
116,Локальное задание: кузнечное дело,1,256,164
117,Локальное задание: кожевничество,1,256,165
118,Локальное задание: алхимия,1,256,171
119,Локальное задание: травничество,1,256,182
120,Локальное задание: горное дело,1,256,186
121,Локальное задание: портняжное дело,1,256,197
122,Локальное задание: инженерное дело,1,256,202
123,Локальное задание: наложение чар,1,256,333
124,Локальное задание: снятие шкур,1,256,393
125,Локальное задание: ювелирное дело,1,256,755
126,Локальное задание: начертание,1,256,773
128,Задание эмиссара,5,272,0
129,Локальное задание: археология,1,256,794
130,Локальное задание: рыбная ловля,1,256,356
131,Локальное задание: кулинария,1,256,185
135,Редкое локальное задание,2,257,0
136,Редкое элитное локальное задание,2,267,0
137,Локальное задание: подземелье,6,267,0
139,Локальное задание: вторжение Легиона,7,296,0
140,Рейтинговая награда,3,272,0
141,Локальное задание для рейда,8,266,0
142,Элитное локальное задание: вторжение Легиона,7,266,0
143,Вклад Армии погибели Легиона,9,272,0
144,Локальное задание Армии погибели Легиона,2,334,0
145,Локальное задание Армии погибели Легиона в подземелье,6,331,0
146,Legion Invasion World Quest Wrapper,11,0,0
147,Фронт – степи,0,0,0
148,Карманная кража,0,0,0
151,Локальное задание Магни – азерит,2,256,0
152,Tortollan World Quest - 8.0,2,256,0
153,Помощь фронту,9,272,0
254,Задание на острове,0,0,0
255,PvP в режиме войны,0,0,0
256,Завоевание (PvP),10,272,0
259,Локальное задание: вторжение фракции,12,360,0
260,Элитное локальное задание: вторжение фракции,12,330,0
261,Еженедельное задание на островах,13,144,0
263,Открытое задание,0,16,0
264,Угроза: задача,5,272,0
265,Скрытое задание,5,272,0
266,Задание для боевого спутника,0,0,0
267,Профессии,0,0,0
268,Угроза: оболочка,14,272,0
270,Угроза: задание эмиссара,14,272,0
271,Призыв,15,0,0
272,VenthyrPartyQuest,2,448,0
273,Трекер появления душ Утробы,5,272,0
278,Локальное PvP-задание на убийство элитного противника,3,258,0
279,Задание посланника Запретного края,9,0,0
281,Гонки драконов,16,0,0
282,Важное задание,0,1024,0
283,Bonus Ojective with Completion Toast,0,512,0
284,Метазадание,0,2048,0
286,Ключевое локальное задание,17,266,0
287,Блокировка ключевого задания,5,272,0
288,Вылазка,0,0,0
289,Босс вне подземелья,18,334,0
291,Скрытое,0,272,0
292,Важное задание (отменить нельзя),0,1280,0
