ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
1,Наносит противнику $s@effectindex ед. физического урона.,,2,0,1,3,1,50,50
2,Наносит противнику $s@effectindex ед. урона от светлой магии.,,2,0,1,3,2,50,50
3,Наносит противнику $s@effectindex ед. урона от огня.,,2,0,1,3,4,50,50
4,Наносит противнику $s@effectindex ед. урона от сил природы.,,2,0,1,3,8,50,50
5,Наносит противнику $s@effectindex ед. урона от магии льда.,,2,0,1,3,16,50,50
6,Наносит противнику $s@effectindex ед. урона от темной магии.,,2,0,1,3,32,50,50
7,Наносит противнику $s@effectindex ед. урона от тайной магии.,,2,0,1,3,64,50,50
8,Наносит противнику $s@effectindex ед. урона от магии Хаоса.,,2,0,1,3,127,50,50
9,Наносит $s@effectindex ед. физического урона всем противникам в радиусе $A@effectindex м от места поражения.,,2,0,1,5,1,50,50
10,Наносит $s@effectindex ед. урона от светлой магии всем противникам в радиусе $A@effectindex м от места поражения.,,2,0,1,5,2,50,50
11,Наносит $s@effectindex ед. урона от огня всем противникам в радиусе $A@effectindex м от места поражения.,,2,0,1,5,4,50,50
12,Наносит $s@effectindex ед. урона от сил природы всем противникам в радиусе $A@effectindex м от места поражения.,,2,0,1,5,8,50,50
13,Наносит $s@effectindex ед. урона от магии льда всем противникам в радиусе $A@effectindex м от места поражения.,,2,0,1,5,16,50,50
14,Наносит $s@effectindex ед. урона от темной магии всем противникам в радиусе $A@effectindex м от места поражения.,,2,0,1,5,32,50,50
15,Наносит $s@effectindex ед. урона от тайной магии всем противникам в радиусе $A@effectindex м от места поражения.,,2,0,1,5,64,50,50
16,Наносит $s@effectindex ед. урона от магии Хаоса противникам в радиусе $A@effectindex м от места поражения.,,2,0,1,5,127,50,50
17,Наносит $s@effectindex ед. физического урона противникам в радиусе $A@effectindex м.,,2,0,1,7,1,50,50
18,Наносит $s@effectindex ед. урона от светлой магии противникам в радиусе $A@effectindex м.,,2,0,1,7,2,50,50
19,Наносит $s@effectindex ед. урона от огня противникам в радиусе $A@effectindex м.,,2,0,1,7,4,50,50
20,Наносит $s@effectindex ед. урона от сил природы противникам в радиусе $A@effectindex м.,,2,0,1,7,8,50,50
21,Наносит $s@effectindex ед. урона от магии льда противникам в радиусе $A@effectindex м.,,2,0,1,7,16,50,50
22,Наносит $s@effectindex ед. урона от темной магии противникам в радиусе $A@effectindex м.,,2,0,1,7,32,50,50
23,Наносит $s@effectindex ед. урона от тайной магии противникам в радиусе $A@effectindex м.,,2,0,1,7,64,50,50
24,Наносит $s@effectindex ед. урона от магии Хаоса противникам в радиусе $A@effectindex м.,,2,0,1,7,127,50,50
25,Наносит противнику $s@effectindex ед. физического урона раз в $t@effectindex сек. в течение $d.,$s@effectindex ед. физического урона раз в $t@effectindex сек.,6,3,1,3,1,50,50
26,Наносит противнику $s@effectindex ед. урона от светлой магии раз в $t@effectindex сек. в течение $d.,$s@effectindex ед. урона от светлой магии раз в $t@effectindex сек.,6,3,1,3,2,50,50
27,Наносит противнику $s@effectindex ед. урона от огня раз в $t@effectindex сек. в течение $d.,$s@effectindex ед. урона от огня раз в $t@effectindex сек.,6,3,1,3,4,50,50
28,Наносит противнику $s@effectindex ед. урона от сил природы раз в $t@effectindex сек. в течение $d.,$s@effectindex ед. урона от сил природы раз в $t@effectindex сек.,6,3,1,3,8,50,50
29,Наносит противнику $s@effectindex ед. урона от магии льда раз в $t@effectindex сек. в течение $d.,$s@effectindex ед. урона от магии льда раз в $t@effectindex сек.,6,3,1,3,16,50,50
30,Наносит противнику $s@effectindex ед. урона от темной магии раз в $t@effectindex сек. в течение $d.,$s@effectindex ед. урона от темной магии раз в $t@effectindex сек.,6,3,1,3,32,50,50
31,Наносит противнику $s@effectindex ед. урона от тайной магии раз в $t@effectindex сек. в течение $d.,$s@effectindex ед. урона от тайной магии раз в $t@effectindex сек.,6,3,1,3,64,50,50
32,Наносит противнику $s@effectindex ед. урона от магии Хаоса раз в $t@effectindex сек. в течение $d.,$s@effectindex ед. урона от магии Хаоса раз в $t@effectindex сек.,6,3,1,3,127,50,50
33,"Оглушает противника, делая его неспособным передвигаться и атаковать в течение $d.",Оглушение.,6,12,0,3,0,0,0
34,Повышает скорость атаки и применения заклинаний союзников в радиусе $A@effectindex м вокруг точки применения на $s@effectindex% на $d.,Скорость атаки и применения заклинаний повышена на $s@effectindex%.,6,193,1,6,0,0,0
35,"Оглушает противников в радиусе $A@effectindex м, делая их неспособными передвигаться и атаковать в течение $d.",Оглушение.,6,12,0,7,0,0,0
36,"Оглушает противников в радиусе $A@effectindex м от места поражения, делая их неспособными передвигаться и атаковать в течение $d.",Оглушение.,6,12,0,5,0,0,0
37,Восстанавливает союзнику $s@effectindex% от его максимального запаса здоровья.,,136,0,1,2,0,0,0
38,Обездвиживает противника на время до $d.,Обездвиженность.,6,26,0,3,0,20,0
42,Наносит противнику урон от темной магии раз в $t@effectindex сек. в течение $d.,Урон от темной магии раз в $t@effectindex сек.,6,70,1,3,32,50,50
43,Наносит противнику физический урон.,,31,0,1,3,1,50,50
44,Наносит противнику урон от светлой магии.,,31,0,1,3,2,50,50
45,Наносит противнику урон от огня.,,31,0,1,3,4,50,50
46,Наносит противнику урон от сил природы.,,31,0,1,3,8,50,50
47,Наносит противнику урон от магии льда.,,31,0,1,3,16,50,50
48,Наносит противнику урон от темной магии.,,31,0,1,3,32,50,50
