ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,Распахнутые стойла,Позволяет выставить в стойлах на всеобщее обозрение еще 5 верховых животных.,0,0,0,132224,100,0
3,Горный торговец,В стойлах вашего гарнизона откроет магазин торговец редкими верховыми животными.,0,1,0,413588,5,0
7,Портал возвращения,Позволяет отменить текущее задание и немедленно вернуть соратников.,0,5,0,511651,0,0
8,Охотник за головами,"Позволяет за 10 единиц материалов завербовать случайно выбранного соратника с особой способностью, качеством или ролью.",0,6,0,134149,0,0
9,Шеф-повар Черной горы,"Дает доступ к ежедневным заданиям гарнизона, связанным с кулинарией.",0,6,0,236571,0,0
11,Вагонетки,"Дополнительный штат горняков будет заполнять для вас эти вагонетки рудой и другими, более странными вещами.",0,7,3,961629,0,0
12,Фруктовый сад,"Посадите в гарнизоне сад, в котором будут выращиваться редкие фрукты.",9,7,0,133977,0,0
13,Изящный нож для снятия шкур,На 10% повышает скорость добычи шкур.,0,7,0,924154,0,0
22,Камнекрушитель,"Создает дополнительные материалы для строительства, дробя пустую руду из шахты.",0,7,3,135236,0,0
23,Массовая телепортация,"Каждый день снижает время выполнения первого задания, для которого необходимо участие 5 соратников.",0,5,0,413583,0,0
24,Путешествие по городам,"Дает доступ к порталам в другие города, помимо Оргриммара и Штормграда.",0,5,0,135744,0,0
25,Механический собиратель,Автоматически собирает травы в саду.,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,Черная гора,Увеличивает количество руды Черной горы в ваших грузах.,0,3,0,0,0,0
28,Истинное железо,Увеличивает количество истинной железной руды в ваших грузах.,0,3,0,0,0,0
31,Поставка рыбы,Свежая рыба каждый день! Доставка прямо в рыбацкую хижину!,0,6,3,970842,0,0
32,Ловля на наживку,Значительно повышает вероятность найти наживку во время рыбной ловли в водоемах гарнизона.,0,6,3,970852,0,0
33,Обитатель пещер,Позволяет выловить ледоспинку студеных глубин из водоемов гарнизона. Может использоваться для призыва обитателя ледяных пещер.,0,6,3,970814,0,0
34,Учебный класс,"Ваша алхимическая лаборатория обучает студентов, и класс каждый день готовит для вас пару зелий.",0,6,3,413574,0,0
35,Трансмутация,"Лаборатория специализируется на метаморфозах физических объектов, тем самым повышая число метаморфных кристаллов, производимых за день.",0,6,3,967514,0,0
36,Эликсиры,"Лаборатория специализируется на метаморфозах физических объектов, тем самым повышая число алхимических катализаторов, производимых за день.",0,6,3,967512,0,0
37,Большой призыв к оружию,"Усиливает способность ""Призыв к оружию"". Ваши отряды наносят больше урона.",0,6,3,975738,0,0
38,Первая помощь,"Каждый день призывает санитарку, которая приносит целебные зелья и бинты.",0,6,3,135966,0,0
39,Тюрьма,"Иногда помогает ловить воров, которые платят штрафы или сообщают ценную информацию.",0,6,3,136058,0,0
40,Охранники рудника,"Стража гарнизона будет патрулировать шахту, чтобы враждебные горены не прорвались в нее.",0,6,3,132110,0,0
41,Оптовая закупка,Снижает цену строительства зданий и смены специализаций.,0,6,3,132761,0.5,0
