ID,Name_lang,Quantity,Flags
2,Самоцветы ювелира,3,1
3,Камень здоровья,1,0
4,Самоцвет маны,1,0
6,Самоцвет бури,1,1
7,Зачарованная жемчужина,1,1
8,Связующий свет,1,1
9,Связующий камень,1,1
10,Выбор смерти,1,1
11,Приговор смерти,1,1
12,Клятва Эйтригга,1,1
13,Рвение Зиморожденного,1,1
14,Фетиш неустойчивой силы,1,1
15,Жизненная сила Джаганнатха,1,1
16,Власть мертвых,1,1
17,Власть неживых,1,1
18,Упрямый скарабей Сатрины,1,1
19,Утешение поверженных,1,1
20,Утешение павших,1,1
21,Талисман неустойчивой силы,1,1
22,Отмщение Отрекшихся,1,1
23,Зов Виктора,1,1
24,Кольцо бездушной агрессии,1,0
25,Кольцо удручающего насилия,1,1
26,Кольцо короля-предателя,1,0
27,Кольцо валь'кир-близнецов,1,1
28,Кольцо жестокого характера,1,1
29,Кольцо хищника,1,1
30,Обруч Темной Целительницы,1,1
31,Кольцо Огненной Бури,1,1
32,Перстень Огненной Бури,1,1
33,Кольцо Гормока,1,1
34,Петля валь'кир-близнецов,1,1
35,Проявление Лурида,1,1
36,Кольцо ловца граней,1,1
37,Перстень ловца граней,1,1
38,Перстень бездушной агрессии,1,1
39,Перстень бездушной агрессии,1,1
40,Перстень Темной Целительницы,1,1
41,Перстень жестокого характера,1,1
42,Перстень короля-предателя,1,1
43,Test Ring Limit,1,1
44,Счеты Алтора,1,1
45,Подвеска истинной крови,1,1
46,Монета на удачу,1,1
47,Воля Смертоносного,1,1
48,Объект из другого измерения,1,1
49,Талисман безымянного лича,1,1
50,Миниатюрное поганище в колбе,1,1
51,Безупречный клык Синдрагосы,1,1
52,Окровавленное кольцо поганища,1,1
53,Печатка гниения,1,1
54,Плетеное рубиновое кольцо,1,1
55,Разрушающее кольцо Гниломорда,1,1
56,Закаленное льдом кольцо Саурфанга,1,1
57,Печать королевы сумерек,1,1
58,Печатка тройных клыков,1,1
59,Кольцо костяного колосса,1,1
60,Вечно холодное кольцо Девия,1,1
61,Печать сонма ртов,1,1
62,Сапфировое кольцо ледяного наследия,1,1
63,Кольцо владыки мира,1,1
64,Кольцо бесконечного лабиринта,1,1
65,Хладное око Ребрада,1,1
66,Память Малигоса,1,1
67,Сила порчи,1,1
68,Кольцо сводящего с ума шепота,1,1
69,Перстень стремительного восхождения,1,1
70,Кольцо повелителя скелетов,1,1
71,Второй перстень-печатка Валанара,1,1
72,Кроваво-красное кольцо лечения,1,1
73,Подзорная труба Мурадина,1,1
74,Осколок чистейшего льда,1,1
75,Неизвестный орган,1,1
76,Шепчущий клыкастый череп,1,1
77,Сумеречная чешуя,1,1
78,Перстень постепенной регенерации,1,1
79,Подношение Савианы,1,1
80,Печатка Сумеречного Молота,1,1
81,Подношение Заритриана,1,1
82,Заостренная сумеречная чешуя,1,1
83,Окаменелая сумеречная чешуя,1,1
84,Светящаяся сумеречная чешуя,1,1
85,Обугленная сумеречная чешуя,1,1
86,Гильдейский настой,1,0
89,Тяжелая ноша,1,1
90,Эссенция циклона,1,1
91,Поступь смерти,1,1
92,Сердце Огниса,1,1
93,Зеркало Тералиона,1,1
94,Фиал украденных воспоминаний,1,1
95,Колокол яростного резонанса,1,1
96,Сердце ярости,1,1
97,Флакончик с древним целительным зельем,1,1
98,Талисман интриг Престора,1,1
99,Червь-симбионт,1,1
100,Мощь океана,1,1
101,Фарфоровый краб,1,1
102,Морская звезда,1,1
103,Милость глашатая,1,1
104,Ведьмовские песочные часы,1,1
105,Ключ от Бесконечного Чертога,1,1
106,Мрак отчаяния,1,1
107,Магнетитовое зерцало,1,1
108,Кровавая слеза,1,1
109,Витки могильной тьмы,1,1
110,Сердце Грома,1,1
111,Песнь дождя,1,1
112,Сердце Утешения,1,1
113,Песнь печали,1,1
114,Благоволение Тиа,1,1
115,Песенник Ануура,1,1
116,Кровь Изисет,1,1
117,Левый глаз Раджа,1,1
118,Правый глаз Раджа,1,1
119,Оскверненная яичная скорлупа,1,1
120,Буря теней,1,1
121,Знак Кардроса,1,1
122,Милость Скардина,1,1
123,Палец Тронга,1,1
129,Гайка желчетрона,1,1
130,Алхимический камень,1,1
132,Весы жизни,1,1
133,Нестабильный конденсатор молний,1,1
134,Челюсти погибели,1,1
135,Ненасыть,1,1
136,Устройство Каз'горота,1,1
137,Веретено паучьего шелка,1,1
138,Средоточие некромантии,1,1
139,Око пылающей энергии,1,1
140,Рестабилизатор матрицы,1,1
141,Сосуд ускорения,1,1
142,Отложенная расправа,1,1
143,Руна Зет,1,1
145,Квинтэссенция огня,1,1
146,Древнее окаменевшее семечко,1,1
147,Субстанция неугасимого пламени,1,1
148,Самоцвет пламени,1,1
150,Печатка мстителей,1,1
151,Поцелуй Вдовы,1,1
152,Перстень кристаллической тюрьмы,1,1
153,Перстень Алисразор,1,1
155,Серное кольцо,1,1
158,Угольная печатка Тека,1,1
166,Кольцо аварийного спуска,1,1
167,Печать великого архитектора,1,1
168,Кольцо воссоздания,1,1
169,Перстень непоколебимых,1,1
170,Кольцо разорванной плоти,1,1
171,Кольцо украденного дыхания,1,1
172,Кольцо твердого сердца,1,1
173,Печать исконной тени,1,1
174,Кольцо бесконечности,1,1
175,Перстень соединения,1,1
176,Перстень хватающих ртов,1,1
177,Кольцо расколотых,1,1
178,Загнутый сумеречный коготь,1,1
179,Отражение Света,1,1
180,Желания в бутылке,1,1
181,Кироптировая печать,1,1
182,Гниющий череп,1,1
183,Огонь глубин,1,1
184,Око рассоздания,1,1
185,Гнев освобождения от цепей,1,1
186,Решимость Неумирающего,1,1
187,Воля несгибаемости,1,1
188,Сердце неживого,1,1
189,Колыбель последнего дракона,1,1
190,Вихрь смещения душ,1,1
191,Фетиш костяной сцепки,1,1
192,Фиал Теней,1,1
193,Неукротимая гордость,1,1
194,Хитрость жестоких,1,1
195,Противостоящее ветрам сердце,1,1
196,Компас ловца звезд,1,1
197,Печать семи знамений,1,1
198,Знак отличия испорченного разума,1,1
201,Сокровище могу,1,0
203,Ограненный камень ювелира,2,1
204,Камень фамилиара,1,0
205,Сверкающий самоцвет маны,1,0
206,Карта туманов с ярмарки Новолуния,1,1
207,Кристалл страха,1,1
208,Бутыль бессчетных звезд,1,1
209,Вихрь Мглистой пещеры,1,1
210,Сущность ужаса,1,1
211,Нефритовая фигурка разбойника,1,1
212,Нефритовая фигурка возничего,1,1
213,Нефритовая фигурка куртизанки,1,1
214,Нефритовая фигурка судьи,1,1
215,Нефритовая фигурка полководца,1,1
216,Последние приказы Лэй Шэня,1,1
217,Свет космоса,1,1
218,Поляризующая печать Цинь-си,1,1
219,Духи солнца,1,1
220,Сущность ночных кошмаров,1,1
221,Ужас в туманах,1,1
222,Чаша крови дракона,1,1
223,Кольцо ярких всполохов,1,1
224,Кольцо хрупкой души,1,1
225,Кольцо мрачных теней,1,1
226,Усыпляющее кольцо Фэна,1,1
227,Связующая печать Фэна,1,1
228,Частица воплощенного страха,1,1
229,Мучительное шипастое кольцо,1,1
230,Перстень бесконечности Регейла,1,1
231,Кольцо бури клинков,1,1
232,Кольцо расколотого панциря,1,1
233,Печать язычника,1,1
234,Рубиновый перстень-печатка визиря,1,1
235,Печатка водяной души,1,1
236,Реликвии Золотого Лотоса,1,1
237,Реликвии Шадо-Пан,1,1
238,Реликвии Шадо-Пан,1,1
239,Вычурные кольца с черными алмазами,1,1
240,Прочная ловушка,1,0
241,Большой знак отличия Армии Покорителей,1,1
242,"Большой знак отличия операции ""Заслон""",1,1
