ID,Description_lang,Field_11_2_5_62687_001_lang
1,Участник группы,
2,Участник рейда,
3,Торговля,Торговля
4,Шепот,Шепот
5,"Публичный заказ, выполненный кем-то",Выполнение вашего публичного заказа
6,"Публичный заказ, выполненный вами",Вы выполнили публичный заказ
7,"Частный заказ, выполненный кем-то",Выполнение вашего заказа
8,"Частный заказ, выполненный вами",Вы выполнили заказ
9,"Заказ для гильдии, выполненный кем-то",Выполнение вашего заказа
10,"Заказ для гильдии, выполненный вами",Вы выполнили заказ
11,Убийство существа,Совместный бой
12,Прохождение подземелья,Совместное прохождение подземелья
13,Убийство рейдового босса,Совместное прохождение рейда
14,Убийство босса в поиске рейда,Совместное прохождение рейда
15,Прохождение вылазки,Совместная вылазка
16,Завершение матча на арене,Совместный бой на арене
17,Завершение матча на поле боя,Совместное сражение на поле боя
18,Дуэль,Дуэль
19,Битва питомцев,Битва питомцев
20,Убийство в PvP,Совместное участие в PvP
