ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang,GarrTypeID,BuildingType,HordeGameObjectID,AllianceGameObjectID,GarrSiteID,UpgradeLevel,BuildSeconds,CurrencyTypeID,CurrencyQty,HordeUiTextureKitID,AllianceUiTextureKitID,IconFileDataID,AllianceSceneScriptPackageID,HordeSceneScriptPackageID,MaxAssignments,ShipmentCapacity,GarrAbilityID,BonusGarrAbilityID,GoldCost,Flags
8,Военная фабрика,Дворфийский бункер,В этом здании хранится и обслуживается вооружение гарнизона.,Удваивает вероятность получения улучшений для предметов редкого или эпического качества и увеличивает его. Позволяет собирать обломки орочьих доспехов Дренора для трансмогрификации.,2,10,230406,224548,0,1,3600,824,150,15,14,975736,1194,1193,0,0,0,0,150,1
9,Военная фабрика,Дворфийский бункер,В этом здании хранится и обслуживается вооружение гарнизона.,Открывает доступ к заказам на изготовление доспехов и оружия для соратников в обмен на ресурсы гарнизона и к новым предметам для трансмогрификации.,2,10,230407,224549,0,2,3600,824,900,18,16,975736,1196,1195,0,14,0,0,300,1
10,Военная фабрика,Дворфийский бункер,В этом здании хранится и обслуживается вооружение гарнизона.,Раз в неделю бесплатно дает 1 из 3 печатей неизбежной судьбы (шанс получить дополнительную добычу в рейде).,2,10,230409,224550,0,3,3600,824,1200,19,17,975736,1198,1197,0,21,0,0,500,1
24,Хлев,Хлев,"В хлеву обитают пойманные животные – источник кожи, меха и мяса для гарнизона.","Позволяет ловить копытней, элекков, волков и талбуков, из шкуры которых можно получить кожу и мех. Используется в кожевенном и портняжном деле.",2,3,230410,224795,0,1,3600,824,100,131,3,975737,1220,1219,0,7,0,0,150,1
25,Хлев,Хлев,"В хлеву обитают пойманные животные – источник кожи, меха и мяса для гарнизона.","Позволяет ловить вепрей и речных чудищ, из которых можно получить редкое мясо.",2,3,230411,224796,0,2,3600,824,300,132,57,975737,1222,1221,0,14,62,0,300,1
26,Казармы,Казармы,В казармах живут солдаты вашего гарнизона и ваши соратники.,Открывают задания на патрулирование. За выполнение таких заданий соратникам дается больше опыта.,2,8,230412,224797,0,1,3600,824,150,142,36,975738,1224,1223,0,1,0,0,10,1
27,Казармы,Казармы,В казармах живут солдаты вашего гарнизона и ваши соратники.,"Позволяют соратнику, у которого есть особенность ""Телохранитель"", сопровождать вас по всем зонам Дренора.",2,8,230413,224798,0,2,3600,824,900,143,37,975738,1226,1225,0,3,231,0,300,1
28,Казармы,Казармы,В казармах живут солдаты вашего гарнизона и ваши соратники.,Увеличивают максимальное число ваших соратников на 5 и открывают доступ к стражникам из фракций и штандартам.,2,8,230414,224799,0,3,3600,824,1200,144,38,975738,1228,1227,5,5,231,0,500,1
29,Травяной сад,Травяной сад,"Сад, в котором можно выращивать и собирать дренорские травы.",Каждый день в саду из дренорских семян вырастают травы и появляются места для их сбора.,2,2,230415,224800,0,1,3600,824,50,137,59,134221,1230,1229,0,7,0,0,0,0
34,"Таверна ""Ледяные скалы""","Таверна ""Зашедшая Луна""","Приключения! Волнение в крови! Герою и его соратникам нужно и то и другое, но не забывайте и про тихий уголок, где можно отдохнуть после подвигов.","Ежедневно в вашей таверне будет появляться посетитель, который предложит вам задание в подземелье, за выполнение которого вы сможете получить щедрую награду.",2,5,230416,224805,0,1,3600,824,100,7,6,134414,1234,1233,0,1,0,0,150,1
