ID,Name_lang,Description_lang,IconFileDataID,Category
1,Дикая агрессия,"Непредсказуемый противник, агрессию которого необходимо держать под контролем.",136080,2
2,Мощнейший удар,"Способность, наносящая огромный урон.",132355,2
3,Урон группе,"Способность, наносящая урон сразу нескольким участникам группы.",135826,2
4,Маг. отрицательный эффект,"Опасный отрицательный эффект, который необходимо развеять.",136207,2
6,Урон по области,"Способность, действующая в указанной области. От нее нужно уклоняться или бежать.",451165,2
7,Толпы прислужников,"Противник с множеством союзников. В борьбе с ним эффективны способности, наносящие урон по области.",237511,2
8,Мощное заклинание,"Опасное заклинание, которое необходимо прервать.",136197,2
9,Смертоносные прислужники,"Противник с могучими союзниками, которых необходимо нейтрализовать.",1035504,2
10,Бой на время,"Противник, с которым нужно покончить как можно скорее.",237538,2
11,Орк,Лок'тар огар!,897144,1
12,Огр,Чего смотришь?,236695,1
13,Нежить,Мозги-и-и-и-и...,236458,1
14,Араккоа,Древнее и весьма опасное существо.,236435,1
15,Животное,Рр-р...,298659,1
16,Демон,Конец близится.,254651,1
17,Крушитель,Огромные зацикленные на разрушении великаны Дренора.,236412,1
18,Гнев,Стихийные сущности Дренора.,254652,1
19,Аберрация,Создания Бездны.,298680,1
20,Изначальный,Древние создания первобытного Дренора.,254105,1
21,Горы,Горная область.,236848,0
22,Пустыня,Суровая высохшая земля.,236846,0
23,Снег,Арктическая область.,236833,0
24,Под землей,Темные глубины.,409595,0
25,Джунгли,Местность с густыми лесами и пышной растительностью.,236850,0
26,Лес,Лесистая местность.,236830,0
27,Город,Небольшая городская территория.,462338,0
28,Болото,"Паршивое место, куда лучше не соваться.",236819,0
29,Равнины,Бескрайние зеленые холмистые равнины.,236712,0
58,Стол для игры в Hearthstone,Пододвиньте ваше кресло поближе к очагу!,4620678,0
60,Алхимия,Данное задание связано с алхимией.,4620669,0
61,Кузнечное дело,Данное задание связано с кузнечным делом.,4620670,0
62,Наложение чар,Данное задание связано с наложением чар.,4620672,0
63,Инженерное дело,Данное задание связано с инженерным делом.,136243,0
64,Ювелирное дело,Данное задание связано с ювелирным делом.,4620677,0
65,Кожевничество,Данное задание связано с кожевничеством.,133611,0
66,Портняжное дело,Данное задание связано с портняжным делом.,4620681,0
67,Начертание,Данное задание связано с начертанием.,4620676,0
73,Подводная лодка,"Подводные лодки незаметно передвигаются под водой, внезапно атакуя вражеские корабли.

|cffb2f0ffНейтрализуется: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff эсминец|r",1141396,2
74,Авианосец,"Авианосцы несут на борту эскадрилью асов-бомбардировщиков. 

|cffb2f0ffНейтрализуется: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff подводная лодка|r",1141394,2
75,Эсминец,"Эсминцы – тяжело бронированные, но быстроходные корабли, предназначенные для борьбы с подводными лодками. 

|cffb2f0ffНейтрализуется: |r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff линкор|r",1141395,2
76,Линкор,"Линкор с его мощной дальнобойной артиллерией – настоящая плавучая крепость, и в открытом море ему нет равных.

|cffb2f0ffНейтрализуется: |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff авианосец|r",1141390,2
77,Ледяная вода,"В ледяной воде плавают айсберги и огромные льдины. При прохождении через ледяной лабиринт требуется особая осторожность, и в этот момент ваши корабли наиболее уязвимы к атакам врага.",236794,2
78,Штормовая погода,"Мощные порывы ветра, яростные молнии, высокие волны – вот далеко не полный перечень опасностей, поджидающих моряков в бушующий шторм.",463562,2
79,Густой туман,Плотный туман создает в этом регионе область непроглядной тьмы.,132331,2
80,Хаотические водовороты,"Хаотические водовороты появляются совершенно внезапно, и любому кораблю, пытающемуся пройти через них, придется несладко.",892446,2
81,Стремительность,Стремительно разгоняется и может вести половину боя в ускоренном темпе.,132120,2
82,Изворотливость,"Может внезапно делать крутые повороты, ввиду чего эту цель довольно трудно поразить.",136205,2
83,Минный заградитель,Этот корабль разбрасывает за кормой мины ближнего действия. Следовать в его кильватере – не самый умный план.,133710,2
84,Первый удар,"Стремительная первая атака, способная поставить в сражении точку еще до его начала.",132212,2
85,Опытный капитан,"Корабль под командованием опытного капитана, который не раз побывал в сражениях. Опытных капитанов нельзя уничтожить напрямую, и их способности следует принимать во внимание, если вы хотите победить.",133168,2
86,Наземная цель,,132296,2
87,Наземная цель,"При выполнении задания требуется доставлять грузы или отряды в определенные точки на суше.

|cffb2f0ffНейтрализуется: |r
|TInterface\ICONS\Ships_ABILITY_BoardingPartyALLIANCE.blp:24:24:0:0|t |cffffffff Транспорт|r",132296,2
88,Проклятая команда,Управляется командой проклятых матросов.,135974,2
89,Скалы,"Суровая, опасная местность.",409549,0
109,Босс,"|CFFFFFFF0Босс|R
Снижает вероятность успешного выполнения задания, если его не нейтрализовать.",1357797,2
110,Препятствие,"|CFFFFFFF0Препятствие|R
Увеличивает время выполнения задания, если не нейтрализовать его.",1357798,2
111,Вихрь,,132369,2
112,Воин,,132347,2
113,Босс,"|CFFFFFFF0Босс|R
Снижает вероятность успешного выполнения задания, если его не нейтрализовать.",1357797,2
114,Босс,"|CFFFFFFF0Босс|R
Снижает вероятность успешного выполнения задания, если его не нейтрализовать.",1357797,2
115,Прислужники,"|CFFFFFFF0Армия|R
Воины этой армии облачены в мощные доспехи. Увеличивает время выполнения задания, если их не нейтрализовать.",1357814,2
121,Заклинание,"|CFFFFFFF0Заклинание|R
Мощное заклинание, наносящее увеличенный урон отрядам, если его не нейтрализовать.",1357804,2
122,Внезапный удар,Снижает вероятность успешного выполнения задания. Невозможно нейтрализовать.,1357812,2
124,Босс,"|CFFFFFFF0Босс|R
Снижает вероятность успешного выполнения задания, если его не нейтрализовать.",1357797,2
125,Босс,"|CFFFFFFF0Босс|R
Снижает вероятность успешного выполнения задания, если его не нейтрализовать.",1357797,2
126,Эксперт,Вероятность успеха снижена на ${$a910}%.,311232,2
127,Ученик,Вероятность успеха снижена на ${$a909}%.,311236,2
128,Ветеран,Вероятность успеха снижена на ${$a907}%.,311237,2
129,Мастер,Вероятность успеха снижена на ${$a908}%.,311238,2
130,Элита,Снижает вероятность успешного выполнения задания. Невозможно нейтрализовать.,1357812,2
131,Подземелье,Снижает вероятность успешного выполнения задания. Невозможно нейтрализовать.,1357812,2
132,Рейд,Снижает вероятность успешного выполнения задания. Невозможно нейтрализовать.,1357812,2
135,Элитный монстр Аргуса,"|CFFFFFFF0Элитный монстр Аргуса|R
Снижает вероятность успешного выполнения задания, если его не нейтрализовать.",1113433,2
138,Основная цель,"Строит машины, взрывает машины, а также строит машины, взрывающие другие машины.",134520,2
139,Разведка,"|cFFFFD200""Большие группы привлекают внимание""|r",134441,2
141,Разведчик,,134441,2
142,Стрелки,,236201,2
143,Пехота,,132269,2
144,Кавалерия,,132226,2
145,Диверсия,"Увеличивает продолжительность других заданий на 50%.

|cFFFFD200""После взрывов всегда такой беспорядок...""|r",133715,0
147,Основная цель,"Находит цели, достает информацию, и все – со стилем.",132288,2
148,Ночное зрение,Позволяет видеть в кромешной тьме.,136057,2
149,Основная цель,Владеет множеством боевых приемов и многими видами оружия.,615342,2
150,Стремительный удар,"Уменьшение времени выполнения задания также повышает вероятность успеха.

|cFFFFD200""Стремительная атака застает врага врасплох и не дает ему шанса среагировать. Зашли – и вышли.""|r",134376,0
151,Задание для профессионалов,Снижает вероятность успешного выполнения задания. Невозможно нейтрализовать.,616373,2
153,Тайная операция,"Участие любых отрядов снижает вероятность успеха на 100%.

|cFFFFD200""Большие группы привлекают внимание.""|r",132320,2
154,Долгий поход,"Повышает вероятность успеха на 10% за каждую единицу жизненных сил ваших отрядов.

|cFFFFD200""На долгий марш в суровых условиях лучше посылать свежих солдат.""|r",1060984,2
256,Открытое море,"Вероятность успеха снижена.

|cFFFFD200""И как нам туда добираться, вплавь?!""|r",135861,2
257,JasonTest Mechanic,JasonTest Mechanic,0,0
