Description_lang,ID,DataTag
Крошечный,1,65
Маленький,2,66
Средний,3,67
Большой,4,68
Огромный,5,69
Дворфы,6,74
Дворфы из Громового Молота,7,75
Дворфы из Бронзобородов (Стальгорн),8,76
Дворфы из Черного Железа,9,77
Земельники (Дорн),10,78
Люди,11,79
Штормград,12,80
Кул-Тирас,13,81
Гилнеас (воргены),14,82
Эльфы,15,83
Эльфы крови,16,84
Ночные эльфы,17,85
Эльфы Бездны,18,86
Ночнорожденные,19,87
Таурены,20,88
Дренеи,21,89
Орки,22,90
Гоблины,23,91
Вульперы,24,92
Тролли,25,93
Тролли Черного Копья,26,94
Зандаларские тролли,27,95
Нежить,28,96
Гномы,29,97
Пандарены,30,98
Хараниры,31,452
Classic,32,99
Burning Crusade,33,100
Wrath of the Lich King,34,101
Cataclysm,35,102
Mists of Pandaria,36,103
Warlords of Draenor,37,104
Legion,38,105
Battle for Azeroth,39,106
Shadowlands,40,107
Dragonflight,41,108
The War Within,42,109
Midnight,43,110
Годовщины WoW,44,111
Хмельной фестиваль,45,112
Детская неделя,46,113
Ярмарка Новолуния,47,114
День мертвых,48,115
Праздник фейерверков,49,116
Тыквовин,50,117
Неделя урожая,51,118
Любовная лихорадка,52,119
Лунный фестиваль,53,120
Огненный солнцеворот,54,121
Сад чудес,55,122
Пиршество странников,56,123
День пирата,57,124
Зимний Покров,58,125
Другое,59,126
Вызывающий,60,141
Неформальный,61,142
Уютненький,62,143
Милый,63,144
Элегантный,64,145
Ночной народец,65,146
Скверна,66,147
Изобилие,67,148
Свет,68,149
Механизмы,69,150
Природа,70,151
Пираты,71,152
Романтика,72,153
Простота,73,154
Жуть,74,155
Бездна,75,156
Врайкулы,76,157
Причудливый,77,158
Альянс,78,159
Орда,79,160
Весна,80,161
Лето,81,162
Осень,82,163
Зима,83,164
путь поиск пути,84,202
ковер ковры,85,201
чашка чашки кружка кружки стакан стаканы,86,196
приборы серебро посуда вилка ложка нож ножик,87,198
напиток напитки выпивка,88,195
еда блюдо пир перекус,89,194
кухня,90,199
тарелка блюдо блюда,91,197
книга книги фолиант фолианты,92,190
вазы ваза,93,189
картина картины холст рисунок,94,192
вода пруд,95,236
стул стулья,96,177
диван диваны софа,97,178
шкаф шкафчик шкафчики,98,185
полка полки,99,184
стойка стойки столешница столешницы,100,182
письменный стол письменные столы,101,181
стол столы,102,180
манекен манекены,103,224
готовка печь плита гриль,104,222
ремесло ремесленная профессия изготовление,105,221
колонна колонны столб столбы,106,208
забор заборы ограждение,107,209
перегородка перегородки стена стены,108,207
Грубый,109,70
Народный,110,71
Роскошный,111,72
Праздник/событие,112,73
Магический,113,458
Драктиры,114,484
