ID,Name,Message_lang
1,MSG_TITLE_WOW,World of Warcraft
2,MSG_GX_INIT_FAILED_D3D,"Ошибка 3D-ускорения. Убедитесь, что в вашей системе установлен DirectX 9.0c и последняя версия драйверов видеокарты."
3,MSG_GX_INIT_FAILED,Ошибка 3D-ускорения.
4,MSG_HW_UNSUPPORTED,Ваша видеокарта не поддерживается World of Warcraft. Более подробную информацию вы можете найти по адресу: https://eu.battle.net/support/ru/article/video-card-does-not-meet-system-requirements
5,MSG_HW_CHANGED,Конфигурация компьютера изменилась. Восстановить параметры по умолчанию?
9,MSG_GLUEXML_UI_CORRUPT,Файлы интерфейса входа повреждены. Переустановите игру.
10,MSG_FRAMEXML_UI_CORRUPT,Файлы интерфейса игры повреждены. Удалите папку Interface\FrameXML.
11,MSG_GX_NO_DEVICE,Не найдено подходящее устройство отображения. Выход из программы.
12,MSG_REMOTE_DESKTOP,Запуск игры посредством Удаленного рабочего стола Windows невозможен. Выход из программы.
14,MSG_CLIENT_INIT,"World of Warcraft проводит подготовку необходимых данных. Это может занять несколько минут. Вы можете отменить этот процесс, в этом случае программа запуска завершит установку."
15,MSG_DOWNLOAD_FAILED,"Не удалось загрузить важные данные игры. Пожалуйста, проверьте свое соединение с Интернетом."
16,MSG_DISK_FULL,Жесткий диск заполнен. Необходимо свободное место.
17,MSG_GX_FAIL_API_VERSION,Для игры в World of Warcraft нужно установить последнию версию DirectX Runtime. Дополнительную информацию можно найти на странице http://eu.battle.net/support/ru/article/driverupdates
18,MSG_GX_FAIL_NO_DRIVER,"Игре World of Warcraft не удалось найти видеокарту. Убедитесь, что вы используете последнюю версию драйвера видеокарты и не работаете в безопасном режиме. Дополнительную информацию можно найти здесь: http://eu.battle.net/support/ru/article/driverupdates."
27,MSG_COMPATIBILITY_ERROR,"Приложение World of Warcraft не может быть запущено из-за определенных настроек режима совместимости. Пожалуйста, отключите режим совместимости для WoW.exe и Launcher.exe и повторите попытку. Об отключении режима совместимости подробнее читайте здесь: http://www.battle.net/support/article/8500085"
134,MSG_GX_SLOW_SHADER_BUILDING_WARNING,Из-за распространенной неполадки с драйверами графического процессора при первом запуске игры может происходить длительная подготовка шейдеров. Этот процесс может занять несколько минут.
135,MSG_INTEL_13TH_OR_14TH_GEN_MICROCODE_WARNING,"Вы используете процессор Intel 13-го или 14-го поколения без необходимых обновлений, снижающих риск нестабильной работы World of Warcraft. Настоятельно рекомендуем обновить BIOS материнской платы до последней версии с помощью микрокода Intel 0x12B или более свежего."
136,MSG_MOTHERBOARD_BIOS_UPDATE,Подробности об обновлении BIOS вашей материнской платы: %s.
137,MSG_MOTHERBOARD_INFO,"ЦП: %s
Материнская плата: %s
Дата выпуска BIOS: %s
Версия микрокода: 0x%llX"
