Name_lang,ID,Field_10_0_5_47118_002
,1,0
Январь: новое начало,6,1
Февраль: забота и внимание,7,2
Март: эффектный вид,8,3
Апрель: весенний расцвет,9,4
Май: Детская игра,10,5
Июнь: игра с огнем,11,6
Июль: праздник!,12,7
Август: противостояние!,13,8
Сентябрь: гуляем!,14,9
Октябрь: чудища и чудики,16,10
Ноябрь: вместе веселее,18,11
Декабрь: зимние холода,19,12
Январь: новое начало,20,13
Февраль: новая и былая любовь,21,14
Март: изысканный наряд,22,15
Апрель: веяния весны,23,16
Май: цветочная сила,24,17
