ID,Name_lang,Description_lang,SpecSetID
2,Дар жизни Азерот,,1
3,Сфера подавления,Мощные потоки чародейской энергии усиливают ощущение контроля.,1
4,Резонанс крови мира,"Когда в конце нашествия Пылающего Легиона Саргерас пронзил Азерот мечом, планета стала истекать кровью, которую назвали азеритом.",2
5,Сущность радужного кристалла,,160
6,Протокол очищения,"После того как с угрозой заражения Ульдира было покончено, перед МАТРИАРХом была поставлена задача найти способ исцелить Азерот.",160
7,Сущность жизни и смерти,,1
12,Раскаленный тигель,"Бушующий огонь – это сила, несущая разрушение и новую жизнь.",2
13,Нейтрализующее динамо,"Тяжелое, хотя внутри нет ни материи, ни энергии.",1
14,Концентрированная жизненная сила,"Сердце Азерот может использовать энергию азерита так, как мы даже представить себе не могли.",160
15,Пространственная рябь,Каждая секунда – это еще одна возможность принять правильное решение.,2
16,Незыблемая преграда,,49
17,Вечный прилив,,49
18,Обман времени,,49
19,Источник бытия,,49
20,Чары Хранительницы жизни,,49
21,Проводник жизненной силы,,49
22,Видение совершенства,"Мечтая о будущем, думай о настоящем.",173
23,Кровь врага,Ваше Сердце Азерот кипит от ярости.,160
24,Дух-хранитель,,49
25,Эгида глубин,Защищает вас от стихий.,1
27,Воспоминания о снах наяву,"Незаполненное сознание – инструмент, который используют не по назначению.",173
28,Высвобожденная сила,"Потоки разрушительной энергии яростно кружатся, готовые вырваться на волю.",160
32,Раздор и противостояние,,173
33,Касание вечности,,1
34,Сила хранителя,,1
35,Вздох умирающего,,160
36,Искра вдохновения,,160
37,Бесформенная Бездна,,2
