Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
Гнедой конь,|cFFFFD200Торговец: |rУнгер Уппперт|n|cFFFFD200Зона: |rБолотина|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Стражи Штормграда любят их за терпение и выносливость.,6,230,0,2,458,0,0,4,0,0
Серый волк,|cFFFFD200Торговец: |rОгунаро Волкопас|n|cFFFFD200Зона: |rОргриммар|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Эта порода волков предпочитает охотиться в тумане, где дымная шкура скрывает их от ничего не подозревающей жертвы.",7,230,64,2,459,0,0,4,0,0
Белый жеребец,|cFFFFD200Старинное|r,Сильный и непокорный белый жеребец часто фигурирует в мифах древних людских племен.,8,230,64,2,468,0,0,4,0,0
Вороной жеребец,|cFFFFD200Торговец: |rКейти Стокс|n|cFFFFD200Зона: |rШтормград|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"По слухам, агенты ШРУ предпочитают использовать этих лошадей для ночных вылазок из-за их темной шерсти.",9,230,0,2,470,0,0,4,0,0
Пегий конь,|cFFFFD200Торговец: |rКейти Стокс|n|cFFFFD200Зона: |rШтормград|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Мирный характер этих лошадей идеально подходит для обучения детей верховой езде.,11,230,0,2,472,0,0,4,0,0
Черный волк,|cFFFFD200Торговец: |rОгунаро Волкопас|n|cFFFFD200Зона: |rОргриммар|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Вой этого волка разносится на километры вокруг.,12,230,64,2,578,0,0,4,0,0
Рыжий волк,|cFFFFD200Старинное|r,Во всем Азероте остались единицы рыжих волков. Только опытному охотнику доведется увидеть этого зверя.,13,230,64,2,579,0,0,4,0,0
Лесной волк,|cFFFFD200Торговец: |rОгунаро Волкопас|n|cFFFFD200Зона: |rОргриммар|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Вой этого волка разносится на километры вокруг.,14,230,0,2,580,0,0,4,0,0
Снежный волк,|cFFFFD200Старинное|r,"Легенды древних фурболгов гласят, что волки с белой шкурой благословлены двумя лунами Азерота.",15,230,64,2,581,0,0,4,0,0
Конь Скверны,|cFFFFD200Класс: |rчернокнижник,"Пораженный демоническими силами, этот скакун был когда-то порабощен Советом Теней.",17,230,0,1,5784,31504,0,4,0,0
