Name_lang,ID,SpecSetID,InventoryTypeMask,SpellID,ItemBonusListID,PlayerConditionID,Field_9_0_1_34972_007,UnlockItemID,CovenantID,Field_9_1_0_38549_010
Скользкий лед,2,22,192,327508,6823,85782,63,183281,0,0
Холодный фронт,3,22,1114144,327284,6828,85779,60,183278,0,0
Ледяные ветра,4,22,1026,327364,6829,85780,61,183279,0,0
Ледяные осколки,5,22,65664,327492,6830,85781,62,183280,0,0
Расширенный потенциал,6,162,320,327489,6831,85768,49,183267,0,0
Четкий распорядок,7,162,2560,327365,6832,85132,48,183266,0,0
Мрачный кристалл льда,8,162,14,333393,6937,85769,50,183268,0,0
Искажение времени,9,162,1050656,327351,6834,85774,55,183273,0,0
Лихорадочные чары,10,23,1090,333030,6931,85775,56,183274,0,0
Огненная буря,11,23,2056,333097,6932,85776,58,183275,0,0
Раскаленный метеорит,12,23,516,333167,6933,85777,57,183276,0,0
Благословение Солнечного короля,13,23,1536,333313,6934,85778,59,183277,0,0
Бесконечные чары,14,21,1032,332769,6926,85772,53,183271,0,0
Чародейская бомбардировка,15,21,65792,332892,6927,85771,52,183270,0,0
Энергия бури,16,21,1408,332928,6928,85773,54,183272,0,0
Идол Тройного союза,17,162,1048612,333373,6936,85770,51,183269,0,92618
Всеобщая тоска,18,8,66048,337504,7041,85718,18,183213,0,0
Обстрел Скверны,19,8,14,337775,7052,85128,19,183210,0,92614
Медальон созерцателя тьмы,20,8,68,337534,7043,85717,17,183212,0,0
Темнейший час,21,8,160,337539,7044,85716,16,183211,0,0
Темная сторона,22,9,392,346264,7218,85722,21,183217,0,0
Теория хаоса,23,9,1088,337551,7050,85719,20,183214,0,0
Нестабильное ядро Скверны,24,9,2304,337685,7051,85720,22,183215,0,0
Жгучая рана,25,9,65568,346279,7219,85721,23,183216,0,0
Пламя духа тьмы,26,10,6,337541,7045,85726,25,183221,0,0
Осквернение Разелиха,27,10,640,337544,7046,85725,27,183220,0,0
Укрепление пламенем Скверны,28,10,2112,337545,7047,85723,24,183218,0,0
Пылающая душа,29,10,1536,337547,7048,85724,26,183219,0,0
Суперштамм,30,43,36,334974,6953,85703,3,182627,0,0
Феромоны страха,31,43,14,335177,6954,85702,2,182626,0,92612
Объятия смерти,32,43,2560,334728,6947,85127,0,182617,0,0
Хватка вечности,33,43,320,334724,6948,85701,1,182625,0,0
Мощь Бриндаора,34,5,65792,334501,6940,85704,4,182628,0,0
Алое руническое оружие,35,5,1096,334525,6941,85705,5,182629,0,0
Власть Кровожада,36,5,384,334580,6943,85706,6,182630,0,0
Вампирическая аура,37,5,2080,334547,6942,85707,7,182631,0,0
Покровительство Кольтиры,38,6,2056,334583,6944,85711,10,182635,0,0
Трескучий мороз,39,6,66,334678,6945,85709,8,182633,0,0
Абсолютный нуль,40,6,516,334692,6946,85708,9,182632,0,0
Ярость ледяного защитника,41,6,3584,341724,7160,85710,11,182634,0,0
Оживленный шаркун,42,7,192,334836,6949,85715,15,182640,0,0
Взбешенное чудовище,43,7,65664,334888,6950,85714,14,182638,0,0
Неизбежность смерти,44,7,1030,334898,6951,85713,13,182637,0,0
Ужасающий лик смерти,45,7,65568,334949,6952,85712,12,182636,0,0
Настой глубокой концентрации,46,48,1048612,338658,7086,85728,31,183224,0,92615
Круг жизни и смерти,47,48,2050,338657,7085,85727,30,183223,0,0
Мимолетное видение Ликары,48,48,320,340059,7110,85729,29,183225,0,0
Клятва старейшего друида,49,48,520,338608,7084,85129,28,183222,0,0
Зоркий взгляд Онефа,50,15,65792,338661,7087,85731,32,183227,0,0
Изначальный магический пульсар,51,15,3080,338668,7088,85732,33,183228,0,0
Баланс всего сущего,52,15,384,339942,7107,85730,34,183226,0,0
Старый ловец снов,53,15,1050656,339949,7108,85733,35,183229,0,0
Кольцо бешенства,54,16,576,340053,7109,85737,39,183233,0,0
Жажда сверххищника,55,16,72,339139,7091,85734,38,183230,0,0
Око боязливой симметрии,56,16,1030,339141,7090,85736,37,183232,0,0
"Украшение ""Глаз кошки""",57,16,2052,339144,7089,85735,36,183231,0,0
Жесткие объятия,58,17,1114144,339060,7092,85738,40,183234,0,0
Воля естественного порядка,59,17,1538,339063,7093,85739,41,183235,0,0
Воспоминание о ярости Урсока,60,17,65664,339056,7094,85740,42,183236,0,0
Наследие Дремлющей,61,17,320,339062,7095,85741,43,183237,0,0
Память об Изначальном Древе,62,18,640,339064,7096,85744,44,183240,0,0
Урок Темного титана,63,18,65540,338831,7097,85745,45,183241,0,0
Живительное насыщение,64,18,66568,338829,7098,85742,46,183238,0,0
Видение бесконечного роста,65,18,386,338832,7099,85743,47,183239,0,0
Зов дикой природы,66,163,2560,336742,7003,85131,147,183250,0,0
Постановщик ловушек Эрнестуэя,67,163,324,336743,7004,85754,146,183252,0,0
Угли из Кузни душ,68,163,2058,336745,7005,85755,145,183253,0,0
Малодушная уловка,69,163,36,336747,7006,85753,144,183251,0,92617
Ужасная команда,70,44,2080,336819,7007,85756,151,183254,0,0
Огненный укус кобры,71,44,384,336822,7008,85757,150,183255,0,0
"Ка'пла, эредарский боевой приказ",72,44,1032,336830,7009,85758,148,183256,0,0
Острые клыки охотника на рилаков,73,44,65920,336844,7010,85759,149,183257,0,0
Меткость орлиного когтя,74,14,1090,336849,7011,85760,155,183258,0,0
Буйные стрелы,75,14,516,336867,7012,85763,153,183261,0,0
