ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,IconFileID,SkillLine[0],SkillLine[1]
1,Волк,0.7,1,1,50,1,0,132203,208,270
2,Кошка,0.7,1,1.1,50,3,0,132185,209,270
3,Паук,0.4,1,0.6,50,1,0,132196,203,270
4,Медведь,0.6,1,1,50,63,1,132183,210,270
5,Вепрь,0.6,1,1,50,63,2,132184,211,270
6,Кроколиск,0.4,1,0.6,50,3,0,132187,212,270
7,Падальщик,0.5,1,0.9,50,3,0,132200,213,270
8,Краб,0.7,1,1.4,50,58,1,132186,214,270
9,Горилла,0.7,1,1,50,56,0,132189,215,270
11,Ящер,0.5,1,0.8,50,1,2,132193,217,270
12,Долгоног,0.5,1,0.8,50,60,0,132198,218,270
15,Охотник Скверны,0.35,1,0.7,60,0,-1,0,189,0
16,Демон Бездны,0.5,1,0.8,60,0,-1,0,204,0
17,Суккуб,0.5,1,1,60,0,-1,0,205,0
19,Страж ужаса,0.64,1,1,60,0,-1,0,207,0
20,Скорпид,0.7,1,1,50,1,0,132195,236,270
21,Черепаха,0.5,1,0.72,50,58,1,132199,251,270
23,Бес,0.45,1,0.5,60,0,-1,0,188,0
24,Летучая мышь,0.4,1,0.63,50,49,0,132182,653,270
25,Гиена,0.7,1,0.9,50,1,2,132190,654,270
26,Хищная птица,0.5,1,0.8,50,3,2,132192,655,270
27,Крылатый змей,0.5,1,0.7,50,14,0,132202,656,270
28,Управление,0.9,1,1,60,0,-1,0,758,0
29,Страж Скверны,0.45,1,0.9,60,0,-1,0,761,0
30,Дракондор,0.35,1,0.65,50,35,1,132188,763,270
31,Опустошитель,0.45,1,0.65,50,1,0,132194,767,270
32,Прыгуана,0.45,1,0.6,50,34,2,132201,766,270
33,Спороскат,0.6,1,0.9,50,60,2,132197,765,270
34,Скат,0.35,1,0.55,50,17,0,132191,764,270
35,Змей,0.6,1,0.8,50,1,2,136040,768,270
37,Мотылек,0.35,1,0.65,50,60,2,236193,775,270
38,Химера,0.5,1,0.63,50,1,0,236190,780,270
39,Дьявозавр,0.3,1,0.5,50,1,0,236192,781,270
40,Вурдалак,1,1,1.01,80,0,-1,132097,782,0
41,Акир,0.6,1,0.8,50,17,2,236195,783,270
42,Червь,0.7,1,1,50,28,1,236197,784,270
43,Копытень,0.35,1,0.56,50,60,0,1044794,786,270
44,Оса,0.4,1,0.6,50,60,0,236196,785,270
45,Гончая недр,0.3,1,0.5,50,1,0,236191,787,270
46,Дух зверя,0.7,1,1.1,50,3,1,236165,788,270
49,Элементаль воды,0.8,1,0.81,60,0,-1,0,805,0
50,Лисица,0.6,1,0.9,50,35,2,458223,808,270
51,Обезьяна,0.3,1,0.5,50,48,2,877482,815,270
52,Собака,0.6,1,0.8,50,63,2,877481,811,270
53,Жук,0.5,1,0.7,50,48,1,133570,818,270
55,Сланцевый зверь,1,1,1.45,50,195,2,877478,817,270
56,Зомби,0.8,1,1,80,0,-1,298667,236,0
57,<< QA TEST FAMILY >>,1,1,1.25,60,48,-1,134936,818,270
68,Гидра,0.5,0,0.63,50,195,1,463493,824,270
100,Бес Скверны,0.5,1,0.6,60,0,-1,0,188,0
101,Повелитель Бездны,0.5,1,0.9,60,0,-1,0,204,0
102,Шиварра,0.45,1,0.65,60,0,-1,0,205,0
103,Наблюдатель,0.12,1,0.225,60,0,-1,0,189,0
104,Страж гнева,0.45,1,0.85,60,0,-1,0,761,0
108,Инфернал,0.25,1,0.3,60,0,-1,0,206,0
116,Элементаль огня,1,1,1.01,60,0,-1,135790,962,0
117,Элементаль земли,1,1,1.01,60,0,-1,136024,963,0
125,Чирок,0.2,1,0.7,50,138,1,877479,984,270
126,Водный долгоног,0.3,1,0.5,50,48,2,643423,985,270
127,Грызун,0.6,1,1,50,16,2,644001,983,270
128,Каменный пес,0.7,1,1.1,50,195,1,625905,986,270
129,Груборог,0.5,1,0.8,50,255,2,877477,987,270
130,Василиск,0.4,1,0.6,50,3,2,877476,988,270
138,Дикорог,0.4,1,0.6,50,48,1,877480,1305,270
145,Элементаль бури,1,1,1.01,60,0,-1,236154,1748,0
147,Стражник жути,0.64,1,1,60,0,-1,0,1981,0
148,Абиссал,0.8,1,1,60,0,-1,0,1982,0
150,Речное чудище,0.6,1,0.8,50,56,1,1044490,1819,270
151,Олень,0.5,1,0.8,50,60,1,1044501,1993,270
154,Механизм,0.7,1,1,60,256,2,132247,2189,270
155,Поганище,0.6,1,0.8,80,0,-1,136118,2216,0
156,Чешуешкурые,0.5,1,0.8,50,60,0,646378,2280,270
157,Быки,0.5,1,0.8,50,60,1,616693,2279,270
160,Шерстоперые,0.5,1,0.8,50,255,1,929300,2361,270
288,Ящерица,0.5,1,1,50,243,1,2027936,2703,270
290,Терродактиль,0.2,1,0.3,50,227,2,1624590,2705,270
291,Прыгун,0.3,1,0.6,50,243,1,804969,2706,270
292,Панцирник,0.5,1,0.75,50,65,1,2011146,2707,270
296,Кровавое чудовище,0.45,1,0.65,50,195,1,1687702,2719,270
298,Верблюд,0.5,1,0.8,50,56,2,454771,2807,270
299,Рысак,0.5,1,0.8,50,48,0,2143073,2806,270
300,Мамонт,0.5,1,0.8,50,60,1,132254,2805,270
302,Инкуб,0.5,1,1,60,0,-1,0,205,0
303,Малый драконид,0.5,1,0.8,50,195,0,797547,2850,270
