Field_9_2_0_42174_000_lang,ID,Season,Field_9_2_0_41827_001,ExpansionID,Field_10_0_2_45779_004,DelvesSeasonID
"Победите %1$d |4босса:боссов:боссов; в рейде ""Замок Нафрия"".",10,5,1,8,1,0
"Победите %1$d |4босса:боссов:боссов; в рейде ""Святилище Господства"".",11,6,2,8,1,0
"Победите %1$d |4босса:боссов:боссов; в рейде ""Гробница Предвечных"".",12,7,3,8,1,0
Победите %1$d |4босса:боссов:боссов; в судьбоносном рейде.,17,8,4,8,1,0
"Победите %1$d |4босса:боссов:боссов; в рейде ""Хранилище Воплощений"".",19,9,1,9,2,0
"Победите %1$d |4босса:боссов:боссов; в рейде ""Аберрий, Затененное Горнило"".",21,10,2,9,2,0
"Победите %d |4босса:боссов:боссов; в Амирдрассиле, Надежде Сна",22,11,3,9,2,0
Победите %1$d |4босса:боссов:боссов; в пробужденном рейде.,23,12,4,9,2,0
Победите %1$d |4босса:боссов:боссов; в Неруб'арском дворце.,24,13,1,10,3,1
"Победите %1$d |4босса:боссов:боссов; в рейде ""Освобождение Нижней Шахты"".",25,14,2,10,3,2
Победите %d |4босса:боссов:боссов; в манагорне Омега,30,15,3,10,3,3
,31,16,4,10,0,3
