ID,Answer_lang,Sort_Index,GMSurveyQuestionID
101,--,0,36
102,Да,1,36
103,Нет,2,36
104,--,0,35
105,0,1,35
106,1,2,35
107,2,3,35
108,3,4,35
109,4,5,35
110,5,6,35
111,6,7,35
112,7,8,35
113,8,9,35
114,9,10,35
115,Намного хуже,1,37
116,Немного хуже,2,37
117,Примерно так же,3,37
118,Лучше,4,37
119,Намного лучше,5,37
120,10,11,35
121,--,0,37
152,Лучше,4,38
153,Намного лучше,5,38
154,--,0,38
155,Намного хуже,1,38
156,Немного хуже,2,38
157,Примерно так же,3,38
158,Лучше,4,39
159,Намного лучше,5,39
160,--,0,39
161,Намного хуже,1,39
162,Немного хуже,2,39
163,Примерно так же,3,39
164,Лучше,4,40
165,Намного лучше,5,40
166,--,0,40
167,Намного хуже,1,40
168,Немного хуже,2,40
169,Примерно так же,3,40
170,Лучше,4,41
171,Намного лучше,5,41
172,--,0,41
173,Намного хуже,1,41
174,Немного хуже,2,41
175,Примерно так же,3,41
184,Абсолютно недоволен,0,42
185,,1,42
186,,2,42
187,,3,42
188,Очень доволен,4,42
189,Однозначно нет,0,43
190,,1,43
191,,2,43
192,,3,43
193,Очень вероятно,4,43
194,--,5,43
195,Однозначно нет,0,44
196,,1,44
197,,2,44
198,,3,44
199,Очень вероятно,4,44
200,Абсолютно недоволен,0,45
201,,1,45
202,,2,45
203,,3,45
204,Очень доволен,4,45
205,Полностью неверно,0,46
206,,1,46
207,,2,46
208,,3,46
209,Абсолютно верно,4,46
210,--,5,46
211,Полностью неверно,0,47
212,,1,47
213,,2,47
214,,3,47
215,Абсолютно верно,4,47
216,--,5,47
217,Полностью неверно,0,48
218,,1,48
219,,2,48
220,,3,48
221,Абсолютно верно,4,48
222,--,5,48
223,Полностью неверно,0,49
224,,1,49
225,,2,49
226,,3,49
227,Абсолютно верно,4,49
228,--,5,49
229,Да,0,50
230,Нет,1,50
231,Абсолютно недоволен,0,51
232,,1,51
233,,2,51
234,,3,51
235,Очень доволен,4,51
236,--,5,51
249,--,5,42
251,--,5,44
252,--,5,45
320,,1,53
321,,2,53
322,,3,53
323,Абсолютно верно,4,53
324,--,5,53
325,Полностью неверно,0,53
352,--,5,52
359,1,4,52
366,2,3,52
373,3,2,52
380,4 или больше,1,52
394,Проблема все еще не решена,0,52
