ID,Description_lang,SoulbindID,CreatureDisplayInfoID,ModelSceneActorID,TextureKitID,OrderIndex,GlobalOrderIndex,ActivationSoundKitID
1,"Ния – сильвара, которой доверили заботу о диких семенах и их защиту. Вы встретили ее в трагическое время, когда рощу Нии обрекли на смерть, чтобы собрать аниму. Путешествуя вместе с вами, она узнала жестокую правду о выживании во время засухи. Ния умелый охотник и следопыт и готова помочь вам покончить с бедствием и защитить Арденвельд.",1,95232,1030,5312,0,6,171896
2,"Творец Снов – всегда спокойный и невозмутимый представитель ночного народца, который умеет проникать в сны духов природы, дремлющих в диких семенах в ожидании возрождения. Он помог установить связь с одним из диких семян, когда заключенная в нем душа обратилась к вам. Как целитель, Творец Снов готов сделать все возможное, чтобы спасти осажденный Арденвельд.",2,94430,1029,5313,1,7,171898
3,"Много тысяч лет генерал Дрейвен был одним из командиров Каменного легиона Ревендрета. Он всегда благородно сражается в первых рядах и не бросает своих солдат. Когда Денатрий перешел на сторону Тюремщика, Дрейвен примкнул к восстанию Ренатала, решив, что служба Ревендрету для него превыше верности Владыке.",3,92399,1031,5314,2,11,171889
4,"Изобретатель чумы Марилет – гениальный и эксцентричный ученый, создатель самых действенных зелий во всем Малдраксусе. Он сошел с ума, когда в результате предательства был уничтожен дом Чумы. Парадоксальные решения Марилета могут быть очень полезными в ходе кампании – несмотря на побочные эффекты.",4,94122,1035,5315,0,3,171890
5,"Эмени – кадавр, ее тело сшили на одном из дворов поганищ Малдраксуса. При жизни она была могущественной аристократкой и убила больше сотни своих родственников, чтобы завладеть короной. Эмени уважает вас за силу и боевое мастерство и с удовольствием помогает убивать общих врагов. Ее знают и боятся повсюду, но она надеется добиться еще большей славы как медиум пилигрима Утробы.",5,93825,1036,5316,1,4,171892
7,"Корейн из Дикой Охоты – волевой командир и беспощадный боец. Она защищает лес от могучего неуловимого врага и не успокоится до тех пор, пока не уничтожит свою цель и не защитит Арденвельд. Решимость и умелое руководство Корейн спасли Спящую лощину, когда в нее пришла беда.",6,95248,1037,5317,2,8,171899
9,"Пелагий – один из претендентов Бастиона, усердно тренирующийся перед перерождением. Вместе со своим медиумом Клейей он быстро стал вашим другом, помог добиться приема у Архонта и покончить с угрозой раскольников. Несмотря на то, что его путь усеян сомнениями и воспоминаниями о смертной жизни, Пелагий всегда весел и не теряет надежду.",7,94137,1039,5318,0,0,171883
10,"Костоплав Гейрмир – ученица самого Примаса, одна из старейших душ смертных в Малдраксусе. За долгие века она научилась ковать металл и руны, кости и плоть. Она пополняет арсенал дома Избранных, чтобы вы и другие некролорды могли встретить врага во всеоружии.",10,96102,1038,5319,2,5,171894
11,"Клейя – перерожденная кирия, с которой вы познакомились, когда она была еще претенденткой. Клейя помогает своему медиуму Пелагию и другим кириям преодолевать испытания, не останавливаясь на достигнутом. Она заботливый наставник и сделает все, чтобы защитить своих друзей и Бастион.",13,94873,1040,5320,1,1,171885
12,"Миканикос – распорядитель из Бастиона, заявивший о себе с первых дней своей службы и быстро ставший верховным автоматургом. Он изобрел большую часть самых узнаваемых устройств Бастиона. Оценив потенциал пилигрима Утробы, Миканикос стал одним из самых ценных ваших союзников в борьбе с великой засухой анимы.",18,96348,1041,5322,2,2,171886
14,"Величайшая (по ее собственным словам) дуэлянтка из всех, кто когда-либо держал в руках клинок, Наджия не терпит скуки и всегда в поисках новых впечатлений. Если где-то назревает заварушка, можете не сомневаться – Наджия уже в гуще событий. Она готова употребить свои навыки для защиты Ревендрета под вашим руководством... даже ради развлечения.",8,93210,1042,5327,0,9,171887
15,"Безумие не оправдывает бестактность! Изгнанный из аристократических кругов Теотар собрал свой двор изгоев, чтобы проводить досуг за сплетнями. Эксцентричный герцог обладает невероятной силой Ревендрета и применяет ее в самых разных целях, начиная с зачарования своего любимого чайника и заканчивая оживлением землероев, чтобы они носили его зонтик.",9,93223,1043,5328,1,10,171888
