Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
Тайная магия,Тайная магия,"Мастер тайной магии. Уничтожает врагов чудовищной силой заклинаний.

Оружие: посох, жезл, кинжал, меч.",62,8,0,0,2,3,135932,0,362,190740,0
Огонь,Огонь,"Испепеляет врагов огненными шарами и всепожирающим пламенем.

Оружие: посох, жезл, кинжал, меч.",63,8,1,0,2,3,135810,0,362,12846,0
Лед,Лед,"Используя магию льда, замораживает врагов и разбивает их вдребезги.

Оружие: посох, жезл, кинжал, меч.",64,8,2,0,2,67,135846,0,362,76613,0
Свет,Свет,"Призывает силы Света, чтобы защищать и исцелять союзников или карать зло.

Оружие: меч, булава и щит.",65,2,0,0,1,5,135920,1,0,183997,0
Защита,Защита,"Использует магию Света для защиты себя и союзников от вражеских атак.

Оружие: меч, булава, топор и щит.",66,2,1,0,0,4,236264,5,0,76671,0
Воздаяние,Воздаяние,"Борец за справедливость. Оружием и светлой магией вершит правосудие над врагами.

Оружие: двуручные топор, булава и меч.",70,2,2,0,2,68,135873,5,0,267316,0
Оружие,Оружие,"Закаленный в битвах боец, искусно управляющийся с оружием. В бою полагается на скорость и мощные удары.

Оружие: двуручные топоры, булавы и мечи.",71,1,0,0,2,68,132355,5,0,262111,0
Неистовство,Неистовство,"Неистовый берсерк с оружием в каждой руке. Обрушивает на противников шквал рубящих ударов.

Оружие: двуручные топоры, булавы и мечи.",72,1,1,0,2,20,132347,5,0,76856,0
Защита,Защита,"Использует щит для защиты себя и союзников от вражеских атак.

Оружие: одноручные топоры, булавы и мечи; щит.",73,1,2,0,0,4,132341,5,0,76857,0
Свирепость,Свирепость,"Преследуя свою жертву с неистовым упорством, эти хищники не остановятся ни перед чем, чтобы достичь поставленной цели. Даже смерть для них – лишь временное препятствие.",74,0,0,0,2,0,236159,0,0,0,0
Хитрость,Хитрость,"Эти коварные создания способны с легкостью смягчать силу смертельных ударов, нацеленных на них самих или их союзников.",79,0,2,2,2,0,132150,0,0,0,0
Упорство,Упорство,"Эти смелые и опытные защитники без лишних сомнений подставляют под удар свои прочные шкуры и панцири, защищая союзников от любых угроз.",81,0,1,1,0,0,132121,0,0,0,0
Баланс,Баланс,"Обращается в мудрого совуха и балансирует между силами тайной магии и магии природы.

Оружие: посох, кинжал, булава.",102,11,0,0,2,331,136096,0,363,393014,0
Сила зверя,Сила зверя,"Обращается в большую кошку, рвущую противников клыками и когтями.

Оружие: посох, древковое.",103,11,1,0,2,260,132115,3,363,77493,0
Страж,Страж,"Принимает облик могучего медведя, в котором поглощает урон и защищает союзников.

Оружие: посох, древковое.",104,11,2,0,0,4,132276,3,363,155783,0
Исцеление,Исцеление,"Использует магию природы, чтобы поддерживать и лечить союзников.

Оружие: посох, кинжал, булава.",105,11,3,0,1,3,136041,0,363,77495,0
Кровь,Кровь,"Темный защитник, который сдерживает натиск врагов, подпитывая себя за счет их жизненной энергии.

Оружие: двуручные топоры, булавы и мечи.",250,6,0,0,0,4,135770,5,0,77513,0
Лед,Лед,"Безжалостный вестник рока, использующий силу рун и наносящий молниеносные удары оружием.

Оружие: топоры, булавы, мечи.",251,6,1,0,2,4,135773,5,0,77514,0
Нечестивость,Нечестивость,"Властитель смерти и разложения, распространяющий болезни и повелевающий прислужниками-нежитью.

Оружие: двуручные топоры, булавы и мечи.",252,6,2,0,2,68,135775,5,0,77515,0
Повелитель зверей,Повелительница зверей,"Повелитель дикой природы, способный приручать животных разных видов и использовать их в сражении.

Оружие: лук, арбалет, огнестрельное.",253,3,0,0,2,66,461112,2,0,76657,0
Стрельба,Стрельба,"Снайпер, которому нет равных в стрельбе на большие расстояния.

Оружие: лук, арбалет, огнестрельное.",254,3,1,0,2,2,236179,2,0,193468,0
Выживание,Выживание,"Следопыт, полагающийся на яды, взрывчатку и помощь питомцев.

Оружие: древковое, посох.",255,3,2,0,2,260,461113,2,0,263135,0
Послушание,Послушание,"Защищает союзников и исцеляет их, карая противников.
Оружие: посох, жезл, кинжал, палица",256,5,0,0,1,67,135940,0,353,271534,0
Свет,Свет,"Универсальный лекарь, который исцеляет одиночные цели и группы и может лечить даже после смерти.

Оружие: посох, жезл, кинжал, булава.",257,5,1,0,1,3,237542,0,353,77485,0
Тьма,Тьма,"Обращает против врагов ужасающую магию Тьмы и Бездны.

Оружие: посох, жезл, кинжал, булава.",258,5,2,0,2,11,136207,0,353,343690,0
Ликвидация,Ликвидация,"Знаток ядов, расправляющийся с противниками ударами отравленных кинжалов.

Оружие: кинжалы.",259,4,0,0,2,68,236270,3,0,76803,0
Головорез,Головорез,"Безжалостный, ловкий и коварный головорез, мастер ближнего боя.

Оружие: топоры, булавы, мечи, кистевое.",260,4,1,0,2,4,236286,3,0,76806,0
Скрытность,Скрытность,"Мастер засад, нападающий из тени, чтобы застать жертву врасплох.

Оружие: кинжалы.",261,4,2,0,2,4,132320,3,0,76808,0
