Name_lang,Description_lang,ID,GarrTalentTreeID,Tier,UiOrder,IconFileDataID,PlayerConditionID,GarrAbilityID,Flags,TalentType,PrerequisiteTalentID,ResearchCostSource,ActiveDurationSecs,GarrTalentSocketPropertiesID
Жажда крови,"Позволяет задействовать способность ""Жажда крови"", повышающую вероятность успеха при выполнении первого задания за день на ${$a701}%.",39,31,0,1,136012,41962,578,0,0,0,0,0,0
Реинкарнация,"Позволяет задействовать для всех заданий способность ""Реинкарнация"", которая может с вероятностью ${$a772}% восстановить уничтоженный отряд с $m772 ед. жизненных сил при успешном выполнении задания.",40,31,1,1,451167,41955,646,0,0,0,0,0,0
Дар предков,Дает шанс получить снаряжение или вооружение для защитников при успешном выполнении задания.,41,31,2,1,237574,41958,788,0,0,0,0,0,0
Легенды предков,Увеличивает количество доступных для использования легендарных предметов на ${$a898}.,42,31,5,0,237571,41961,0,0,0,0,0,0,0
Знание стихий,Новоприбывшие малые элементали становятся большими элементалями; вероятность успеха при выполнении заданий для них повышается на ${$a638-$a637}%.,43,31,3,0,893777,41959,0,0,0,0,0,0,0
Шепот земли,"Новоприбывшие заклинатели земли становятся геомантами Служителей Земли и могут использовать способность:

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t |Cffffffff""Буря магмы""|R
$@garrabdesc583",44,31,3,1,451165,41959,0,0,0,0,0,0,0
Восстань!,"Позволяет вербовать перерожденных.

Перерожденные на ${$a650}% повышают вероятность успеха при выполнении заданий с |C00b3ffffпрепятствиями|R, |C00b3ffffзаклинаниями|R или |C00b3ffffприслужниками|R, выбранными случайным образом. Перерожденные могут использовать способность:

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t |Cffffffff""Ярость перерожденных""|R
$@garrabdesc531",46,31,4,1,132148,41960,0,0,0,0,0,0,0
Духовное странствие,Позволяет разместить заказ на 1 из 3 доступных еженедельно печатей сломанной судьбы в обмен на ресурсы оплота класса.,49,31,4,0,636335,41960,0,0,0,0,0,0,0
Тренировочная площадка,"Увеличивает максимальное количество отрядов малых и больших элементалей, заклинателей земли и геомантов на ${$a702}.",52,31,2,0,135776,41958,579,0,0,0,0,0,0
Управление стихиями,"Открывает доступ к повелителям огня, земли, ветра и воды. Каждый день в вашем оплоте класса будет появляться случайный повелитель элементалей, предоставляющий мощный боевой бонус.",53,31,1,0,135988,41955,0,0,0,0,0,0,0
Зов духов,"Повышает вероятность получения улучшенных до редкого или эпического качества предметов за выполнение заданий, которые нельзя повторить.",54,31,0,0,136014,41962,0,0,0,0,0,0,0
Милость фортуны,"Повышает вероятность получения улучшенных до редкого или эпического качества предметов за выполнение заданий, которые нельзя повторить.",248,4,0,0,636335,41962,0,0,0,0,0,0,0
Просветление,"Уровень новоприбывших отрядов может быть повышен на 1. 

Послушники могут стать адептами, а адепты могут стать мастерами.",249,4,1,1,648628,41955,0,0,0,0,0,0,0
Путь Быка,Новоприбывшие послушники школы Быка становятся адептами школы Быка; вероятность успеха при выполнении заданий для них повышается на ${$a897-$a695}%.,250,4,3,0,620829,41959,0,0,0,0,0,0,0
Путь Тигра,"Новоприбывшие послушники школы Тигра становятся адептами школы Тигра и могут использовать способность:

|TInterface\ICONS\ABILITY_MONK_CRANEKICK_NEW.BLP:20:20:0:0|t |Cffffffff""Танцующий журавль""|R
$@garrabdesc576",251,4,3,1,611420,41959,0,0,0,0,0,0,0
Жилые помещения,Увеличивает максимальное количество отрядов послушников и адептов школ Тигра и Быка на ${$a694}.,252,4,2,0,651489,41958,571,0,0,0,0,0,0
Счастливый конверт,"Позволяет задействовать способность ""Счастливый конверт"", повышающую вероятность успеха при выполнении первого задания за день на ${$a693}%.",253,4,0,1,134268,41962,570,0,0,0,0,0,0
