Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
UI Test Subtree 1,Описание,16,11409,878
UI Test Subtree 2,Другое описание,17,0,880
Ткач Бездны,"Постигая первоистоки магии Бездны, ткачи открыли способ устанавливать с ней хрупкую связь через бреши в ткани реальности. Из-за непредсказуемости этой всепожирающей силы ее невероятно опасно держать под контролем.",18,26682,795
Архонт,"В своей непоколебимой вере архонты поддерживают глубокую связь и со Светом, и с Тьмой. Высшие силы могут ненадолго даровать архонтам свое благословение и вознести их на вершины могущества.",19,27430,795
Оракул,"Оракулы заглядывают в будущее и используют полученные знания, чтобы защищать и усиливать союзников. Видение будущего позволяет оракулам благословлять союзников и давать им уникальные эффекты, заранее предугадывая опасность.",20,26934,795
Друид-хищник,"Друиды-хищники в совершенстве владеют могучим звериным обликом. Превращаясь в кошек или медведей, они становятся свирепыми бойцами и защитниками дикой природы.",21,26675,793
Следопыт,"Следопыты живут в отдаленных уголках диких земель. Там они охотятся, поддерживая цикл жизни и смерти. Они уничтожают тех, кто покушается на сохранность природы и используют свои целительные навыки, возвращая жизнь в опустевшие края.",22,26677,793
Хранитель рощи,"Хранители рощи вдохновляются силой могучих детей Кенария, чтобы сохранять равновесие природы и оберегать Изумрудный Сон. Они могут наделять свои заклинания энергией Сна и призывать усиленных древней, которые защищают их союзников и сокрушают врагов.",23,26686,793
Избранник Элуны,"Избранники Элуны преданно служат богине луны и взамен обретают единение с луной и звездами. Их способности преисполняются астральной силой, а могучая лунная магия разит врагов.",24,26685,793
Боец,"Бранн разделывается с врагами на расстоянии с помощью ""Надежного средства"".",29,24179,874
Лекарь,Бранн исцеляет раненых игроков с помощью медицинских припасов и найденных реликвий.,30,24186,874
Сан'лейн,"Сан'лейн мастерски используют магию крови и темную магию, чтобы ослаблять противников и усиливать собственные возможности.",31,26673,750
Всадник апокалипсиса,"Всадники апокалипсиса призывают силу легендарных Четырех Всадников. Они ведут их в бой, насылая на врагов смерть, голод и мор.",32,27222,750
Вестник Смерти,"Станьте посланником смерти и разите души противников силой Темных Земель. Пусть враги не забывают, что все пути ведут в могилу.",33,26672,750
Истерзанный Скверной,Истерзанные Скверной принимают свою демоническую натуру и позволяют ей усиливать свои атаки взрывной силой огня Скверны.,34,27066,854
Альдрахийский разоритель,"Альдрахийские воины с исключительным мастерством владели боевыми клинками. Они наносили своим жертвам элегантные и смертоносные удары, поглощая души и преумножая мощь своего оружия.",35,27132,854
Дракомандир,"Дракомандиры – прирожденные лидеры, способные воодушевлять союзников на великие подвиги. Эти боевые предводители драктиров используют усиленные заклинания, чтобы отдавать приказы и координировать бойцов.",36,27067,872
Ваятель огня,"Ваятели огня тесно связаны с силой Алекстразы. Их навыки направлены на защиту союзников, восстановление и обновление. Они, как никто другой, способны управлять драконьим пламенем, а также распространять и усиливать его.",37,27223,872
Хроностраж,"Хроностражи способны управлять временем и заглядывать в будущее, чтобы ускорять свои атаки или повторять маневры через отголоски воспоминаний. Они лучше других постигли бронзовую магию, но не всегда могут держать ее под контролем из-за множества разветвлений времени перед глазами.",38,26678,872
Ярость солнца,"Маги школы ярости солнца изучают чародейское пламя, усиливая и без того смертоносные заклинания или даже призывая на помощь феникса огненных чар.",39,27133,658
Чаромет,"Научившись управлять дикой сущностью магии, чарометы разделяют заклинания на осколки и создают новые нестабильные эффекты.",40,27429,658
Ледяной огонь,"Маги ледяного огня укрощают будто бы несовместимые стихии. Овладев противоположными силами, они усиливают атаки стихий и совмещают их, применяя мощные комбинации.",41,27017,658
Часовой,"Часовые черпают силу в единстве с дикой природой. Их способности наносят дополнительный урон от тайной магии, а силы луны помогают наносить врагам сокрушительные удары.",42,27529,774
Вожак стаи,"Вожаки стаи установили особую связь со своими питомцами и самой природой. Такие охотники умеют призывать на помощь могучих зверей и действуют со своими питомцами слаженно, как единый организм, настигая цель с пугающей точностью.",43,27068,774
Темный следопыт,"Дайте волю ненависти и скрывайтесь в тенях, поражая своих жертв способностями, насыщенными некротической и темной энергией. С каждым убитым врагом ваши темные навыки еще больше усиливаются.",44,26679,774
