Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
Достигните 10-го уровня.,10-й уровень,,6,-1,-1,0,92,0,10,2097156,11,236562,0,2050,0,0,0,0
Достигните 20-го уровня.,20-й уровень,,7,-1,-1,6,92,0,10,2097156,12,236563,0,2683,0,0,0,0
Достигните 30-го уровня.,30-й уровень,,8,-1,-1,7,92,0,10,2097156,14,236564,0,1289,0,0,0,0
Достигните 40-го уровня.,40-й уровень,,9,-1,-1,8,92,0,10,2097156,15,236565,0,942,0,0,0,0
Достигните 50-го уровня до выхода дополнения Shadowlands.,50-й уровень (наследие),,10,-1,-1,0,15446,0,0,2103300,1,236566,0,0,0,0,0,0
Достигните 60-го уровня до выхода дополнения Shadowlands.,60-й уровень (наследие),,11,-1,-1,10,15446,0,0,2103300,2,236567,0,0,0,0,0,0
Достигните 70-го уровня до выхода дополнения Shadowlands.,70-й уровень (наследие),,12,-1,-1,11,15446,0,0,2103300,3,236568,0,0,0,0,0,0
Достигните 80-го уровня до выхода дополнения Shadowlands.,80-й уровень (наследие),,13,-1,-1,12,15446,0,0,2103300,4,236569,0,0,0,0,0,0
Соберите 15 различных питомцев.,Дружеская толпа,,15,-1,-1,1017,15118,0,10,131072,5,132599,0,22152,0,0,0,0
Доведите свой навык рукопашного боя до 400.,Кому зуботычину?,,16,-1,-1,0,15446,0,0,2048,30,132356,0,6318,0,0,0,0
Выполняйте ежедневное задание в течение пяти дней.,Простой рецепт,,31,-1,-1,0,96,0,10,131072,25,236680,0,2807,0,0,0,0
Выполните 2000 заданий.,2000 заданий,,32,-1,-1,508,96,0,10,131072,8,236670,0,2810,0,0,0,0
Пройдите указанные ниже этапы развития сюжета в Борейской тундре.,Борьба в Борейщине,,33,-1,1,0,14863,0,10,131072,2,236728,0,1741,0,0,0,0
Пройдите указанные ниже этапы развития сюжета в Ревущем фьорде.,Покорение фьордов,,34,-1,1,0,14863,0,10,131072,6,236787,0,5287,0,0,0,0
Пройдите указанные ниже этапы развития сюжета в Драконьем Погосте.,Кости на погосте,,35,-1,1,0,14863,0,10,131072,10,236749,0,1745,0,0,0,0
Пройдите указанные ниже этапы развития сюжета в Зул'Драке.,Империя Зул'Драк,,36,-1,-1,0,14863,0,10,131072,17,236862,0,1881,0,0,0,0
Пройдите указанные ниже этапы развития сюжета в Седых холмах.,"Седые холмы, густые леса",,37,-1,1,0,14863,0,10,131072,14,236772,0,5284,0,0,0,0
Пройдите указанные ниже этапы развития сюжета на Грозовой гряде.,Верховья Грозовой гряды,,38,-1,-1,0,14863,0,10,131072,22,236838,0,1884,0,0,0,0
Пройдите указанные ниже этапы развития сюжета в низине Шолазар.,В Низину,,39,-1,-1,0,14863,0,10,131072,20,236823,0,1887,0,0,0,0
Пройдите указанные ниже этапы развития сюжета в Ледяной Короне.,Цель – Ледяная Корона,,40,-1,-1,0,14863,0,10,131072,23,236799,0,3375,0,0,0,0
"Заработайте указанные ниже достижения, связанные с заданиями в Нордсколе.",Хранитель мудрости Нордскола,,41,-1,-1,0,14863,0,10,131072,33,236812,0,5756,0,0,0,0
Исследуйте все местности Восточных королевств.,Восточные королевства,,42,-1,-1,0,97,0,25,131072,1,236759,0,2402,0,0,0,0
Исследуйте все местности Калимдора.,Калимдор,,43,-1,-1,0,97,0,25,131072,2,236807,0,3317,0,0,0,0
Исследуйте все местности Запределья.,Запределье,,44,-1,-1,0,97,0,25,131072,3,236813,0,3340,0,0,0,0
Исследуйте все местности Нордскола.,Нордскол,Награда: гербовая накидка исследователя,45,-1,-1,0,97,0,25,131072,4,236812,0,12064,0,0,0,0
"Исследуйте Восточные королевства, Калимдор, Запределье, Нордскол, местности, появившиеся в результате Катаклизма, Пандарию, Дренор, Расколотые острова, Кул-Тирас и Зандалар.",Первооткрыватель,Звание: Исследователь,46,-1,-1,0,97,0,50,131072,13,237381,0,3257,0,0,0,0
Победы в Альтеракской долине,Победы в Альтеракской долине,,49,30,-1,0,153,0,0,1,6,136243,0,15889,0,0,0,0
Победы на Оке Бури,Победы на Оке Бури,,50,566,-1,0,153,0,0,1,13,136243,0,9109,0,0,0,0
Победы в низине Арати,Победы в низине Арати,,51,529,-1,0,153,0,0,1,8,136243,0,5504,0,0,0,0
Сражения в ущелье Песни Войны,Сражения в ущелье Песни Войны,,52,489,-1,0,153,0,0,1,20,136243,0,5507,0,0,0,0
Сражения в Альтеракской долине,Сражения в Альтеракской долине,,53,30,-1,0,153,0,0,1,5,136243,0,5510,0,0,0,0
Сражения на Оке Бури,Сражения на Оке Бури,,54,566,-1,0,153,0,0,1,11,136243,0,1272,0,0,0,0
Сражения в низине Арати,Сражения в низине Арати,,55,529,-1,0,153,0,0,1,7,136243,0,3391,0,0,0,0
Всего смертей,Всего смертей,,60,-1,-1,0,122,0,0,1,1,136243,0,1189,0,0,0,0
В течение одного сражения в низине Арати возьмите штурмом 3 базы.,Нападение на Низину,,73,-1,-1,0,14802,0,10,0,5,132333,0,7709,0,0,0,0
Отменено заданий,Отменено заданий,,94,-1,-1,0,133,0,0,1,5,136243,0,805,0,0,0,0
Среднее количество заданий за день,Среднее количество заданий за день,,95,-1,-1,0,133,0,0,65,2,136243,0,5199,98,0,0,0
Выполнено ежедневных заданий,Выполнено ежедневных заданий,,97,-1,-1,0,133,0,0,1,3,136243,0,5766,0,0,0,0
Выполнено заданий,Выполнено заданий,,98,-1,-1,0,133,0,0,1,1,136243,0,758,0,0,0,0
Бои в Руинах Лордерона,Бои в Руинах Лордерона,,99,-1,-1,0,152,0,0,1,35,136243,0,15898,0,0,0,0
