ID,Name_lang,MapID,QuestPOIBlobID,AreaPOIIconEnum
9,Раскопки Сталекрута,0,54097,177
10,Гробница Железноборода,0,54124,177
12,Раскопки Вельгара,0,54126,177
13,Роща Стража Природы - окаменелости,0,54127,177
15,Стена Торадина,0,54129,177
18,Деревня Сухокожих - раскопки,0,54132,177
19,Мост Тандола,0,54133,177
20,Дун Гарок - раскопки,0,54134,177
21,Южнобережье - окаменелости,0,54135,177
22,Заоблачный пик - раскопки,0,54136,177
23,Шадра'Алор - раскопки,0,54137,177
24,Алтарь Зула - раскопки,0,54138,177
25,"Джинта'Алор, Нижний Город - раскопки",0,54139,177
26,"Джинта'Алор, Верхний Город - раскопки",0,54140,177
27,Агол'вата - раскопки,0,54141,177
140,TEMPLATE TROLL,0,54828,177
142,TEMPLATE DWARF,0,54830,177
144,Карьер Тяжелоступа - раскопки,0,54832,177
146,Гробница Стражей - раскопки,0,54834,177
150,Вход в Ульдаман - раскопки,0,54838,177
152,Затонувший храм - раскопки,0,54862,177
154,Тростниковый берег - окаменелости,0,54864,177
161,TEMPLATE NIGHT ELF ,0,55348,177
163,Мглистая роща - раскопки,0,55350,177
165,Вул'Гол - окаменелости,0,55352,177
167,Назж'вел - раскопки,1,55354,177
169,Зорамское взморье - раскопки,1,55356,177
171,Руины Ордил'Арана,1,55398,177
173,Руины Звездной Пыли,1,55400,177
175,Лесная Песнь - раскопки,1,55402,177
177,Пик Каменного Когтя,1,55404,177
179,Руины Эльдре'тара,1,55406,177
181,Место раскопок,1,55408,177
183,Бейл Модан - раскопки,1,55410,177
185,Руины Эльдарата,1,55412,177
187,Руины храма Арккоран,1,55414,177
189,Озерный тракт - окаменелости,0,55416,177
191,Берег Скользящего Плавника - раскопки,1,55418,177
193,Этель-Ретор - раскопки,1,55420,177
195,Долина Костей,1,55422,177
197,Поле Маннорок - раскопки,1,55424,177
199,Кладбище кодо,1,55426,177
201,Саргерон - раскопки,1,55428,177
203,Красные берега - окаменелости,0,55434,177
205,Молот Ужаса - окаменелости,0,55436,177
207,Гримсилт - раскопки,0,55438,177
209,Пироксовые равнины - раскопки,0,55440,177
211,Западные руины Тауриссана,0,55442,177
213,Восточные руины Тауриссана,0,55444,177
215,Тропа Крылатого Ужаса - окаменелости,0,55446,177
217,Зул'Машар - раскопки,0,55448,177
219,Сторожка Кель'Литиен - раскопки,0,55450,177
221,Чумной овраг - окаменелости,0,55452,177
223,Восточная Зул'Кунда - раскопки,0,55454,177
225,Западная Зул'Кунда - раскопки,0,55456,177
227,Руины Бал'лал - раскопки,0,55458,177
229,Балиа'ма - раскопки,0,55460,177
231,Зиата'джаи - раскопки,0,55462,177
233,Восточный Зул'Мамве - раскопки,0,55464,177
235,Западный Зул'Мамве - раскопки,0,55466,177
237,"Гибельный берег, поля ящеров",0,55468,177
239,Руины Абораза,0,55470,177
241,Руины Жубуваля,0,55472,177
243,Арена Гурубаши - раскопки,0,55474,177
245,Родник Нек'Мани - раскопки,0,55476,177
247,Поле Джанис - окаменелости,0,55478,177
249,Северный Кряж - окаменелости,0,55480,177
251,Андорал - окаменелости,0,55482,177
259,Драконьи топи - окаменелости,1,55755,177
261,Трясина - окаменелости,1,55757,177
279,Забытый город - раскопки,1,56327,177
281,Разоренные земли - раскопки,1,56329,177
283,Яростный Ветер - раскопки,1,56331,177
285,Онейрос - раскопки,1,56333,177
287,Соларсаль - раскопки,1,56335,177
289,Мглистая пещера - раскопки,1,56337,177
291,Южный Исильдиэн - раскопки,1,56339,177
293,Северный Исильдиэн - раскопки,1,56341,177
295,Констеллас - раскопки,1,56343,177
297,Морлос'Аран - раскопки,1,56345,177
299,Джеденар - раскопки,1,56347,177
301,Железнолесья - раскопки,1,56349,177
303,Озеро Кел'Терил - раскопки,1,56351,177
305,Совиная чаща - раскопки,1,56354,177
307,Теснина Ледяного Шепота - раскопки,1,56356,177
309,Кровавые поля - окаменелости,1,56358,177
313,Ров Кошмаров - раскопки,1,56362,177
315,Зул'Фаррак - раскопки,1,56364,177
317,Разбитая Колонна - раскопки,1,56367,177
319,Руины Восточной Луны - раскопки,1,56369,177
321,Руины Южной Луны - раскопки,1,56371,177
323,Песчаный Молот - окаменелости,1,56373,177
325,Безбрежные пески - окаменелости,1,56375,177
327,Нижние Смоляные ямы Лаккари,1,56380,177
329,Верхние Смоляные ямы Лаккари,1,56382,177
331,Путь Ужаса - окаменелости,1,56384,177
333,Вопящие плёсы - окаменелости,1,56386,177
335,Топи - окаменелости,1,56388,177
337,Деревня Южного Ветра - раскопки,1,56390,177
339,Форт Гор'газ - раскопки,530,56392,177
341,Зет'Гор - раскопки,530,56394,177
343,Яма Адского Пламени - раскопки,530,56396,177
345,Цитадель Адского Пламени - раскопки,530,56398,177
347,Ша'наар - раскопки,530,56400,177
349,Руины Боха'му - раскопки,530,56402,177
351,Руины Двух Башен - раскопки,530,56404,177
353,Руины Энкаата - раскопки,530,56406,177
355,Руины Арклон - раскопки,530,56408,177
357,Руины Фаралона - раскопки,530,56410,177
359,Земли Предков - раскопки,530,56412,177
363,Застава Солнечного Источника - раскопки,530,56416,177
365,Веселый Череп - раскопки,530,56418,177
367,Пылающий Клинок - раскопки,530,56420,177
369,Халаа - раскопки,530,56422,177
371,Деревня Грангол'вар - раскопки,530,56424,177
373,Туурем - раскопки,530,56426,177
375,Руины Кровавой Глазницы - раскопки,530,56428,177
377,Руины Костеглодов - раскопки,530,56430,177
379,Костяные пустоши - раскопки,530,56432,177
381,Восточный Аукиндон - раскопки,530,56434,177
383,Западный Аукиндон - раскопки,530,56437,177
385,Аванпост Иллидари - раскопки,530,56439,177
387,Лагерь Змеиных Колец - раскопки,530,56441,177
391,Руины Баа'ри - раскопки,530,56446,177
393,Лагерь Затмения - раскопки,530,56448,177
395,Клеть Стражницы - раскопки,530,56450,177
399,Крепость Драконьей Пасти,530,56455,177
401,Скорн - раскопки,571,56504,177
403,Халгринд - раскопки,571,56506,177
405,Драконий Череп - раскопки,571,56508,177
407,Заградительный холм - раскопки,571,56510,177
409,Гибльхеймские раскопки,571,56512,177
411,Ниффлвар - раскопки,571,56514,177
413,Гьялерброн - раскопки,571,56516,177
415,Провал Наржуна - раскопки,571,56518,177
417,Сады Лунного Покоя - раскопки,571,56520,177
419,Эн'кила - раскопки,571,56522,177
421,Колрамас - раскопки,571,56524,177
423,Руины Терзающего Бича - раскопки,571,56526,177
425,Аметистовая застава - раскопки,571,56528,177
427,Руины Шандарала - раскопки,571,56530,177
429,Алтарь Шшератуса - раскопки,571,56533,177
431,Зим'Рук - раскопки,571,56535,177
433,Зол'Хеб - раскопки,571,56537,177
435,Алтарь Кетц'лун - раскопки,571,56539,177
437,Талрамас - раскопки,571,56541,177
439,Волдрун - раскопки,571,56543,177
443,Руины Дракил'джин - раскопки,571,56547,177
445,Деревня Бруннхильдар - раскопки,571,56549,177
447,Деревня Сифрельдар - раскопки,571,56551,177
449,Валькирион - раскопки,571,56553,177
451,Плетхольм - раскопки,571,56555,177
455,Имирхейм - раскопки,571,56560,177
457,Йотунхейм - раскопки,571,56562,177
459,Деревня Ньорндар - раскопки,571,56564,177
461,Руины Лар'донира - раскопки,1,56566,177
463,Святилище Голдринна - раскопки,1,56568,177
465,Роща Эссины - раскопки,1,56570,177
467,Святилище Малорна - раскопки,1,56572,177
469,Выжженная равнина - раскопки,1,56574,177
471,Сады Кель'Дормир - раскопки,0,56576,177
473,Нар'шола (центральный ярус) - раскопки,0,56578,177
475,Гряда Бейл'аран - раскопки,0,56580,177
477,Развалины Дунвальда - раскопки,0,56583,177
479,Руины Громтара - раскопки,0,56585,177
481,Пожарище Гумбольдта - раскопки,0,56587,177
485,Гробница Хартута - раскопки,1,56591,177
487,Гробницы Предтеч - раскопки,1,56593,177
489,Шаги Судьбы - раскопки,1,56595,177
491,Неферсет - раскопки,1,56597,177
493,Орсис - раскопки,1,56599,177
495,Руины Аммона - раскопки,1,56601,177
497,Руины Кинтасета - раскопки,1,56603,177
499,Храм Ульдума - раскопки,1,56605,177
501,Руины Атмула - раскопки,1,56607,177
570,Дельта Вир'наала - раскопки,1,60350,177
572,Проклятый лагерь - раскопки,1,60352,177
574,Тропа Кесета - раскопки,1,60354,177
576,Поля Акхенет - раскопки,1,60356,177
578,Обелиск Звезд - раскопки,1,60358,177
581,Пустоши Сакет - раскопки,1,60361,177
583,Лагерь Шнотца,1,60363,177
587,Яма чудовищ - раскопки,571,60367,177
589,Пески Назама,571,60369,177
615,Туннель Ужаса - раскопки,0,60442,177
617,Чумной лес - раскопки,0,60444,177
918,Тигриный лес - раскопки,870,66767,177
923,Чунь Тянь - раскопки,870,66784,177
928,Святилище Рассвета - раскопки,870,66789,177
934,Руины Гань Ши - раскопки,870,66795,177
936,Знамение Императора - раскопки,870,66817,177
938,Дендрарий - раскопки,870,66854,177
941,Громовой лес - раскопки,870,66890,177
949,Mogu TEMPLATE Digsite,870,66911,177
951,Pandaren TEMPLATE Digsite,870,66913,177
955,Поющие болота - раскопки,870,66917,177
957,Северная часть Великой Стены - раскопки,870,66919,177
961,Южная часть Великой Стены - раскопки,870,66923,177
963,Тораджарская яма - раскопки,870,66925,177
967,Весенняя тропа - раскопки,870,66929,177
971,Лощина Паоцюань - раскопки,870,66933,177
973,Северные Урожайные поля - раскопки,870,66935,177
977,Южные Урожайные поля - раскопки,870,66939,177
979,Пруды Чистоты - раскопки,870,66941,177
981,Деревня Поющего Водопада - раскопки,870,66943,177
983,Руины Корцзя - раскопки,870,66945,177
987,Красарангские джунгли - раскопки,870,66949,177
989,Забытая династия - раскопки,870,66951,177
995,Северная часть храма Красного Журавля,870,66957,177
999,Провинция Чжу - раскопки,870,66961,177
1003,Долина Королей - раскопки,870,66965,177
1005,Ворота в Золотую долину - раскопки,870,66967,177
1007,Заснеженные холмы - раскопки,870,66969,177
1009,Восточные заснеженные холмы - раскопки,870,66971,177
1011,Далекая деревня - раскопки,870,66973,177
1015,Разрушенная деревня - раскопки,870,66979,177
1017,Старая деревня - раскопки,870,66983,177
1019,Ранчо Ворчелапов - раскопки,870,66985,177
1021,Ферма Чоу - раскопки,870,66987,177
1023,Западная часть старой деревни - раскопки,870,66989,177
1025,Малые ворота - раскопки,870,66991,177
1029,Вершина Кунь-Лай - раскопки,870,67005,177
1033,Сердце леса - раскопки,870,67021,177
1035,Гонг Надежды - раскопки,870,67023,177
1037,Великий мост - раскопки,870,67025,177
1039,Сад - раскопки,870,67027,177
1043,Земли Нефритового храма - раскопки,870,67031,177
1045,Южная часть сада - раскопки,870,67033,177
1047,Логово Печали - раскопки,870,67035,177
1049,Долина у святилища - раскопки,870,67037,177
1051,Зеленая роща - раскопки,870,67039,177
1284,Гарнизон Заходящего Солнца - раскопки,870,92020,177
1286,Деревня Туманного Водопада - раскопки,870,92022,177
1288,Пять Сестер - раскопки,870,92026,177
1292,Северные руины Го-Лай - раскопки,870,92030,177
1294,Южные руины Го-Лай - раскопки,870,92032,177
1300,Кладбище Ту-Шэнь - раскопки,870,92038,177
1308,Западные руины Го-Лай - раскопки,870,92046,177
1316,Опушка Зимней Ветви - раскопки,870,92150,177
1318,Императорский проход - раскопки,870,92156,177
1322,Северные летние поля - раскопки,870,92162,177
1326,Западные летние поля - раскопки,870,92166,177
1332,Шра'тик - раскопки,870,92172,177
1334,Храм Нюцзао - раскопки,870,92174,177
1338,Огненный лагерь осулов - раскопки,870,92178,177
1340,Хватка Ненависти - раскопки,870,92180,177
1342,Шань'цзэ Дао - раскопки,870,92196,177
1346,Озеро Звезд - раскопки,870,92200,177
1348,Терраса Гуртан - раскопки,870,92202,177
1352,Кривое дерево - раскопки,870,92206,177
1356,Южные руины Доцзян - раскопки,870,92210,177
1358,Северные руины Доцзян- раскопки,870,92212,177
1463,Кор'весс - раскопки,870,177485,177
1465,Роильня шра'тиков - раскопки,870,177487,177
1467,Западный Шра'весс - раскопки,870,177489,177
1469,Кормовые ямы - раскопки,870,177491,177
1471,Военный лагерь Кззок - раскопки,870,177493,177
1473,Западный Шра'весс - раскопки,870,177495,177
1475,Подветвь - раскопки,870,177497,177
1479,Взгорье Икз'ка - раскопки,870,177501,177
1481,Сик'весс - раскопки,870,177503,177
1483,Западный Сик'весс - раскопки,870,177505,177
1485,Северный Сик'весс - раскопки,870,177507,177
1487,Владения Шек'зир - раскопки,870,177509,177
1489,Кипари Ик - раскопки,870,177511,177
1491,Зан'весс - раскопки,870,177513,177
1493,Ядовитая гряда - раскопки,870,177515,177
1495,Янтарные копи - раскопки,870,177517,177
1497,Соленая отмель - раскопки,870,177519,177
1501,Кипари Зар - раскопки,870,177523,177
1503,Озеро Звезд - раскопки,870,177525,177
1507,Кипари Вор - раскопки,870,177529,177
1681,Замерзшее озеро - раскопки,1116,264223,177
1683,Хребет Вор'гол - раскопки,1116,264225,177
