Name_lang,ID,UiTextureKitID,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationID,Flags,ArtifactCategoryID,UiModelSceneID,SpellVisualKitID
Ярость Дандора,1,207,-11776,-382936,-2816,0,0,1,0,0
Испепелитель,2,207,-11776,16765504,4006400,70,0,1,28,82183
Парные клинки Искусителя,3,206,-2200833,16122111,8650889,577,0,1,23,82147
"Алунет, великий посох Магны",4,208,-1267719,6343151,8615067,62,0,1,26,82174
Панцирь Хранителя Земли,11,215,-44766,11010048,3276800,73,0,1,20,82029
Клинки падшего принца,12,214,-3804673,9152481,1447762,251,0,1,22,82144
"Г'ханир, Изначальное Древо",13,217,-2031755,-5579161,-16291053,105,0,1,24,82149
Проклятый Пожиратель,15,214,-3804673,-1494733,-12778752,250,0,1,22,82144
Апокалипсис,16,214,-3804673,-12517523,-16761586,252,0,1,22,82144
Клыки Пожирателя,17,216,-45544,-1278118,-6935508,261,0,1,21,82029
"Хищный Коготь, копье Диких Богов",34,226,-2031755,-13053570,-16760525,255,0,1,46,82153
Боевые мечи валарьяров,35,215,-44766,11010048,3276800,72,0,1,20,82029
"Стром'кар, Миротворец",36,215,-44766,11010048,3276800,71,0,1,20,82029
Череп Ман'ари,37,229,-4163342,-11204234,-16121829,266,2,1,32,82197
Скипетр Саргераса,38,229,-4163342,-7319653,-13500291,267,0,1,32,82197
"Ултхалеш, Жнец Мертвого Ветра",39,229,-4163342,-6665828,-11199626,265,0,1,32,82197
Кулак Ра-дена,40,225,-9057793,-11808266,-16711616,262,0,1,31,82193
Молот Рока,41,225,-9057793,-11806981,-13022058,263,2,1,31,82193
"Шарас'дал, Скипетр Приливов",42,225,-9057793,-16473972,-16753298,264,0,1,31,82193
Убийцы Королей,43,216,-45544,-2522525,-9889768,259,0,1,21,82029
Клинки Ужаса,44,216,-45544,-1589760,0,260,0,1,21,82029
"Т'ууре, Светоч наару",45,227,-8851726,-9699335,-16766881,257,0,1,29,82184
Ярость Света,46,227,-8851726,-10424321,-16739937,256,0,1,29,82184
"Ксал'атат, клинок Темной Империи",47,241,-4163342,-7580513,-11986828,258,2,1,30,82190
Серебряная Длань,48,207,-11776,16765504,4006400,65,0,1,28,82183
Страж Истины,49,207,-11776,16765504,4006400,66,0,1,28,82183
Кулаки Небес,50,228,-9044026,-12779585,-15226471,269,0,1,27,82181
"Шей-лун, Посох Туманов",51,228,-9044026,-11733812,-16755897,270,0,1,27,82181
"Фу Цань, Спутник Странников",52,228,-9044026,-12452628,-16083317,268,0,1,27,82181
"Полярная Ночь, великий посох Алоди",53,208,-1267719,6343151,8615067,64,0,1,26,82174
Фело'мелорн,54,208,-1267719,-1065376,-6281667,63,2,1,26,82174
"Тас'дора, наследие Ветрокрылых",55,226,-2031755,-526230,-12430833,254,0,1,46,82153
Мощь Титанов,56,226,-2031755,-143103,0,253,0,1,46,82153
Когти Урсока,57,217,-2031755,-5579161,-16291053,104,0,1,24,82149
Клыки Пеплошкурой,58,217,-2031755,-5579161,-16291053,103,0,1,24,82149
Коса Элуны,59,217,-2031755,-5579161,-16291053,102,0,1,24,82149
Альдрахийские боевые клинки,60,206,-2200833,16122111,8650889,581,0,1,23,82147
Удочка Темносвета,73,227,-1,-10976565,-16772353,0,0,2,0,0
Дубовый вершитель,74,207,-11776,16765504,4006400,70,0,1,0,0
Test Artifact 2,80,207,-11776,16765504,4006400,70,0,1,18,23596
Test Artifact,81,207,-11776,16765504,4006400,65,0,1,0,0
Test Artifact 3,82,207,-11776,16765504,4006400,66,0,1,0,0
Owen Test Artifact,89,0,-16777216,-1732055,0,0,0,1,0,0
Орудия правосудия,194,227,-4207580,-1645248,-1890009,0,0,2,0,0
Крылья войны,195,227,-4207580,-1645248,-1890009,0,0,2,0,0
Защитники Бастиона,196,227,-4207580,-1645248,-1890009,0,0,2,0,0
Передовой авангард,197,227,-4207580,-1645248,-1890009,0,0,2,0,0
Праведное возмездие,198,227,-4207580,-1645248,-1890009,0,0,2,0,0
Кредо Ревендрета,199,214,-3804673,-1494733,-12778752,0,0,2,0,0
Кредо Ревендрета,200,214,-3804673,-1494733,-12778752,0,0,2,0,0
Кредо Ревендрета,201,214,-3804673,-1494733,-12778752,0,0,2,0,0
Кредо Ревендрета,202,214,-3804673,-1494733,-12778752,0,0,2,0,0
Кредо Ревендрета,203,214,-3804673,-1494733,-12778752,0,0,2,0,0
Система талантов 1,205,214,-3804673,-1494733,0,0,0,2,0,0
Система талантов 2,223,214,-3804673,-1494733,0,0,0,2,0,0
Система талантов 3,225,214,-3804673,-1494733,0,0,0,2,0,0
"Стром'кар, Миротворец",234,215,-44766,11010048,3276800,71,0,1,20,82029
