ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Field_12_0_0_64124_003
3,Test for new modified crafting currency tech,903,3743,0
4,Устанавливает уровень предмета в зависимости от качества (от 220 до 233).,902,5883,0
5,Устанавливает уровень предмета в зависимости от качества (от 233 до 246).,902,5880,0
6,Устанавливает уровень предмета в зависимости от качества (от 246 до 259).,900,5102,0
7,Устанавливает уровень предмета в зависимости от качества (от 259 до 272).,901,5881,0
8,Устанавливает уровень предмета в зависимости от качества (от 272 до 285).,901,5882,0
9,Устанавливает уровень предмета в зависимости от качества (от 305 до 318).,911,6087,0
10,Устанавливает уровень предмета в зависимости от качества (от 318 до 331).,911,6088,0
11,Устанавливает уровень предмета в зависимости от качества (от 266 до 279).,902,6110,0
12,Устанавливает уровень предмета в зависимости от качества (от 279 до 292).,902,6111,0
