ID,Name_lang,Description_lang,OrderIndex,Flags,Field_12_0_5_66330_004
1,Задания,Поиск по названиям заданий...,0,84,0
2,Подземелья,Поиск по уровню ключа и подземельям...,2,288,0
3,Рейды,"Поиск по рейдам, боссам, уровням сложности...",4,289,0
4,Арены,,0,288,0
5,Сценарии,,3,256,0
6,Другое,,10,66,0
7,Стычки на арене,,1,64,0
8,Поля боя,,2,66,0
9,Рейтинговые поля боя,,3,290,0
111,Островные экспедиции,,1,320,5703
113,Торгаст,Поиск по уровням и секциям...,1,384,5703
121,Вылазки,Поиск по вылазкам и уровням...,1,384,0
