ID,Name_lang,InstanceType,OrderIndex,OldEnumValue,FallbackDifficultyID,MinPlayers,MaxPlayers,Flags,ItemContext,ToggleDifficultyID,GroupSizeHealthCurveID,GroupSizeDmgCurveID,GroupSizeSpellPointsCurveID,Field_11_0_5_56487_013
1,Обычный,1,1,0,0,5,5,4,1,0,0,0,0,0
2,Героический,1,2,1,1,5,5,5,2,0,0,0,0,0
3,10 игроков,2,1,0,0,10,10,38,4,5,0,0,0,0
4,25 игроков,2,3,1,0,25,25,36,5,6,0,0,0,0
5,10 игроков (героич.),2,2,2,3,10,10,37,3,3,0,0,0,0
6,25 игроков (героич.),2,4,3,4,25,25,37,6,4,0,0,0,0
7,Поиск рейда,2,5,4,4,25,25,16,83,0,0,0,0,0
8,Эпохальный ключ,1,5,-1,23,5,5,1,16,0,0,0,0,0
9,40 игроков,2,7,-1,0,40,40,36,3,0,0,0,0,0
11,Сценарий героического уровня сложности,5,2,-1,12,3,3,1,10,0,0,0,0,0
12,Сценарий обычного уровня сложности,5,1,-1,0,5,5,2,9,0,0,0,0,0
14,Обычный,2,3,-1,0,10,30,6,3,0,0,0,0,0
15,Героический,2,4,-1,14,10,30,68,5,0,0,0,0,0
16,Эпохальный,2,5,-1,15,20,20,133,6,0,0,0,0,0
17,Поиск рейда,2,6,-1,14,10,30,16,4,0,0,0,0,0
18,Событие,2,4,-1,0,40,40,16,0,0,0,0,0,0
19,Событие,1,4,-1,0,5,5,16,0,0,0,0,0,0
20,Event Scenario,5,3,-1,0,25,25,0,0,0,0,0,0,0
23,Эпохальный,1,3,-1,2,5,5,133,23,0,0,0,0,0
24,Путешествие во времени,1,6,-1,2,5,5,512,22,0,0,0,0,0
25,Локальный сценарий PvP,5,4,-1,0,0,40,16,0,0,0,0,0,0
29,Сценарий PvEvP,3,5,-1,0,0,5,16,0,0,0,0,0,0
30,Событие,5,7,-1,0,6,6,0,9,0,0,0,0,0
32,Локальный сценарий PvP,5,4,-1,0,0,40,16,0,0,0,0,0,0
33,Путешествие во времени,2,7,-1,14,10,30,528,22,0,0,0,0,0
34,PvP,3,7,-1,0,5,5,0,7,0,0,0,0,0
38,Обычный,5,1,0,0,1,3,22,0,0,0,0,0,0
39,Героический,5,2,1,38,1,3,84,0,0,0,0,0,0
40,Эпохальный,5,3,-1,39,1,3,148,0,0,0,0,0,0
45,PvP,5,3,-1,39,1,3,340,0,0,0,0,0,0
147,Обычный,5,1,-1,0,5,5,18,9,0,0,0,0,0
149,Героический,5,2,-1,0,10,30,80,10,0,0,0,0,0
150,Сложность в обычном режиме (1-5),1,1,-1,0,1,5,2,1,0,0,0,0,0
151,Поиск рейда,2,6,-1,17,10,30,16,4,0,0,0,0,0
152,Видения Н'Зота,5,1,-1,0,1,5,18,9,0,0,0,0,0
153,Остров Кишащий,5,8,-1,39,10,10,340,0,0,0,0,0,0
167,Торгаст,5,1,-1,0,1,5,18,9,0,0,0,0,0
168,Путь Перерождения: Отвага,5,7,-1,0,1,1,0,0,0,0,0,0,0
169,Путь Перерождения: Верность,5,7,-1,0,1,1,0,0,0,0,0,0,0
170,Путь Перерождения: Мудрость,5,7,-1,0,1,1,0,0,0,0,0,0,0
171,Путь Перерождения: Смирение,5,7,-1,0,1,1,0,0,0,0,0,0,0
172,Босс вне подземелья,0,7,-1,0,1,40,4,81,0,0,0,0,0
192,Испытание 1-го уровня,0,8,-1,0,1,40,4,25,0,0,0,0,0
205,Соратник,1,7,-1,1,5,5,0,1,0,0,0,0,0
208,Вылазки,5,1,-1,0,1,5,2,9,0,0,0,0,0
216,Задание,1,8,-1,1,5,5,0,1,0,0,0,0,0
220,Сюжет,2,9,-1,0,10,10,0,0,0,0,0,0,0
230,Героический,0,9,-1,0,1,1,582,0,0,0,0,0,0
232,Событие,1,4,-1,0,5,5,16,0,0,0,0,0,0
