ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
2,,,0,2,17,1,16091,16092,16093,0,0,0,3,5,-1,0
3,,,0,2,0,2,439,7321,10344,0,0,0,3,5,-1,0
30,,Скоро прибудет груз с очень вкусной рыбой!,51,2,0,0,15020,0,0,0,0,0,5,5,-1,0
31,"Производит алхимические катализаторы.

Вы сможете отслеживать ход работ по отчетам из гарнизона.

Как только здание достигнет 2-го уровня, вы сможете воспользоваться столом архитектора, чтобы разместить здесь соратника для увеличения размера выработки.",Алхимический катализатор,43,2,16,1,16091,16092,22545,0,0,0,14,21,1,57
32,"Производит мясо, кожу или меха в зависимости от вида пойманного зверя.

Как только здание достигнет 2-го уровня, вы сможете воспользоваться столом архитектора, чтобы разместить здесь соратника для увеличения размера выработки.",Заказ из хлева,51,2,3,1,17819,14563,16155,0,0,0,14,21,-1,0
36,"Товары из древесины, добытой на Дреноре.

В отчете из гарнизона вы сможете отслеживать ход работ. 

Вернитесь за заказом, когда он будет готов.",Заказ с лесопилки,54,2,4,1,16091,16092,19906,0,0,0,14,21,-1,0
37,"Производит волшебную ткань.

Вы сможете отслеживать ход работ по отчетам из гарнизона.

Как только здание достигнет 2-го уровня, вы сможете воспользоваться столом архитектора, чтобы разместить здесь соратника для увеличения размера выработки.",Отрез волшебной ткани,52,2,23,1,16091,16092,22545,0,0,0,14,21,1,64
49,"Производит слитки истинной стали.

Вы сможете отслеживать ход работ по отчетам из гарнизона.

Как только здание достигнет 2-го уровня, вы сможете воспользоваться столом архитектора, чтобы разместить здесь соратника для увеличения размера выработки.",Слиток истинной стали,42,2,17,1,16091,16092,22545,0,0,0,14,21,1,58
50,"Производит блестящую кожу.

Вы сможете отслеживать ход работ по отчетам из гарнизона.

Как только здание достигнет 2-го уровня, вы сможете воспользоваться столом архитектора, чтобы разместить здесь соратника для увеличения размера выработки.",Блестящая кожа,49,2,22,1,16091,16092,22545,0,0,0,14,21,1,63
51,"Производит таладитовые кристаллы.

Вы сможете отслеживать ход работ по отчетам из гарнизона.

Как только здание достигнет 2-го уровня, вы сможете воспользоваться столом архитектора, чтобы разместить здесь соратника для увеличения размера выработки.",Таладитовый кристалл,46,2,21,1,16091,16092,22545,0,0,0,14,21,1,62
