ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,[m]Яростный[f]Яростная[n]Яростное,[m]раскол,Обитель,2
2,[m]Жаркий[f]Жаркая[n]Жаркое,[f]пустыня,Остров,2
3,[m]Железный[f]Железная[n]Железное,[f]могила,Расселина,2
4,[m]Глубинный[f]Глубинная[n]Глубинное,[m]омут,Холм,2
5,[m]Темный[f]Темная[n]Темное,[n]углубление,Теснина,2
6,[m]Каменный[f]Каменная[n]Каменное,[n]пламя,Лощина,2
19,[m]Радостный[f]Радостная[n]Радостное,[m]поток,Долина,1
55,[m]Пробный[f]Пробная[n]Пробное,[n]тестирование,Район,4
61,[m]Сонный[f]Сонная[n]Сонное,[m]очаг,Виноградник,1
62,[m]Священный[f]Священная[n]Священное,[m]лев,Остров,1
63,[m]Синий[f]Синяя[n]Синее,[f]волна,Островок,1
64,[m]Прохладный[f]Прохладная[n]Прохладное,[m]туман,Порт,1
65,[m]Тихий[f]Тихая[n]Тихое,[m]ветер,Убежище,1
66,[m]Золотой[f]Золотая[n]Золотое,[m]свет,Святилище,1
67,[m]Спокойный[f]Спокойная[n]Спокойное,[m]океан,Мыс,1
68,[m]Великий[f]Великая[n]Великое,[n]море,Обитель,1
69,[m]Вялый[f]Вялая[n]Вялое,[m]парус,Деревня,1
70,[m]Соленый[f]Соленая[n]Соленое,[f]жатва,Холм,1
71,[m]Первый[f]Первая[n]Первое,[m]флаг,Площадка,1
72,[m]Изумрудный[f]Изумрудная[n]Изумрудное,[n]благословение,Анклав,1
73,[m]Старый[f]Старая[n]Старое,[m]дуб,Гавань,1
74,[m]Новый[f]Новая[n]Новое,[n]странствие,Застава,1
75,[m]Печальный[f]Печальная[n]Печальное,[m]мрак,Селение,1
76,[m]Обещанный[f]Обещанная[n]Обещанное,[m]причал,Порт,1
77,[m]Чистый[f]Чистая[n]Чистое,[n]небо,Графство,1
78,[m]Бледный[f]Бледная[n]Бледное,[m]песок,Отмель,1
81,[m]Засохший[f]Засохшая[n]Засохшее,[m]цветок,Бухта,2
82,[m]Мистический[f]Мистическая[n]Мистическое,[f]гора,Островок,2
83,[m]Опаленный[f]Опаленная[n]Опаленное,[m]песок,Убежище,2
84,[m]Яркий[f]Яркая[n]Яркое,[n]солнце,Бастион,2
86,[m]Треснувший[f]Треснувшая[n]Треснувшее,[f]скала,Шпиль,2
87,[m]Багряный[f]Багряная[n]Багряное,[m]боров,Гребень,2
88,[m]Высокий[f]Высокая[n]Высокое,[n]лето,Сады,2
89,[m]Земляной[f]Земляная[n]Земляное,[m]хребет,Изобилие,2
90,[m]Стремительный[f]Стремительная[n]Стремительное,[m]пилигрим,Пристанище,2
91,[m]Свободный[f]Свободная[n]Свободное,[f]удача,Коммуна,2
92,[m]Хрупкий[f]Хрупкая[n]Хрупкое,[m]клык,Оазис,2
93,[m]Скорбный[f]Скорбная[n]Скорбное,[m]изгнанник,Скала,2
94,[m]Острый[f]Острая[n]Острое,[m]камень,Поселение,2
