Name_lang,ID,Parent,Ui_order
Статистика,1,-1,16
PvP,21,1,10
Великие подвиги,81,-1,13
Персонажи,92,-1,1
PvP,95,-1,5
Задания,96,-1,2
Исследование,97,-1,3
Смерти,122,1,3
Победы,128,1,2
Персонаж,130,1,1
Общение,131,1,7
Навыки,132,1,5
Задания,133,1,4
Путешествия,134,1,6
Существа,135,128,1
Почетные победы,136,128,2
Смертельные удары,137,128,3
Доходы,140,130,1
Расход. предметы,145,130,2
Рейтинговые арены,152,21,1
Поле боя,153,21,2
Мир,154,21,3
Игровые события,155,-1,9
Зимний Покров,156,155,9
Тыквовин,158,155,7
Сад чудес,159,155,3
Лунный фестиваль,160,155,1
Огненный солнцеворот,161,155,5
Хмельной фестиваль,162,155,6
Детская неделя,163,155,4
Арена,165,95,17
Подземелья и рейды,168,-1,6
Профессии,169,-1,7
Кулинария,170,169,12
Рыбная ловля,171,169,13
Профессии,172,15234,6
Профессии,173,132,2
Вспомогательные навыки,178,132,1
Любовная лихорадка,187,155,2
Репутация,201,-1,8
Восточные королевства,14777,97,1
Калимдор,14778,97,2
Запределье,14779,97,3
Нордскол,14780,97,4
Альтеракская долина,14801,95,5
Низина Арати,14802,95,3
Око Бури,14803,95,4
Ущелье Песни Войны,14804,95,2
The Burning Crusade,14805,168,2
Подземелья Lich King,14806,168,3
Подземелья и рейды,14807,1,9
World of Warcraft,14808,168,1
World of Warcraft,14821,14807,1
The Burning Crusade,14822,14807,2
Wrath of the Lich King,14823,14807,3
Восточные королевства,14861,96,1
Запределье,14862,96,3
Нордскол,14863,96,4
World of Warcraft,14864,201,1
The Burning Crusade,14865,201,2
Wrath of the Lich King,14866,201,3
Озеро Ледяных Оков,14901,95,8
Рейды Lich King,14922,168,4
Серебряный турнир,14941,15301,1
Пиршество странников,14981,155,8
Остров Завоеваний,15003,95,7
Подземелья Cataclysm,15067,168,5
Рейды Cataclysm,15068,168,6
Cataclysm,15069,97,5
Cataclysm,15070,96,5
Археология,15071,169,14
Cataclysm,15072,201,4
Битва за Гилнеас,15073,95,9
Два Пика,15074,95,10
Тол Барад,15075,15301,2
Гильдия,15076,-1,15
Задания,15077,15076,2
PvP,15078,15076,3
Подземелья и рейды,15079,15076,4
Профессии,15080,15076,5
Калимдор,15081,96,2
World of Warcraft,15082,15079,1
Подземелья Cataclysm,15083,15079,5
The Burning Crusade,15084,15079,2
Подземелья Lich King,15085,15079,3
Рейды Lich King,15086,15079,4
Рейды Cataclysm,15087,15079,6
Общее,15088,15076,1
Репутация,15089,15076,6
Поле боя,15090,15078,1
Арена,15091,15078,2
Рейтинговое поле боя,15092,95,16
Великие подвиги гильдии,15093,15076,7
Cataclysm,15096,14807,4
Ярмарка Новолуния,15101,155,10
Подземелья Pandaria,15106,168,7
Рейды Pandaria,15107,168,8
Пандария,15110,96,6
Пандария,15113,97,6
Mists of Pandaria,15114,201,5
Битвы питомцев,15117,-1,10
Коллекции,15118,15117,1
Бой,15119,15117,2
Уровень,15120,15117,3
Подземелья Pandaria,15153,15079,7
Рейды Pandaria,15154,15079,8
Сверкающие копи,15162,95,11
Храм Котмогу,15163,95,12
Mists of Pandaria,15164,14807,5
Наследие,15176,1,13
Каньон Суровых Ветров,15218,95,14
Битвы питомцев,15219,1,11
Дренор,15220,96,7
Арена испытаний,15222,15301,4
Арена испытаний,15227,1,12
Подземелья Draenor,15228,168,9
Рейды Draenor,15231,168,10
Дренор,15232,201,6
Warlords of Draenor,15233,14807,6
Наследие,15234,-1,14
Дренор,15235,97,7
Подземелья Draenor,15243,15079,9
Рейды Draenor,15244,15079,10
Коллекции,15246,-1,11
Игрушки,15247,15246,1
Транспорт,15248,15246,2
Legion,15252,96,8
Подземелья Legion,15254,168,11
Рейды Legion,15255,168,12
Legion,15257,97,8
Legion,15258,201,7
Модели,15259,15246,3
Подземелья Legion,15262,15079,11
Рейды Legion,15263,15079,12
Legion,15264,14807,7
Честь,15266,95,1
Промоакции,15268,81,8
Средства передвижения,15269,81,1
PvP,15270,81,5
Рейды,15271,81,4
Подземелья,15272,81,3
Репутация,15273,81,6
События,15274,81,7
Подземелья,15277,15234,4
Рейды,15278,15234,5
PvP,15279,15234,3
Валюта,15280,15234,7
Мир,15283,95,18
Battle for Azeroth,15284,96,9
Подземелья Azeroth,15285,168,13
Рейды Azeroth,15286,168,14
Бурлящий берег,15292,95,13
Battle for Azeroth,15298,97,9
Подземелья Azeroth,15299,15079,13
Рейды Azeroth,15300,15079,14
Особый контент,15301,-1,12
