Name_lang,Description_lang,ID,FiledataID
Переполняющий,Избыточное исцеление вместо этого конвертируется в эффект поглощения исцеления.,1,463570
Упрямый,"Противники в значительной степени игнорируют объем угрозы, создаваемой танками.",2,135994
Вулканический,"Под ногами игроков, ведущих бой с противником на дальней дистанции, из-под земли периодически вырываются струи огня.",3,451169
Некротический,"Все атаки противника в ближнем бою накладывают на цели суммирующийся эффект гнили, который наносит периодический урон и уменьшает получаемое исцеление.",4,1029009
Кишащий,"В подземелье присутствуют дополнительные противники, не являющиеся боссами.",5,136054
Разъяренный,"Все противники, кроме боссов, впадают в ярость, когда у них остается менее 30% здоровья, и получают временную невосприимчивость к эффектам контроля.",6,132345
Усиливающий,"Все противники, кроме боссов, в момент гибели издают последний клич, временно увеличивая наносимый урон окружающих союзников на 20%.",7,132333
Кровавый,"Все противники, не являющиеся боссами, после гибели оставляют за собой лужу крови, которая лечит их союзников и наносит урон игрокам.",8,136124
Тиранический,У противников-боссов на 25% больше здоровья. Боссы и их прислужники получают прибавку к урону вплоть до 15%.,9,236401
Укрепленный,"У противников, не являющихся боссами, на 20% больше здоровья. Они наносят на 20% больше урона.",10,463829
Взрывной,"Все противники, не являющиеся боссами, умирая, взрываются и наносят игрокам периодический урон в течение 4 сек. Этот эффект суммируется.",11,1035055
Мучительный,"Раненые игроки получают нарастающий периодический урон, пока не будут исцелены.",12,132090
Взрывоопасный,"В бою противники периодически призывают взрывоопасные сферы, которые детонируют, если их вовремя не уничтожить.",13,2175503
Сотрясающий,"Периодически все игроки излучают ударные волны, нанося урон находящимся рядом союзникам и прерывая применяемые ими способности.",14,136025
Зараженный,"Некоторые противники, не являющиеся боссами, заражены порождениями Г'ууна.",16,2032223
Пожинающий,"Противники, не являющиеся боссами, усилены Бвонсамди и способны мстить даже после смерти.",117,2446016
Манящий,В подземелье присутствуют посланники Азшары.,119,237565
Пробудившийся,"В подземелье находятся обелиски, позволяющие игрокам войти в Ни'алоту и сразиться с могучими прислужниками Н'Зота. Оставшиеся в живых прислужники будут помогать боссу в финальном сражении.",120,442737
Полный гордыни,"Побеждая не являющихся боссами противников, игроки переполняются гордыней, пока рядом с ними не появляется воплощение гордыни. Победив воплощение, игроки получают мощное усиление.",121,3528307
Воодушевляющий,Некоторые не являющиеся боссами противники вдохновляют своим присутствием других врагов.,122,135946
Злопамятный,Зловещие тени восстают из трупов не являющихся боссами противников и преследуют случайных игроков.,123,135945
Бушующий,"Во время боя противники время от времени призывают вихри, наносящие урон.",124,136018
Истязание,"В разных частях подземелья находятся слуги Тюремщика, за победу над которыми можно получить мощные усиления. Каждый непобежденный слуга Тюремщика усилит финального босса.",128,3528304
Инфернал,Инфернальные маяки можно найти рядом с некоторыми боссами. При активации маяка или после начала битвы с боссом происходит вторжение Легиона.,129,1394959
Зашифрованный,"Противники в подземелье завладели реликвиями Предвечных. Уничтожьте эти реликвии, чтобы призвать автомов и получить мощное усиление. Порядок уничтожения влияет на то, какое усиление вы получите.",130,4038106
Маскировка,Лазутчики натрезимов прячутся среди противников по всему подземелью. Картель Та достойно вознаградит вас за их поимку.,131,136177
Рокочущий,"Запас здоровья противников увеличивается на 5%. В бою игроков иногда наполняет стихийная сила неукротимой бури Рашагет. Эта мощь таит в себе великую опасность: если не высвободить заряд вовремя, последствия будут оглушительны.",132,1385910
Сосредоточенный,"Скорость противников, не являющихся боссами и обладающих запасом маны, повышается на 30%, но при этом они получают на 10% больше урона от магии льда и от огня.",133,458224
Оплетающий,"В бою время от времени появляются лианы, которые оплетают и замедляют игроков.",134,134412
Изнемогающий,"В бою время от времени появляются изнемогающие души, которые ищут у игроков помощи.",135,0
Бесплотный,"В бою время от времени появляются бестелесные духи, которые пытаются ослабить игроков.",136,298642
Щит,"В бою противники периодически призывают щитовые сферы, которые защищают ближайших врагов, если их вовремя не уничтожить.",137,535593
Шипованный,"Противники, не являющиеся боссами и не обладающие запасом маны, наносят физический урон тому, кто их атакует, но при этом получают на 10% больше урона от светлой и темной магии.",144,1418495
Безрассудный,"Противники, не являющиеся боссами и не обладающие запасом маны, при атаке игнорируют 20% брони, но при этом их показатель брони уменьшается на 30%, а получаемый урон от тайной магии увеличивается на 10%.",145,132363
Настроенный,"Противники, не являющиеся боссами и обладающие запасом маны, наносят на 20% больше магического урона, но при этом получают на 10% больше урона от сил природы и на 30% больше урона от эффектов кровотечения.",146,1391778
Вероломство Ксал'атат,"Ксал'атат предает игроков и отменяет сделку, после чего каждая смерть отнимает 15 сек. от оставшегося времени.",147,1723989
Сделка с Ксал'атат: вознесение,"Во время боя Ксал'атат вызывает дождь из сфер космической энергии, которые усиливают противников или игроков.",148,5976939
Рискованная ставка,"Время продлевается на 90 секунд, но смерть отнимает 15 секунд.",152,1052642
Сделка с Ксал'атат: бешенство,"Противники, не являющиеся боссами, впадают в бешенство, когда их уровень здоровья достигает 30%. Бешенство повышает скорость на 40% и увеличивает получаемый урон на 20%.",153,136224
Сделка с Ксал'атат: слуга Бездны,"В бою Ксал'атат призывает посланницу Бездны, которая усиливает находящихся поблизости противников.",158,4913234
Сделка с Ксал'атат: забвение,"В бою Ксал'атат призывает из Бездны кристаллы, которые могут поглотить игроки и противники.",159,1386548
Сделка с Ксал'атат: пожирание,"Находясь в бою, Ксал'атат открывает разломы, поглощающие сущность игроков.",160,5927657
Сделка с Ксал'атат: пульсар,"Во время боя Ксал'атат призывает пульсары, вращающиеся вокруг игроков.",162,4914669
,,165,0
