Name_lang,Description_lang,ID,Pos[0],Pos[1],Pos[2],PortLocID,PlayerConditionID,UiTextureAtlasMemberID,Flags,WMOGroupID,PoiDataType,PoiData,Field_9_1_0_38783_011,ContinentID,AreaID,WorldStateID,Field_10_0_0_45141_012,UiWidgetSetID,UiTextureKitID,Field_9_1_0_38783_017,Importance,Icon
Старая Наковальня,,1,-6134.28,383.763,399.254,0,0,0,517,0,0,0,0,0,132,0,0,0,0,0,3,7
Брилл,,2,2249.85,278.414,34.1137,0,0,0,517,0,0,0,0,0,159,0,0,0,0,0,2,7
Темнолесье,,3,-10564.7,-1170.65,28.0505,0,0,0,517,0,0,0,0,0,10,0,0,0,0,0,3,0
Похоронный Звон,,4,1879.83,1588.2,90.172,0,0,0,517,0,0,0,0,0,154,0,0,0,0,0,3,7
Дун Альгаз,,5,-4191.02,-2373.14,205.151,0,0,0,517,0,0,0,0,0,836,0,0,0,0,0,3,7
Дун Модр,,6,-2610.26,-2350.56,81.5912,0,0,0,517,0,0,0,0,0,205,0,0,0,0,0,3,7
Златоземье,,7,-9480.09,63.5218,56.1757,0,0,0,517,0,0,0,0,0,87,0,0,0,0,0,3,7
Стальгорн,,8,-4798.776,-1107.4966,498.8072,0,0,0,541,0,0,0,0,0,1,0,0,0,0,0,3,46
Каранос,,9,-5585.95,-482.127,397.017,0,0,0,517,0,0,0,0,0,131,0,0,0,0,0,2,7
Приозерье,,10,-9227.69,-2201.47,63.9334,0,0,0,517,0,0,0,0,0,44,0,0,0,0,0,3,0
Гавань Менетилов,,11,-3672.7,-828.455,9.89915,0,0,0,525,0,0,0,0,0,11,0,0,0,0,0,3,5
Луноречье,,12,-11017.1,1510.17,43.1657,0,0,0,517,0,0,0,0,0,20,0,0,0,0,0,3,7
Аббатство Североземья,,13,-8896.16,-179.328,80.2909,0,0,0,517,0,0,0,0,0,24,0,0,0,0,0,3,7
Вороний Холм,,14,-10752.5,310.433,40.1628,0,0,0,517,0,0,0,0,0,94,0,0,0,0,0,3,7
Сторожевой холм,,15,-10503.7,1027.76,55.5831,0,0,0,517,0,0,0,0,0,40,0,0,0,0,0,3,0
Штормград,,16,-8678.426,729.6007,122.33388,0,0,0,541,0,0,0,0,0,12,0,0,0,0,0,3,46
Гробница,,17,508.073,1619.02,125.272,0,0,0,517,0,0,0,0,0,130,0,0,0,0,0,2,0
Подгород,,18,1594.3385,240.2882,-52.142963,0,62731,0,541,0,0,0,0,0,85,0,0,0,0,0,4,48
Телсамар,,19,-5349.27,-2959.91,323.627,0,0,0,517,0,0,0,0,0,38,0,0,0,0,0,3,0
Альянс,,20,-448.982,-1028.22,431.971,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0
Орда,,21,-669.134,-483.289,387.273,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0
Южнобережье,,22,-803.031,-531.727,15.9654,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,3,5
Мельница Таррен,,23,-27.0354,-900.562,55.9603,0,0,0,517,0,0,0,0,0,267,0,0,0,0,0,2,0
Опорный пункт,,24,-1251.05,-2526.81,20.7117,0,0,0,517,0,0,0,0,0,320,0,0,0,0,84,2,0
Павший Молот,,25,-991.57,-3528.34,56.5482,0,0,0,517,0,0,0,0,0,45,0,0,0,0,83,2,0
Каргат,,26,-6676.42,-2186.68,245.829,0,0,0,0,0,0,0,0,0,3,0,0,0,0,83,3,5
Крепость Ангор,,27,-6392.65,-3158,299.765,0,0,0,517,0,0,0,0,0,338,0,0,0,0,84,3,7
Деревня Кровавого Копыта,,28,-2323.92,-394.981,-9.12757,0,0,0,517,0,0,0,0,1,222,0,0,0,0,83,3,7
Громовой Утес,,29,-1205.41,29.4214,126.347,0,0,0,541,0,0,0,0,1,215,0,0,0,0,83,3,48
Лагерь Нараче,,30,-2906.49,-253.607,52.9407,0,0,0,517,0,0,0,0,1,221,0,0,0,0,83,3,7
Колючий Холм,,31,312.659,-4745.52,9.54726,0,0,0,517,0,0,0,0,1,362,0,0,0,0,83,3,7
Логово,,32,-604.098,-4202.92,38.7281,0,0,0,517,0,0,0,0,1,364,0,0,0,0,83,3,7
Оргриммар,,33,1381.77,-4371.16,26.0233,0,0,0,541,0,0,0,0,1,14,0,0,0,0,83,3,48
Деревня Сен'джин,,34,-819.492,-4918.24,19.3401,0,0,0,516,0,0,0,0,1,367,0,0,0,0,83,3,7
Перекресток,,35,-455.9,-2652.15,95.5865,0,0,0,517,0,0,0,0,1,17,0,0,0,0,83,3,0
Альдрассил,,36,10462.7,805.993,1312.66,0,0,0,517,0,0,0,0,1,188,0,0,0,0,84,3,5
Доланаар,,37,9787.99,949.897,1306.73,0,0,0,517,0,0,0,0,1,5481,0,0,0,0,84,3,7
Дарнас,,38,9951.75,2254.5,1335.42,0,68088,0,541,0,0,0,0,1,141,0,0,0,0,84,3,46
Кабестан,,39,-951.364,-3680.07,8.04018,0,0,0,525,0,0,0,0,1,392,0,0,0,0,0,3,5
Пиратская Бухта,,40,-14383.3,487.139,-29.5617,0,0,0,525,0,0,0,0,0,35,0,0,0,0,0,3,5
Лагерь Гром'гол,,41,-12378.4,185.734,3.05513,0,0,0,525,0,0,0,0,0,33,0,0,0,0,83,3,5
Астранаар,,42,2720.43,-382.391,107.09,0,0,0,517,0,0,0,0,1,331,0,0,0,0,84,3,0
Пик Каменного Когтя,,44,2658.78,1449.71,226.135,0,0,0,0,0,0,0,0,1,467,0,0,0,0,84,3,5
Таланаар,,45,-4510.03,-779.474,-41.5353,0,0,0,0,0,0,0,0,1,489,0,0,0,0,84,3,5
Застава Вольного Ветра,,46,-5454.07,-2445.5,90.1133,0,0,0,0,0,0,0,0,1,484,0,0,0,0,83,3,5
Зеркальное озеро,,227,-9389.26,458.427,38.2854,0,0,0,516,0,0,0,0,0,92,0,0,0,0,0,0,3
Кровавая низина,,247,861.216,-558.217,146.61,0,0,0,516,0,0,0,0,0,282,0,0,0,0,0,0,3
Теснина Сухоусов,,327,-1014.22,-3827.39,145.41,0,0,0,516,0,0,0,0,0,321,0,0,0,0,0,0,7
Приют у Солнечного Камня,,701,936.308,910.974,104.439,0,0,0,517,0,0,0,0,1,406,0,0,0,0,0,1,7
Храм Зин-Малор,,707,3549.15,-5359.12,204.102,0,0,0,516,0,0,0,0,1,1221,0,0,0,0,0,0,7
Гнездо Хетайры,,708,3556.64,-6232.79,44.0086,0,0,0,516,0,0,0,0,1,1227,0,0,0,0,0,0,7
Гробница Утера,,709,969.176,-1825.52,99.6067,0,0,0,516,0,0,0,0,0,197,0,0,0,0,0,0,7
Некроситет,,710,1262.19,-2579.41,126.37,0,0,0,516,0,0,0,0,0,2298,0,0,0,0,0,0,7
Застава Белого Плеса,,767,-4917.35,-1375.5,-52.3732,0,0,0,516,0,0,0,0,1,480,0,0,0,0,0,0,7
Каменор,,788,-10443.7,-3277.49,20.1782,0,0,0,517,0,0,0,0,0,8,0,0,0,0,0,1,7
Прибамбасск,,789,-7139.15,-3752.11,8.5398,0,0,0,517,0,0,0,0,1,440,0,0,0,0,0,3,0
Лагерь Мохаче,,790,-4394.98,215.611,25.4133,0,0,0,517,0,0,0,0,1,215,0,0,0,0,0,3,0
Остров Терамор,,791,-3680.17,-4388.51,10.5549,0,0,0,525,0,0,0,0,1,15,0,0,0,0,0,3,5
Заоблачный пик,,792,234.85,-2127.76,118.095,0,0,0,517,0,0,0,0,0,47,0,0,0,0,0,2,0
Круговзор,,794,6723.46,-4662.5,722.806,0,0,0,517,0,0,0,0,1,618,0,0,0,0,0,3,0
Деревня Ночных Охотников,,795,-1657.85,3097.92,30.4995,0,0,0,517,0,0,0,0,1,405,0,0,0,0,0,3,0
Крепость Оперенной Луны,,796,-4517.382,2240.9324,8.396892,0,0,0,517,0,0,0,0,1,357,0,0,0,0,0,3,0
Аубердин,,798,6439.33,411.951,10.8632,0,0,0,0,0,0,0,0,1,148,0,0,0,0,0,3,5
