ID,Name_lang,ResearchFieldID,CurrencyID,TextureFileID,BigTextureFileID,ItemID
1,Дворфы,1,384,461831,461832,52843
2,Дренеи,1,398,461829,461830,64394
3,Окаменелости,1,393,461833,461834,0
4,Ночные эльфы,1,394,461837,461838,63127
5,Нерубы,1,400,461835,461836,64396
6,Орки,1,397,462321,462322,64392
7,Тол'виры,1,401,461839,461840,64397
8,Тролли,1,385,461841,461842,63128
27,Врайкулы,1,399,461843,461844,64395
29,Богомолы,1,754,839111,839112,95373
229,Пандарены,1,676,633002,633003,79868
231,Могу,1,677,633000,633001,79869
315,Араккоа,1,829,1030616,1030821,109585
350,Дренорские кланы,1,821,1030617,1030822,108439
382,Огры,1,828,1030618,1030823,109584
404,Высокорожденные,1,1172,1445575,1445576,130903
406,Таурены Крутогорья,1,1173,1445577,1445578,130904
408,Демоны,1,1174,1445573,1445574,130905
423,Зандалари,1,1534,2060051,2060052,154989
424,Друсты,1,1535,2060049,2060050,154990
