ID,FlowTitle_lang,PopupTitle_lang,PopupDescription_lang,ServiceType,BoostType,IconFileDataID,Priority,Flags,ProfessionLevel,BoostLevel,Expansion,PopupUITextureKitID,Field_11_0_0_54675_012
1,Повышение уровня до 100-го,Бесплатное повышение уровня до 100-го,"В дополнении World of Warcraft: Legion один из ваших персонажей может мгновенно достигнуть 100-го уровня. Вы можете выбрать уже существующего персонажа, предварительно попробовать новый класс в игре или закрыть окно и воспользоваться этой возможностью позже.",1,2,1033987,90,1,700,100,6,260,0
5,Повышение уровня Battle for Azeroth,Бесплатное повышение уровня до 110-го,В дополнении World of Warcraft: Battle for Azeroth один из ваших персонажей может мгновенно достигнуть 110-го уровня. Вы можете выбрать один из перечисленных ниже вариантов или закрыть окно и воспользоваться этой возможностью позже.,1,3,3573824,80,1,700,48,7,265,0
6,Повышение уровня до 90-го,Бесплатное повышение уровня до 90-го,Входит в комплект с дополнением Warlords of Draenor.,1,1,614740,100,0,625,90,5,260,0
107,Пробная версия Dragonflight,Пробная версия Dragonflight,В течение ограниченного времени вы можете играть в Dragonflight бесплатно!|n|nСоздайте драктира-пробудителя или исследуйте Драконьи острова любым персонажем 60-го уровня.,0,0,4723908,1100,0,0,0,7,265,0
118,Повышение уровня Shadowlands,Бесплатное повышение уровня до 120-го,,1,4,3752121,50,1,0,50,7,265,0
120,Повышение до 60-го уровня,Бесплатное повышение уровня до 60-го,,1,6,4279397,60,1,0,60,8,265,5595
123,Перенос персонажа,Перенос персонажа,Перенос персонажа в другой игровой мир или учетную запись,2,1,1530081,40,0,0,0,0,5362,5590
125,Смена фракции,Смена фракции,Сменить фракцию персонажа (из Орды в Альянс или из Альянса в Орду),2,2,1126583,35,0,0,0,0,5362,5587
139,Смена расы,Смена расы,Сменить расу персонажа (в рамках вашей текущей фракции).,2,3,1126585,30,0,0,0,0,5362,5589
140,Смена имени,Смена имени,Смена имени персонажа,2,4,1126584,25,0,0,0,0,5362,5588
143,Повышение уровня до 70-го,Бесплатное повышение уровня до 70-го,,1,8,4734167,70,0,0,70,9,5468,5594
179,Улучшенная услуга повышения уровня до 80-го,Улучшенная услуга повышения уровня до 80-го,,1,11,4279397,120,0,0,80,10,5586,0
