OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,При перепроизводстве вы получаете до $ev1% дополнительных зелий.,24833,0,0,0,0
,,$en1 повышается на $ev1 при изготовлении зелий.,24834,0,0,0,0
,,"Новый рецепт: ""$@spellname370668"".",24835,370668,0,0,0
,,$en1 повышается на $ev1% при изготовлении зелий.,24836,0,0,0,0
,,$en1 повышается на $ev1 при изготовлении зелий.,24837,0,0,0,0
Серийное производство,,Вы учитесь более эффективно варить зелья. При этом $en1 повышается на $ev1 за каждое очко в этой специализации.,24838,0,4624378,0,0
,,"""$@spellname370745"" позволяют готовить более качественные зелья и повышают шанс открытия новых рецептов.",24839,370745,0,0,0
,,+5% к вероятности прорыва при экспериментах с зельями.,24840,0,0,0,0
,,"Совершив крупный прорыв в ходе эксперимента с зельями, вы получаете +20 к вдохновению в алхимии на 4 часа.",24841,0,0,0,0
,,+5% к вероятности прорыва при экспериментах с зельями.,24842,0,0,0,0
,,10% к вероятности прорыва при экспериментах с зельями.,24843,0,0,0,0
Эксперименты с зельями,,"Вы хорошо разбираетесь в реагентах, и ваши эксперименты чаще приводят к положительным результатам. +1% к вероятности прорыва при экспериментах с зельями за каждое очко в этой специализации.",24844,0,4624379,0,0
,,"Обучает изготовлению и использованию завершающего реагента ""$@spellname370735"", который повышает мастерство при создании котлов с зельями и стремительных алхимических камней.",24845,370735,0,0,0
,,Открывает последнюю подспециализацию.,24846,0,0,0,0
,,$en1 повышается на $ev1 при изготовлении зелий.,24847,0,0,0,0
,,Открывает выбранную подспециализацию.,24848,0,0,0,0
,,$en1 повышается на $ev1 при изготовлении зелий.,24849,0,0,0,0
,,$en1 повышается на $ev1 при изготовлении зелий.,24850,0,0,0,0
Наука о зельях,,Вы узнаете новые тайны зельеварения и создания алхимических камней. При этом $en1 повышается на $ev1 за каждое очко в этой специализации.,24851,0,4624657,0,0
,,"Обучает изготовлению и использованию завершающего реагента ""$@spellname370735"", который повышает мастерство при создании зелий, связанных со стихией воздуха.",24852,370735,0,0,0
,,"$en1 повышается на $ev1 при изготовлении зелий, связанных со стихией воздуха.",24853,0,0,0,0
,,"$en1 повышается на $ev1 при изготовлении зелий, связанных со стихией воздуха.",24854,0,0,0,0
,,Зелья Драконьих островов еще сильнее повышают вашу скорость передвижения.,24855,0,0,0,0
,,"$en1 повышается на $ev1 при изготовлении зелий, связанных со стихией воздуха.",24856,0,0,0,0
,,"$en1 повышается на $ev1 при изготовлении зелий, связанных со стихией воздуха.",24857,0,0,0,0
,,"Когда вы выпиваете зелье Драконьих островов, ваша скорость передвижения ненадолго повышается.",24858,0,0,0,0
Зелья стихии воздуха,,Улучшает навык изготовления зелий с использованием пробуждающегося или пробужденного воздуха. При этом $en1 повышается на $ev1 за каждое очко в этой специализации.,24859,0,4497566,0,0
,,"Обучает изготовлению и использованию завершающего реагента ""$@spellname370735"", который повышает мастерство при создании зелий, связанных со стихией льда.",24860,370735,0,0,0
,,"$en1 повышается на $ev1 при изготовлении зелий, связанных со стихией льда.",24861,0,0,0,0
,,"$en1 повышается на $ev1 при изготовлении зелий, связанных со стихией льда.",24862,0,0,0,0
,,Зелья драконьих островов восполняют вам больше здоровья.,24863,0,0,0,0
,,"$en1 повышается на $ev1 при изготовлении зелий, связанных со стихией льда.",24864,0,0,0,0
,,"$en1 повышается на $ev1 при изготовлении зелий, связанных со стихией льда.",24865,0,0,0,0
,,Зелья драконьих островов также дают вам эффект периодического исцеления.,24866,0,0,0,0
