ID,Name_lang,Sex,BaseSection,UiCustomizationType,Flags,ComponentSection[0],ComponentSection[1],ComponentSection[2],RaceID
1,Цвет кожи,3,0,0,4,-1,-1,-1,0
2,Лицо,3,1,1,0,-1,-1,-1,0
3,Прическа,3,3,2,0,-1,-1,-1,0
4,Цвет волос,3,3,3,4,-1,-1,-1,0
5,Борода и усы,3,2,4,0,-1,-1,-1,0
6,Татуировка,3,5,5,1,12,-1,-1,4
7,Вид рогов,3,6,6,0,-1,-1,-1,0
8,Повязка на глаза,3,7,7,0,-1,-1,-1,0
9,Цвет татуировки,3,5,8,5,12,-1,-1,4
10,Пирсинг,1,2,4,0,-1,-1,-1,1
11,Пирсинг,1,2,4,0,-1,-1,-1,2
12,Пирсинг,1,2,4,0,-1,-1,-1,3
13,Раскраска,1,2,4,0,-1,-1,-1,4
14,Аксессуары,3,2,4,0,-1,-1,-1,5
15,Волосы,1,2,4,0,-1,-1,-1,6
16,Вид рогов,3,3,2,0,-1,-1,-1,6
17,Цвет рогов,3,3,3,4,-1,-1,-1,6
18,Серьги,1,2,4,0,-1,-1,-1,7
19,Клыки,3,2,4,0,-1,-1,-1,8
20,Уши,3,2,4,0,-1,-1,-1,9
21,Серьги,1,2,4,0,-1,-1,-1,10
22,Уши,1,2,4,0,-1,-1,-1,22
23,Вид рогов,1,2,4,0,-1,-1,-1,11
24,Вид рогов,1,2,4,0,-1,-1,-1,30
25,Руна,3,7,7,0,-1,-1,-1,30
26,Серьги,1,2,4,0,-1,-1,-1,24
27,Серьги,1,2,4,0,-1,-1,-1,25
28,Серьги,1,2,4,0,-1,-1,-1,26
29,Клыки,3,6,6,0,-1,-1,-1,31
30,Серьги,3,7,7,0,-1,-1,-1,31
31,Аксессуары,1,2,4,0,-1,-1,-1,31
32,Татуировка,3,5,5,1,13,-1,-1,31
34,Татуировка,3,5,5,1,12,-1,-1,10
35,Цвет татуировки,3,5,8,5,12,-1,-1,10
36,Татуировка,3,5,5,1,12,-1,-1,30
37,Татуировка,3,5,5,1,13,-1,-1,28
38,Волосы,1,2,4,0,-1,-1,-1,28
39,Вид рогов,3,3,2,0,-1,-1,-1,28
40,Цвет рогов,3,3,3,4,-1,-1,-1,28
41,Серьги,1,2,4,0,-1,-1,-1,29
42,Татуировка,3,5,5,1,13,-1,-1,27
43,Серьги,1,2,4,0,-1,-1,-1,27
44,Серьги,0,2,4,0,-1,-1,-1,27
46,Осанка,0,7,7,0,-1,-1,-1,2
47,Татуировка,0,6,6,0,13,-1,-1,34
48,Татуировка,1,5,5,0,13,-1,-1,34
49,Осанка,0,7,7,0,-1,-1,-1,36
50,Цвет кожи,3,0,0,5,-1,-1,-1,36
52,Пирсинг,0,5,5,0,-1,-1,-1,34
153,Узор,3,5,5,3,13,-1,-1,35
155,Серьги,1,6,6,0,-1,-1,-1,32
156,Ожерелье,1,7,7,0,-1,-1,-1,32
157,Улучшение рук,3,6,6,0,0,1,-1,37
158,Улучшение ног,3,7,7,0,5,6,-1,37
159,Модификация,3,5,5,0,9,10,-1,37
160,Мордочка,3,6,6,0,-1,-1,-1,35
161,Уши,3,2,4,0,-1,-1,-1,35
162,Цвет кожи,3,0,0,5,-1,-1,-1,35
163,Татуировка,3,5,5,0,-1,-1,-1,0
164,Борода и усы,0,2,4,0,-1,-1,-1,6
165,Цвет кожи,3,0,0,4,-1,-1,-1,6
166,Аксессуары,1,2,4,0,-1,-1,-1,36
167,Аксессуары,1,2,4,0,-1,-1,-1,34
168,Брови,1,2,4,0,-1,-1,-1,32
169,Цвет кожи,3,0,0,4,-1,-1,-1,28
170,Борода и усы,0,2,4,0,-1,-1,-1,28
171,Цвет кожи,3,0,0,4,-1,-1,-1,24
172,Борода и усы,0,2,4,0,-1,-1,-1,24
173,Прическа,0,3,2,0,-1,-1,-1,24
174,Прическа,3,3,4,0,-1,-1,-1,35
175,Лицо,3,1,1,0,-1,-1,-1,36
176,Лицо,3,1,1,0,-1,-1,-1,35
177,Лицо,3,1,1,0,-1,-1,-1,6
178,Лицо,3,1,1,0,-1,-1,-1,28
179,Лицо,3,1,1,0,-1,-1,-1,24
180,Пирсинг,1,2,4,0,-1,-1,-1,23
